"ProductNo";"Brand";"Model";"CCM";"From_"
"TRT.00.475.30001/B";"Aprilia";;;
"TRT.00.640.17500/B";"Aprilia";;;
"TRT.00.640.30001/B";"Aprilia";;;
"TRT.00.475.17500/B";"Aprilia";;;
"BC.HTA.00.301.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2001"
"BC.HTA.00.301.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2002"
"BC.HTA.00.301.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2003"
"BC.HTA.00.301.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2004"
"BC.HTA.00.301.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2005"
"BC.HTA.00.301.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2006"
"BC.HTA.00.301.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2007"
"BC.HTA.00.303.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2001"
"BC.HTA.00.303.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2002"
"BC.HTA.00.303.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2003"
"BC.HTA.00.303.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2004"
"BC.HTA.00.303.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2005"
"BC.HTA.00.303.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2006"
"BC.HTA.00.303.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2007"
"BC.HTA.00.304.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2001"
"BC.HTA.00.304.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2002"
"BC.HTA.00.304.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2003"
"BC.HTA.00.304.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2004"
"BC.HTA.00.304.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2005"
"BC.HTA.00.304.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2006"
"BC.HTA.00.304.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2007"
"BC.HTA.00.306.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2001"
"BC.HTA.00.306.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2002"
"BC.HTA.00.306.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2003"
"BC.HTA.00.306.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2004"
"BC.HTA.00.306.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2005"
"BC.HTA.00.306.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2006"
"BC.HTA.00.306.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2007"
"BC.HTA.00.307.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2001"
"BC.HTA.00.307.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2002"
"BC.HTA.00.307.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2003"
"BC.HTA.00.307.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2004"
"BC.HTA.00.307.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2005"
"BC.HTA.00.307.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2006"
"BC.HTA.00.307.10000";"Aprilia";"ETV 1000 Caponord";"1000";"2007"
"BC.TRE.00.104.20000";"Aprilia";"ETV 1000 Caponord";"1000";"2001"
"BC.TRE.00.104.20000";"Aprilia";"ETV 1000 Caponord";"1000";"2002"
"BC.TRE.00.104.20000";"Aprilia";"ETV 1000 Caponord";"1000";"2003"
"BC.TRE.00.104.20000";"Aprilia";"ETV 1000 Caponord";"1000";"2004"
"BC.TRE.00.104.20000";"Aprilia";"ETV 1000 Caponord";"1000";"2005"
"BC.TRE.00.104.20000";"Aprilia";"ETV 1000 Caponord";"1000";"2006"
"BC.TRE.00.104.20000";"Aprilia";"ETV 1000 Caponord";"1000";"2007"
"BC.TRE.00.108.20000";"Aprilia";"ETV 1000 Caponord";"1000";"2001"
"BC.TRE.00.108.20000";"Aprilia";"ETV 1000 Caponord";"1000";"2002"
"BC.TRE.00.108.20000";"Aprilia";"ETV 1000 Caponord";"1000";"2003"
"BC.TRE.00.108.20000";"Aprilia";"ETV 1000 Caponord";"1000";"2004"
"BC.TRE.00.108.20000";"Aprilia";"ETV 1000 Caponord";"1000";"2005"
"BC.TRE.00.108.20000";"Aprilia";"ETV 1000 Caponord";"1000";"2006"
"BC.TRE.00.108.20000";"Aprilia";"ETV 1000 Caponord";"1000";"2007"
"BC.TRE.00.110.20000";"Aprilia";"ETV 1000 Caponord";"1000";"2001"
"BC.TRE.00.110.20000";"Aprilia";"ETV 1000 Caponord";"1000";"2002"
"BC.TRE.00.110.20000";"Aprilia";"ETV 1000 Caponord";"1000";"2003"
"BC.TRE.00.110.20000";"Aprilia";"ETV 1000 Caponord";"1000";"2004"
"BC.TRE.00.110.20000";"Aprilia";"ETV 1000 Caponord";"1000";"2005"
"BC.TRE.00.110.20000";"Aprilia";"ETV 1000 Caponord";"1000";"2006"
"BC.TRE.00.110.20000";"Aprilia";"ETV 1000 Caponord";"1000";"2007"
"BC.TRS.00.104.20001";"Aprilia";"ETV 1000 Caponord";"1000";"2001"
"BC.TRS.00.104.20001";"Aprilia";"ETV 1000 Caponord";"1000";"2002"
"BC.TRS.00.104.20001";"Aprilia";"ETV 1000 Caponord";"1000";"2003"
"BC.TRS.00.104.20001";"Aprilia";"ETV 1000 Caponord";"1000";"2004"
"BC.TRS.00.104.20001";"Aprilia";"ETV 1000 Caponord";"1000";"2005"
"BC.TRS.00.104.20001";"Aprilia";"ETV 1000 Caponord";"1000";"2006"
"BC.TRS.00.104.20001";"Aprilia";"ETV 1000 Caponord";"1000";"2007"
"BC.TRS.00.108.20001";"Aprilia";"ETV 1000 Caponord";"1000";"2001"
"BC.TRS.00.108.20001";"Aprilia";"ETV 1000 Caponord";"1000";"2002"
"BC.TRS.00.108.20001";"Aprilia";"ETV 1000 Caponord";"1000";"2003"
"BC.TRS.00.108.20001";"Aprilia";"ETV 1000 Caponord";"1000";"2004"
