ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;;;;Weight;Quantity;;;;;Short description;;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out_of_stock;Advanced stock management;ID / Name of shop\'c2\'a0\;;;Car type casque;Car couleur;Car Ecran;Car public;Car Coque;Car Etancheite;Car Goretex;Att Taille;Att Couleur;Car HighTech (ou sous cat)
10311;;Anbaumaterial für Fußraste;288;59.00;;;;;;;;D9398-018-M;D9398-018-M;SW-MOTECH;SW-MOTECH;4052572003268;;;;;;0,1560;1;;;;;Silber. Suzuki GSR600 / GSF1250/S / GSX650/1250F.;;<b>SW-MOTECH Anbaumaterial für Fußraste</b><ul><li>Zur Montage an der Fußrastenaufnahme. Verwendung in Kombination mit der Fußraste<li>Gelenk aus hochfester Aluminium-Legierung CNC-gefräst.</li></ul><b>Lieferumfang:</b><!--BL--><ul><li>2 Fußrastengelenke</li><li>Montagematerial</li><li>Anbauanleitung</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10312;;Fußrasten-Kit;288;117.00;;;;;;;;D9398-019-93;D9398-019-93;SW-MOTECH;SW-MOTECH;4052572003275;;;;;;1,1300;1;;;;;Silber. Yamaha XT1200Z Super Tenere. (10-).;;<b>SW-MOTECH Fußrasten-Kit</b><ul><li>Zur Montage an der Fußrastenaufnahme</li><li>Aus hochwertigem, korrosionsbeständigem Edelstahlguss mit abnehmbarer Gummiauflage</li><li>Groß dimensionierte Aufstandsfläche</li><li>Abrutschsicher durch profilierte Oberflächenstruktur</li><li>Fußrastengelenk aus hochfester Aluminium-Legierung CNC-gefräst</li><li>In 2 Höhenpositionen verschraubbar (Originalposition und 15 mm tiefer)</li><li>Geeignet für Offroad und Toureneinsätze</li></ul><b>Lieferumfang:</b><!--BL--><ul><li>2 Fußrasten inklusive Haltegelenke</li><li>Montagematerial</li><li>Anbauanleitung</li></ul><!--EL-->;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs0601110000s_1_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs0601110000s_2_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs0601110000s_3_xl.jpg;;;;;;;;;;;;;;;;;;;;;;
10313;;Fußrasten-Kit;288;117.00;;;;;;;;D9398-020-93;D9398-020-93;SW-MOTECH;SW-MOTECH;4052572003282;;;;;;1,1000;1;;;;;Silber. Yamaha XT 660 Z / X / R;;<b>SW-MOTECH Fußrasten-Kit</b><ul><li>Zur Montage an der Fußrastenaufnahme</li><li>Aus hochwertigem, korrosionsbeständigem Edelstahlguss mit abnehmbarer Gummiauflage</li><li>Groß dimensionierte Aufstandsfläche</li><li>Abrutschsicher durch profilierte Oberflächenstruktur</li><li>Fußrastengelenk aus hochfester Aluminium-Legierung CNC-gefräst</li><li>In 2 Höhenpositionen verschraubbar (Originalposition und 15 mm tiefer)</li><li>Geeignet für Offroad und Toureneinsätze</li></ul><b>Lieferumfang:</b><!--BL--><ul><li>2 Fußrasten inklusive Haltegelenke</li><li>Montagematerial</li><li>Anbauanleitung</li></ul><!--EL-->;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs_06_011_10100_s_1_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs_06_011_10100_s_2_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs_06_011_10100_s_3_xl.jpg,,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs_06_011_10100_s_5_xl.jpg;;;;;;;;;;;;;;;;;;;;;;
10314;;Anbaumaterial für Fußraste;288;59.00;;;;;;;;D9398-019-M;D9398-019-M;SW-MOTECH;SW-MOTECH;4052572003299;;;;;;0,1720;1;;;;;Silber. Yamaha XT 1200 Z Super Tenere;;<b>SW-MOTECH Anbaumaterial für Fußraste</b><ul><li>Zur Montage an der Fußrastenaufnahme. Verwendung in Kombination mit der Fußraste</li><li>Gelenk aus hochfester Aluminium-Legierung CNC-gefräst.</li></ul><b>Lieferumfang:</b><!--BL--><ul><li>2 Fußrastengelenke</li><li>Montagematerial</li><li>Anbauanleitung</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10315;;Anbaumaterial für Fußraste;288;59.00;;;;;;;;D9398-020-M;D9398-020-M;SW-MOTECH;SW-MOTECH;4052572003305;;;;;;0,1520;1;;;;;Silber. Yamaha XT 660 Z Tenere;;<b>SW-MOTECH Anbaumaterial für Fußraste</b><ul><li>Zur Montage an der Fußrastenaufnahme. Verwendung in Kombination mit der Fußraste</li><li>Gelenk aus hochfester Aluminium-Legierung CNC-gefräst.</li></ul><b>Lieferumfang:</b><!--BL--><ul><li>2 Fußrastengelenke</li><li>Montagematerial</li><li>Anbauanleitung</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10316;;Fußrasten-Kit;288;117.00;;;;;;;;D9398-034-93;D9398-034-93;SW-MOTECH;SW-MOTECH;4052572003329;;;;;;1,1600;1;;;;;Silber. BMW F 650 GS / G 650 GS / Sertao;;<b>SW-MOTECH Fußrasten-Kit</b><ul><li>Zur Montage an der Fußrastenaufnahme</li><li>Aus hochwertigem, korrosionsbeständigem Edelstahlguss mit abnehmbarer Gummiauflage</li><li>Groß dimensionierte Aufstandsfläche</li><li>Abrutschsicher durch profilierte Oberflächenstruktur</li><li>Fußrastengelenk aus hochfester Aluminium-Legierung CNC-gefräst</li><li>In 2 Höhenpositionen verschraubbar (Originalposition und 15 mm tiefer)</li><li>Geeignet für Offroad und Toureneinsätze</li></ul><b>Lieferumfang:</b><!--BL--><ul><li>2 Fußrasten inklusive Haltegelenke</li><li>Montagematerial</li><li>Anbauanleitung</li></ul><!--EL-->;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs0701110001s_1_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs0701110001s_2_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs0701110001s_3_xl.jpg,,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs.00.011.10000_5_xl.jpg;;;;;;;;;;;;;;;;;;;;;;
10317;;Fußrasten-Kit;288;117.00;;;;;;;;D9398-022-93;D9398-022-93;SW-MOTECH;SW-MOTECH;4052572003336;;;;;;1,1700;1;;;;;Silber. BMW F 700 GS / F 800 GS;;<b>SW-MOTECH Fußrasten-Kit</b><ul><li>Zur Montage an der Fußrastenaufnahme</li><li>Aus hochwertigem, korrosionsbeständigem Edelstahlguss mit abnehmbarer Gummiauflage</li><li>Groß dimensionierte Aufstandsfläche</li><li>Abrutschsicher durch profilierte Oberflächenstruktur</li><li>Fußrastengelenk aus hochfester Aluminium-Legierung CNC-gefräst</li><li>In 2 Höhenpositionen verschraubbar (Originalposition und 15 mm tiefer)</li><li>Geeignet für Offroad und Toureneinsätze</li></ul><b>Lieferumfang:</b><!--BL--><ul><li>2 Fußrasten inklusive Haltegelenke</li><li>Montagematerial</li><li>Anbauanleitung</li></ul><!--EL-->;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs_07_011_10100_s_1_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs_07_011_10100_s_2_xl.jpg;;;;;;;;;;;;;;;;;;;;;;
10318;;Fußrasten-Kit;288;117.00;;;;;;;;D9398-023-93;D9398-023-93;SW-MOTECH;SW-MOTECH;4052572027592;;;;;;0,9600;1;;;;;Silber. BMW R1200GS LC (13-) / Adventure (13-).;;<b>SW-MOTECH Fußrasten-Kit</b><ul><li>Zur Montage an der Fußrastenaufnahme</li><li>Aus hochwertigem, korrosionsbeständigem Edelstahlguss mit abnehmbarer Gummiauflage</li><li>Groß dimensionierte Aufstandsfläche</li><li>Abrutschsicher durch profilierte Oberflächenstruktur</li><li>Fußrastengelenk aus hochfester Aluminium-Legierung CNC-gefräst</li><li>In 2 Höhenpositionen verschraubbar (Originalposition und 15 mm tiefer)</li><li>Geeignet für Offroad und Toureneinsätze</li></ul><b>Lieferumfang:</b><!--BL--><ul><li>2 Fußrasten inklusive Haltegelenke</li><li>Montagematerial</li><li>Anbauanleitung</li></ul><!--EL-->;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs_07_011_10301_s_1_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs_07_011_10301_s_2_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs_07_011_10301_s_3_xl.jpg;;;;;;;;;;;;;;;;;;;;;;
10319;;Fußrasten-Kit;288;117.00;;;;;;;;D9398-024-93;D9398-024-93;SW-MOTECH;SW-MOTECH;4052572003343;;;;;;1,1700;1;;;;;Silber. BMW Modelle.;;<b>SW-MOTECH Fußrasten-Kit</b><ul><li>Zur Montage an der Fußrastenaufnahme</li><li>Aus hochwertigem, korrosionsbeständigem Edelstahlguss mit abnehmbarer Gummiauflage</li><li>Groß dimensionierte Aufstandsfläche</li><li>Abrutschsicher durch profilierte Oberflächenstruktur</li><li>Fußrastengelenk aus hochfester Aluminium-Legierung CNC-gefräst</li><li>In 2 Höhenpositionen verschraubbar (Originalposition und 15 mm tiefer)</li><li>Geeignet für Offroad und Toureneinsätze</li></ul><b>Lieferumfang:</b><!--BL--><ul><li>2 Fußrasten inklusive Haltegelenke</li><li>Montagematerial</li><li>Anbauanleitung</li></ul><!--EL-->;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs0701110500s_1_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs0701110500s_2_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs0701110500s_3_xl.jpg,,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs.00.011.10000_5_xl.jpg;;;;;;;;;;;;;;;;;;;;;;
10320;;Anbaumaterial für Fußraste;288;59.00;;;;;;;;D9398-034-M;D9398-034-M;SW-MOTECH;SW-MOTECH;4052572003367;;;;;;0,2040;1;;;;;Silber. BMW F 650 GS, G650 GS.;;<b>SW-MOTECH Anbaumaterial für Fußraste</b><ul><li>Zur Montage an der Fußrastenaufnahme. Verwendung in Kombination mit der Fußraste</li><li>Gelenk aus hochfester Aluminium-Legierung CNC-gefräst.</li></ul><b>Lieferumfang:</b><!--BL--><ul><li>2 Fußrastengelenke</li><li>Montagematerial</li><li>Anbauanleitung</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
