Product ID*;REF;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
84860;;Pointure:select:0;38:14;FBR033-1010-38;FBR033-1010-38;;;;;;0;;;;;;;;;;;
84860;;Pointure:select:0;39:15;FBR033-1010-39;FBR033-1010-39;;;;;;0;;;;;;;;;;;
84860;;Pointure:select:0;40:16;FBR033-1010-40;FBR033-1010-40;;;;;;0;;;;;;;;;;;
84860;;Pointure:select:0;41:17;FBR033-1010-41;FBR033-1010-41;;;;;;0;;;;;;;;;;;
84860;;Pointure:select:0;42:18;FBR033-1010-42;FBR033-1010-42;;;;;;0;;;;;;;;;;;
84860;;Pointure:select:0;43:19;FBR033-1010-43;FBR033-1010-43;;;;;;0;;;;;;;;;;;
84860;;Pointure:select:0;44:20;FBR033-1010-44;FBR033-1010-44;;;;;;0;;;;;;;;;;;
84860;;Pointure:select:0;45:21;FBR033-1010-45;FBR033-1010-45;;;;;;0;;;;;;;;;;;
84860;;Pointure:select:0;46:22;FBR033-1010-46;FBR033-1010-46;;;;;;0;;;;;;;;;;;
84860;;Pointure:select:0;47:23;FBR033-1010-47;FBR033-1010-47;;;;;;0;;;;;;;;;;;
84861;;Pointure:select:0;38:14;FBR034-1010-38;FBR034-1010-38;;;;;;0;;;;;;;;;;;
84861;;Pointure:select:0;39:15;FBR034-1010-39;FBR034-1010-39;;;;;;0;;;;;;;;;;;
84861;;Pointure:select:0;40:16;FBR034-1010-40;FBR034-1010-40;;;;;;0;;;;;;;;;;;
84861;;Pointure:select:0;41:17;FBR034-1010-41;FBR034-1010-41;;;;;;0;;;;;;;;;;;
84861;;Pointure:select:0;42:18;FBR034-1010-42;FBR034-1010-42;;;;;;0;;;;;;;;;;;
