Product ID*;Product reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Price tax excluded or Price tax included;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
53636;;Couleur:select:0;H=Noir / V=Noir:29;BH10-EVO155;BH10-EVO155;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-EVO155_0.jpg;1;;;;
53636;;Couleur:select:0;H=Noir / V=Anthrazit:25;BH10-EVO159;BH10-EVO159;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-EVO159_0.jpg;1;;;;
53636;;Couleur:select:0;H=Anthrazit / V= Argent:2;BH10-EVO191;BH10-EVO191;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-EVO191_0.jpg;1;;;;
53636;;Couleur:select:0;H=Anthrazit / V= Gold:4;BH10-EVO192;BH10-EVO192;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-EVO192_0.jpg;1;;;;
53636;;Couleur:select:0;H=Anthrazit / V= Bleu:3;BH10-EVO194;BH10-EVO194;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-EVO194_0.jpg;1;;;;
53636;;Couleur:select:0;H=Anthrazit / V= Noir:5;BH10-EVO195;BH10-EVO195;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-EVO195_0.jpg;1;;;;
53636;;Couleur:select:0;H=Anthrazit / V= Rouge:6;BH10-EVO197;BH10-EVO197;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-EVO197_0.jpg;1;;;;
53636;;Couleur:select:0;H=Anthrazit / V= Anthrazit:1;BH10-EVO199;BH10-EVO199;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-EVO199_0.jpg;1;;;;
53637;;Couleur:select:0;H=d'oré / V=Argent:20;BH10-KH121;BH10-KH121;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-KH121_0.jpg,https://www.motogoodeal.ch/img/import/BH10-KH121_1.jpg;1;;;;
53637;;Couleur:select:0;H=d'oré / V=d'oré:22;BH10-KH122;BH10-KH122;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-KH122_0.jpg;1;;;;
53637;;Couleur:select:0;H=d'oré / V=Bleu:21;BH10-KH124;BH10-KH124;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-KH124_0.jpg;1;;;;
53637;;Couleur:select:0;H=d'oré / V=Noir:23;BH10-KH125;BH10-KH125;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-KH125_0.jpg;1;;;;
53637;;Couleur:select:0;H=d'oré / V=Rouge:24;BH10-KH127;BH10-KH127;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-KH127_0.jpg;1;;;;
53637;;Couleur:select:0;H=d'oré / V=Anthrazit:19;BH10-KH129;BH10-KH129;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-KH129_0.jpg;1;;;;
53637;;Couleur:select:0;H=Bleu / V=Argent:14;BH10-KH141;BH10-KH141;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-KH141_0.jpg;1;;;;
53637;;Couleur:select:0;H=Bleu / V=d'oré:16;BH10-KH142;BH10-KH142;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-KH142_0.jpg;1;;;;
53637;;Couleur:select:0;H=Bleu / V=Bleu:15;BH10-KH144;BH10-KH144;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-KH144_0.jpg;1;;;;
53637;;Couleur:select:0;H=Bleu / V=Noir:17;BH10-KH145;BH10-KH145;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-KH145_0.jpg;1;;;;
53637;;Couleur:select:0;H=Bleu / V=Rouge:18;BH10-KH147;BH10-KH147;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-KH147_0.jpg;1;;;;
53637;;Couleur:select:0;H=Bleu / V=Anthrazit:13;BH10-KH149;BH10-KH149;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-KH149_0.jpg;1;;;;
53637;;Couleur:select:0;H=Noir / V=d'oré:28;BH10-KH152;BH10-KH152;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-KH152_0.jpg;1;;;;
53637;;Couleur:select:0;H=Noir / V=Bleu:27;BH10-KH154;BH10-KH154;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-KH154_0.jpg;1;;;;
53637;;Couleur:select:0;H=Noir / V=Rouge:30;BH10-KH157;BH10-KH157;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-KH157_0.jpg;1;;;;
53637;;Couleur:select:0;H=Noir / V=Anthrazit:25;BH10-KH159;BH10-KH159;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-KH159_0.jpg;1;;;;
53637;;Couleur:select:0;H=Rouge / V=Argent:32;BH10-KH171;BH10-KH171;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-KH171_0.jpg;1;;;;
53637;;Couleur:select:0;H=Rouge / V=d'oré:34;BH10-KH172;BH10-KH172;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-KH172_0.jpg;1;;;;
53637;;Couleur:select:0;H=Rouge / V=Bleu:33;BH10-KH174;BH10-KH174;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-KH174_0.jpg;1;;;;
53637;;Couleur:select:0;H=Rouge / V=Noir:35;BH10-KH175;BH10-KH175;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-KH175_0.jpg;1;;;;
53637;;Couleur:select:0;H=Rouge / V=Rouge:36;BH10-KH177;BH10-KH177;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-KH177_0.jpg;1;;;;
53637;;Couleur:select:0;H=Rouge / V=Anthrazit:31;BH10-KH179;BH10-KH179;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-KH179_0.jpg;1;;;;
53638;;Couleur:select:0;H=d'oré / V=Argent:20;BH10-LH121;BH10-LH121;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-LH121_0.jpg,https://www.motogoodeal.ch/img/import/BH10-LH121_1.jpg;1;;;;
53638;;Couleur:select:0;H=d'oré / V=d'oré:22;BH10-LH122;BH10-LH122;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-LH122_0.jpg;1;;;;
53638;;Couleur:select:0;H=d'oré / V=Bleu:21;BH10-LH124;BH10-LH124;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-LH124_0.jpg;1;;;;
53638;;Couleur:select:0;H=d'oré / V=Noir:23;BH10-LH125;BH10-LH125;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-LH125_0.jpg;1;;;;
