id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);url strt;url end;image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
56900;;Auspuffband Dei 1 Zoll;;;;;;;;;;;;;;;;;;;;;;;;;;;"Beige (Tan) 1"" 25 Mm";Dei Auspuffband</li><li>Aus Pulverisiertem Lavastein</li><li>Beständig bis 1‘370°C</li><li>Extrem Faltbar Für Enge Und Sichere Wicklung,</li><li>Rolle À 15M;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56901;;Auspuffband Dei 2 Zoll;;;;;;;;;;;;;;;;;;;;;;;;;;;"Beige (Tan) 2"" 51 Mm";Dei Auspuffband</li><li>Aus Pulverisiertem Lavastein</li><li>Beständig bis 1‘370°C</li><li>Extrem Faltbar Für Enge Und Sichere Wicklung,</li><li>Rolle À 15M;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56902;;Auspuffband Dei 1 Zoll;;;;;;;;;;;;;;;;;;;;;;;;;;;"Schwarz 1"" 25 Mm";Dei Auspuffband</li><li>Aus Pulverisiertem Lavastein</li><li>Beständig bis 1‘370°C</li><li>Extrem Faltbar Für Enge Und Sichere Wicklung,</li><li>Rolle À 15M;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56903;;Auspuffband Dei 2 Zoll;;;;;;;;;;;;;;;;;;;;;;;;;;;"Schwarz 2"" 51 Mm";Dei Auspuffband</li><li>Aus Pulverisiertem Lavastein</li><li>Beständig Bis 1‘370°C</li><li>Extrem Faltbar Für Enge Und Sichere Wicklung,</li><li>Rolle À 15M;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56904;;Auspuffband Dei 1 Zoll;;;;;;;;;;;;;;;;;;;;;;;;;;;"Titan 1"" 25 Mm";Dei Auspuffband</li><li>Aus Pulverisiertem Lavastein</li><li>Beständig bis 1‘370°C</li><li>Extrem Faltbar Für Enge Und Sichere Wicklung,</li><li>Rolle À 15M;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56905;;Auspuffband Dei 2 Zoll;;;;;;;;;;;;;;;;;;;;;;;;;;;"Titan 2"" 51 Mm";Dei Auspuffband</li><li>Aus Pulverisiertem Lavastein</li><li>Beständig bis 1‘370°C</li><li>Extrem Faltbar Für Enge Und Sichere Wicklung,</li><li>Rolle À 15M;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56906;;Endband Edelstahl Dei;;;;;;;;;;;;;;;;;;;;;;;;;;;"20 Cm 8"" (8-Er Pack)";Anwendung: Abschluss Auspuffband;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56907;;Endband Edelstahl Dei;;;;;;;;;;;;;;;;;;;;;;;;;;;"35 Cm 14"" (4-Er Pack)";Anwendung: Abschluss Auspuffband;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56908;;Werkzeug Dei;;;;;;;;;;;;;;;;;;;;;;;;;;;Für Endband;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56909;;Dei Bodywork Protection;;;;;;;;;;;;;;;;;;;;;;;;;;;Kit;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56910;;Dei Protect A Wire ;;;;;;;;;;;;;;;;;;;;;;;;;;;8 Mm Schwarz;Hitzebeständig</li><li>Mit Schrumpfschlauch</li><li>8 Mm X 3,3 M;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56911;;Dei Protect A Wire ;;;;;;;;;;;;;;;;;;;;;;;;;;;10 Mm Orange;Hitzebeständig</li><li>Mit Schrumpfschlauch</li><li>10 Mm X 3,3 M;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56912;;Dei Protect A Sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;13 Mm Titanium;Hitzebeständig</li><li>Mit Schrumpfschlauch</li><li>13 Mm X 1,3 M;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56913;;Dei Isolierband;;;;;;;;;;;;;;;;;;;;;;;;;;;Selbstvulkanisierend, Hitzebeständig;2,5 Cm X 4 M;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56914;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Bride Zu Yamaha Xtz750;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56915;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Rapid-Nut 995 M6  ;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56916;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Stainless Steel 4.8 Mm Rivet;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56917;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Aluminium Schwarz 3.0 Mm Rivet (End Cap);;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56918;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Seger Für Db-Killer 1Stk;Ringdurchmesser 54Mm;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56919;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Seger Für Db-Killer;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56920;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Seger Für Db-Killer;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56921;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Seger Für Db-Killer 1Stk;Ringdurchmesser 49 Mm;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56922;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Plate;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56923;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Ass.Att.Pieg.Inox Supp.Term.Thunder;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56924;;Lambda Sensor Plug Bolt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56925;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Collector Tube No. 4 Steel ;For 71051Cp;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56926;;Arrow Zubehör (Inaktiv);;;;;;;;;;;;;;;;;;;;;;;;;;;Ass.Molla Lunga Ganc.Tondo+Gommino;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56927;;Arrow Zubehör ;;;;;;;;;;;;;;;;;;;;;;;;;;;Feder;Länge Ca. 60 Mm;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56928;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Silencer Clamp;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56929;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Silencer Clamp Carbon;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56930;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Silencer Clamp Carbon;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56931;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Silencer Clamp Carbon;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56932;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Strap For Rivets;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56933;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Strap For Rivets;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56934;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Strap For Rivets;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56935;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Strap For Rivets;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56936;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Flange;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56937;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Gommino 32X100 Ht Yamaha Xj6 2009     ;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56938;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Assambly Kit ;For 75062Ta/Tt;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56939;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Carbon End Cap ;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56940;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Carbon End Cap;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56941;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Blende Zu Yamaha Xtz 750;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56942;;Arrow Zubehör ;;;;;;;;;;;;;;;;;;;;;;;;;;;Y-Tube Titanium Honda Cbr1000Rr 08-09;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56943;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Staf.Pie.Inox 10/10 Supp.Term.Xj6 '09;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
56944;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Bracket;;;;;;;Auf Lager;Produkt auf Bestellung / 3 Wochen;;;;;;;;;;;;;;;;;;;
