ID;Active (0/1);Name *;Parent category;Root category (0/1)Â ;Description;Meta title;Meta keywords;Meta description;URL rewritten;Image URL
41;1;Chargeur Batterie;8;0;;;;;;
42;1;Batterie;8;0;;;;;;
43;1;Huile et Sprays;8;0;;;;;;
44;1;Kitchaine;8;0;;;;;;
45;1;Plaquettes;8;0;;;;;;
46;1;Pneus;8;0;;;;;;
47;1;Filtre à huile;8;0;;;;;;
