ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;;;;Weight;Quantity;;;;;;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out_of_stock;Advanced stock management;ID / Name of shop\'c2\'a0\;;;Car type casque;Car couleur;Car Ecran;Car public;Car Coque;Car Etancheite;Car Goretex;Att Taille;Att Couleur;Car HighTech (ou sous cat);;
10048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10049;;Kit de fixation pour embout de guidon;;;;;;;;;;;;;;;;;;;;;;;;;;;Pour guidon avec  18mm de diamètre interne;"<span style=font-Taille :18px""><b>Kit de fixation d'embout de guidon</b></span><ul><li>Pour guidon de 18mm de diamètre</li><li>Livré complet(G/D)</li></ul>""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10050;;Kit de fixation pour embout de guidon;;;;;;;;;;;;;;;;;;;;;;;;;;;Pour guidon avec  14mm de diamètre interne;"<span style=font-Taille :18px""><b>Kit de fixation d'embout de guidon</b></span><ul><li>Pour guidon de 14mm de diamètre</li><li>Livré complet(G/D)</li></ul>""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10051;;Kit de fixation pour embout de guidon;;;;;;;;;;;;;;;;;;;;;;;;;;;Pour guidon avec  12mm de diamètre interne;"<span style=font-Taille :18px""><b>Kit de fixation d'embout de guidon</b></span><ul><li>Pour guidon de 12mm de diamètre</li><li>Livré complet(G/D)</li></ul>""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10052;;Protection d'embout de guidon;;;;;;;;;;;;;;;;;;;;;;;;;;;Noir. Avec fixation pour diamètre de 14mm et 18mm;"<span style=font-Taille :18px""><b>Embout de guidon</b></span><ul><li>Limite les dégâts lors d'une chute</li><li>En aluminium anodisé</li><li>Avec fixation pour guidon de 14mm et 18mm de diamètre</li></ul><u>Disponible en :</u><br><b><i>Noir, Bleu, Or, Rouge, Orange, gris, Titanium</i></b>""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10053;;Protection d'embout de guidon;;;;;;;;;;;;;;;;;;;;;;;;;;;Bleu Avec fixation pour diamètre de 14mm et 18mm;"<span style=font-Taille :18px""><b>Embout de guidon</b></span><ul><li>Limite les dégâts lors d'une chute</li><li>En aluminium anodisé</li><li>Avec fixation pour guidon de 14mm et 18mm de diamètre</li></ul><u>Disponible en :</u><br><b><i>Noir, Bleu, Or, Rouge, Orange, gris, Titanium</i></b>""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10054;;Protection d'embout de guidon;;;;;;;;;;;;;;;;;;;;;;;;;;;Or Avec fixation pour diamètre de 14mm et 18mm;"<span style=font-Taille :18px""><b>Embout de guidon</b></span><ul><li>Limite les dégâts lors d'une chute</li><li>En aluminium anodisé</li><li>Avec fixation pour guidon de 14mm et 18mm de diamètre</li></ul><u>Disponible en :</u><br><b><i>Noir, Bleu, Or, Rouge, Orange, gris, Titanium</i></b>""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10055;;Protection d'embout de guidon;;;;;;;;;;;;;;;;;;;;;;;;;;;Orange.;"<span style=font-Taille :18px""><b>Embout de guidon</b></span><ul><li>Limite les dégâts lors d'une chute</li><li>En aluminium anodisé</li><li>Avec fixation pour guidon de 14mm et 18mm de diamètre</li></ul><u>Disponible en :</u><br><b><i>Noir, Bleu, Or, Rouge, Orange, gris, Titanium</i></b>""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10056;;Protection d'embout de guidon;;;;;;;;;;;;;;;;;;;;;;;;;;;Rouge Avec fixation pour diamètre de 14mm et 18mm;"<span style=font-Taille :18px""><b>Embout de guidon</b></span><ul><li>Limite les dégâts lors d'une chute</li><li>En aluminium anodisé</li><li>Avec fixation pour guidon de 14mm et 18mm de diamètre</li></ul><u>Disponible en :</u><br><b><i>Noir, Bleu, Or, Rouge, Orange, gris, Titanium</i></b>""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10057;;Protection d'embout de guidon;;;;;;;;;;;;;;;;;;;;;;;;;;;Gris. Avec fixation pour diamètre de 14mm et 18mm;"<span style=font-Taille :18px""><b>Embout de guidon</b></span><ul><li>Limite les dégâts lors d'une chute</li><li>En aluminium anodisé</li><li>Avec fixation pour guidon de 14mm et 18mm de diamètre</li></ul><u>Disponible en :</u><br><b><i>Noir, Bleu, Or, Rouge, Orange, gris, Titanium</i></b>""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10058;;Protection d'embout de guidon;;;;;;;;;;;;;;;;;;;;;;;;;;;Titanium.;"<span style=font-Taille :18px""><b>Embout de guidon</b></span><ul><li>Limite les dégâts lors d'une chute</li><li>En aluminium anodisé</li><li>Avec fixation pour guidon de 14mm et 18mm de diamètre</li></ul><u>Disponible en :</u><br><b><i>Noir, Bleu, Or, Rouge, Orange, gris, Titanium</i></b>""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10059;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10060;;Pivot;;;;;;;;;;;;;;;;;;;;;;;;;;;Pour augmenter la prise de garde des leviers;<b>Barkbusters Angled Swivel Connector</b><br><br>Increases clearance around clutch/brake hose area.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10062;;Kit d'adaptation pour BMW F650GS (-07) / G650GS;;;;;;;;;;;;;;;;;;;;;;;;;;;Pour model sans poignées chauffantes;"<span style=font-Taille :18px""><b>Kit d'adaptation pour BMW F650GS (-07) / G650GS</b></span><ul><li>Pour les Protège-mains BHG10</li><li>Nécessaire pour les modèles sans poignées chauffantes</li><li>Kit complet (G/D)</li></ul>""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10063;;Kit de fixation pour plastiques Storm;;;;;;;;;;;;;;;;;;;;;;;;;;;(avec 2 vis et rondelles);"<span style=font-Taille :18px""><b>Kit pour Storm</b></span><ul><li>Pour fixer les coques Storm sur le support</li><li>Avec visserie</li></ul>""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10064;;Kit de visseries VPS;;;;;;;;;;;;;;;;;;;;;;;;;;;4 vis. pour EGO / VPS / JET plastique.;"<span style=font-Taille :18px""><b>Kit de visserie</b></span><ul><li>pour fixer les coques de protection</li><li>Pour EGO / VPS / JET plastique</li><li>Jeux de 4 vis</li></ul>""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10065;;Embout de guidon avec poids - externe;;;;;;;;;;;;;;;;;;;;;;;;;;;Noir.;"<span style=font-Taille :18px""><b>Embout de guidon</b></span><ul><li>Noir</li><li>Limite les vibrations sur le guidon</li></ul>""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10066;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10067;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10069;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10070;;Déflecteur pour protège-mains VPS en plastique;;;;;;;;;;;;;;;;;;;;;;;;;;;Noir.;"<span style=font-Taille :18px""><b>Coque additionnelle de protection contre le vent VPS</b></span><ul><li>Uniquement pour les VPS plastique</li><li>à fixer sur les coques</li><li>Ajustable en deux positions (variable)</li><li>Livré par paire (G/D)</li><li>Disponible en: <i><b>Noir, Blanc</b></i></li></ul>""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10071;;Déflecteur pour protège-mains VPS en plastique;;;;;;;;;;;;;;;;;;;;;;;;;;;Blanc.;"<span style=font-Taille :18px""><b>Coque additionnelle de protection contre le vent VPS</b></span><ul><li>Uniquement pour les VPS plastique</li><li>à fixer sur les coques</li><li>Ajustable en deux positions (variable)</li><li>Livré par paire (G/D)</li><li>Disponible en: <i><b>Noir, Blanc</b></i></li></ul>""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10072;;Kit de barres VPS en aluminium;;;;;;;;;;;;;;;;;;;;;;;;;;;Gauche / Droite. Sans arceaux;"<span style=font-Taille :18px""><b>Structure VPS Aluminium </b></span><ul><li>Sans système de fixation</li><li>Livré (G/D)</li></ul>""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10073;;Bague et vis;;;;;;;;;;;;;;;;;;;;;;;;;;;10 mm.;"<span style=font-Taille :18px""><b>Entretoise et boulon</b></span><br><br><ul><li>Distance: 10mm</li><li>Pour gagner de la place entre la coque et le guidon</li></ul>""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10074;;Bague et vis;;;;;;;;;;;;;;;;;;;;;;;;;;;20 mm.;"<span style=font-Taille :18px""><b>Entretoise et boulon</b></span><br><br><ul><li>Distance: 20mm</li><li>Pour gagner de la place entre la coque et le guidon</li></ul>""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10076;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10077;;Coque gauche STORM S1 de remplacement;;;;;;;;;;;;;;;;;;;;;;;;;;;Noir. L-Support;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10078;;Coque droite STORM S1 de remplacement;;;;;;;;;;;;;;;;;;;;;;;;;;;Noir. L-Support;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10079;;Kit BBZ pour protège-mains;;;;;;;;;;;;;;;;;;;;;;;;;;;Noir / Gris.;"<span style=font-Taille :18px""><b>BBZ Protège-mains</b></span><ul><li>Construit pour les fortes conditions<li>Noir / Gris</li><li>Protection Maximum </li><li>Avec le matériel de montage</ul>""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10080;;Sacoche intérieure TRAX GEAR+;;;;;;;;;;;;;;;;;;;;;;;;;;;600D Polyester. Noir. Pour valises ALU-BOX.;<p>Les sacoches intérieures rembourrées TRAX GEAR+ sont le complément parfait pour les valises latérales en aluminium TraX EVO/TRAX ADVENTURE. Les sacoches sont fabriquées en polyester 600D, un matériau résistant aux déchirures et insensible à la lumière. Elles s’insèrent parfaitement dans toutes les valises latérales en aluminium grâce au soufflet d’expansion, tout en offrant une protection aux bagages fragiles comme les appareils photos contre les vibrations et l’abrasion. Grâce à leurs grosses poignées, elles sont faciles à manipuler, à rentrer et sortir des valises. Une poche supplémentaire intégrée dans le rabat d’ouverture et fermée par une fermeture-éclair permet de ranger facilement de petits éléments comme un portefeuille, un smartphone ou les papiers du véhicule. Afin de les protéger aussi bien dans les valises que lorsqu’elles sont posées au sol, la surface inférieure extérieure des valises est doublée d’un matériau antidérapant et particulièrement résistant.</p> <p>Un soufflet d’expansion régulé par une fermeture-éclair permet d’agrandir la sacoche du volume de 37 litres à celui de 45 litres. La sacoche est adaptée à toutes les valises aluminium. Les mesures de la sacoche sont 48x20x33, et de 48x25x33 losrque le soufflet d’expansion est ouvert (longueur / largeur / hauteur).</p> <b>Caractéristiques</b> <!--BB--><ul> <li>Matériau antidérapant</li> <li>Soufflet d’élargissement à fermeture-éclair</li> <li>Poche supplémentaire dans le rabat de fermeture</li> <li>Utilisable dans toutes les valises latérales en aluminium</li> </ul><!--EB--> <b>Contenu</b> <ul> <li>Sacoche intérieure TRAX® GEAR+</li> <ul>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10081;;Sacoche interne de couvercle TRAX GEAR+;;;;;;;;;;;;;;;;;;;;;;;;;;;Noir. Pour valises latérales TRAX ADV.;<p> Les sacoche internes rembourrés TRAX GEAR+ sont fabriquées en polyester 600D indéchirable. Avec les sangles fournies, la sacoche se fixe aux points d´attache du couvercle de la valise latérale TRAX ADVENTURE. L’ingénieuse fermeture-éclair centrale facilite l´accès au contenu, tandis que que poignée facilite le port.</p><b>Caractéristiques</b> <!--BB--> <ul> <li>Sacoche interne de couvercle pour la gamme de valises latérales TRAX ADVENTURE </li>  <li>En polyester 600D indéchirable et résistant à la lumière</li>  <li>Fixation rapide aux points d´attache à l’intérieur du couvercle</li><li>Ouverture simple dans le couvercle de la valise </li><li>Compartiment auxiliaire avec fermeture éclair</li> <li> Poignée pour transport facile</li>  </ul>  <!--EB--> <b>Inclus</b> <!--BL--> <ul><li>Sacoche interne pour valises latérales TRAX GEAR+</li> <li>Sangles d´installation</li></ul> <!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10082;;Sacoche interne de topcase TRAX GEAR+;;;;;;;;;;;;;;;;;;;;;;;;;;;Polyester 600D. Noir. Pour tous Topcases ALU-BOX.;<p>Les sacoche internes rembourrées TRAX GEAR+ protègent vos bagages les plus fragiles des vibrations et des chocs lors de la conduite. Une poignée facilite leur manipulation ainsi que le port. Une surface antidérapante maintient la sacoche en position. Elle est compatible avec les topcases TRAX ADVENTURE et TraX EVO. Son utilisation est également possible pour les topcases de dimensions 41x34x33 cm.</p><b>Caractéristiques : </b><!--BB--> <ul><li> Sacoche interne rembourré</li><li> Pour topcases ALU-BOX (TRAX  ADVENTURE/TraX EVO)</li><li> Convient aux topcases de dimension 41 x 34 x 33 cm</li><li> Surface antidérapante </li><li>Grande poignée</li><li> Matériau : Polyester 600D indéchirable</li></ul>  <!--EB--><b>Inclus : </b> <!--BL--> <ul><li> Sacoche interne de topcase TRAX GEAR+ </li></ul> <!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10083;;Filet de couvercle de valise latérale TRAX GEAR+;;;;;;;;;;;;;;;;;;;;;;;;;;;Noir. Pour valise latérales TRAX ADV 37 litres.;<p> Tout à portée de main : le filet interne de couvercle pour les TRAX ADVENTURE confère plus de rangement dans la valise. Ce filet très flexible s´attache en un clin d´œil aux attaches intérieures du couvercle, afin que tout le nécessaire soit rapidement accessible. Disponible en 3 tailles, selon la valise pour moto.</p> <b>Caractéristiques : </b> <!--BB--> <ul><li> Filet pour valises TRAX ADVENTURE r</li> <li> Fixation rapide aux points d´attache situés dans le couvercle </li> <li> Matériau : sangle élastique et flexible </li> <li> Dimensions pour valise de 37 litres M : 12 x 28 cm</li> <li> Dimensions pour valise de 45 litres L : 20 x 28 cm</li> <li> Dimensions pour topcase de 38 litres : 20 x 24 cm</li></ul> <!--EB--> <b>Inclus</b> <!--BL--> <ul><li> Filet pour valises latérales TRAX GEAR+ M</li></ul> <!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10084;;Filet de couvercle de valise latérale TRAX GEAR+;;;;;;;;;;;;;;;;;;;;;;;;;;;Noir. Pour valise latérales TRAX ADV 45 litres.;<p> Tout à portée de main : le filet interne de couvercle pour les TRAX ADVENTURE confère plus de rangement dans la valise. Ce filet très flexible s´attache en un clin d´œil aux attaches intérieures du couvercle, afin que tout le nécessaire soit rapidement accessible. Disponible en 3 tailles, selon la valise pour moto.</p> <b>Caractéristiques : </b> <!--BB--> <ul><li> Filet pour valises TRAX ADVENTURE r</li> <li> Fixation rapide aux points d´attache situés dans le couvercle </li> <li> Matériau : sangle élastique et flexible </li> <li> Dimensions pour valise de 37 litres M : 12 x 28 cm</li> <li> Dimensions pour valise de 45 litres L : 20 x 28 cm</li> <li> Dimensions pour topcase de 38 litres : 20 x 24 cm</li></ul> <!--EB--> <b>Inclus</b> <!--BL--> <ul><li> Filet pour valises latérales TRAX GEAR+ M</li></ul> <!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10085;;Filet de couvercle de topcase TRAX GEAR+;;;;;;;;;;;;;;;;;;;;;;;;;;;Noir. Pour topcase TRAX ADV.;<p> Tout à portée de main : le filet interne de couvercle pour les TRAX ADVENTURE confère plus de rangement dans la valise. Ce filet très flexible s´attache en un clin d´œil aux attaches intérieures du couvercle, afin que tout le nécessaire soit rapidement accessible. Disponible en 3 tailles, selon la valise pour moto.</p> <b>Caractéristiques : </b> <!--BB--> <ul><li> Filet pour valises TRAX ADVENTURE r</li> <li> Fixation rapide aux points d´attache situés dans le couvercle </li> <li> Matériau : sangle élastique et flexible </li> <li> Dimensions pour valise de 37 litres M : 12 x 28 cm</li> <li> Dimensions pour valise de 45 litres L : 20 x 28 cm</li> <li> Dimensions pour topcase de 38 litres : 20 x 24 cm</li></ul> <!--EB--> <b>Inclus</b> <!--BL--> <ul><li> Filet pour valises latérales TRAX GEAR+ M</li></ul> <!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10086;;Navi Case Pro S;;;;;;;;;;;;;;;;;;;;;;;;;;;EVA. Noir.;<p>Etui de protection pour smartphones et appareils de navigations : la membrane transparente et hydrofuge du Sac Navi Case Pro permet l´utilisation des écrans tactiles. La fermeture-éclair renforcée sur le pourtour empêche la pénétration de l´eau. L´avant et l´arrière de l´étui sont composés de matériau EVA indéformable. A lintérieur, le rembourrage et les bandes velcro conférent une position idéale et stable à l´appareil utilisé.</p> <b> Particularités</b> <!--BB--> <ul><li> Protection contre les conditions climatiques pour smartphones et appareils de navigation</li> <li> Ecran avec membrane tactile</li> <li> Espace intérieur rembourré avec bandes de maintien velcro </li> <li> Fermeture-éclair résistante à leau</li> <li> Espace de fixation pour les zippers</li> <li> Ouverture de passage pour les câbles pour alimentation électrique</li> <li> Support de base compatible avec les supports SW-MOTECH</li> <li> Dimensions: 150 x 88 x 45 mm</li> <li> taille de l´écran: 130 x 68 mm</li></ul> <!--EB--> <b>Contenu</b> <!--BL--> <ul><li> Étui étanche Navi Case Pro S</li> <li>Indication : Support pour montage sur la moto non-fourni</li></ul> <!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10087;;Navi Case Pro M;;;;;;;;;;;;;;;;;;;;;;;;;;;EVA. Noir. ;<p>Etui de protection pour smartphones et appareils de navigations : la membrane transparente et hydrofuge du Sac Navi Case Pro permet l´utilisation des écrans tactiles. La fermeture-éclair renforcée sur le pourtour empêche la pénétration de l´eau. L´avant et l´arrière de l´étui sont composés de matériau EVA indéformable. A l´intérieur, le rembourrage et les bandes velcro conférent une position idéale et stable à l´appareil utilisé.</p> <b> Particularités</b> <!--BB--> <ul><li> Protection contre les conditions climatiques pour smartphones et appareils de navigation</li> <li> Ecran avec membrane tactile</li> <li> Espace intérieur rembourré avec bandes de maintien velcro </li> <li> Fermeture-éclair résistante à leau</li> <li> Espace de fixation pour les zippers</li> <li> Ouverture de passage pour les câbles pour alimentation électrique</li> <li> Support de base compatible avec les supports SW-MOTECH</li> <li> Dimensions: 150 x 88 x 45 mm</li> <li> taille de l´écran: 130 x 68 mm</li></ul> <!--EB--> <b>Contenu</b> <!--BL--> <ul><li> Étui étanche Navi Case Pro M</li> <li>Indication : Support pour montage sur la moto non-fourni</li></ul> <!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10088;;Navi Case Pro L;;;;;;;;;;;;;;;;;;;;;;;;;;;EVA. Noir. ;<p>Etui de protection pour smartphones et appareils de navigations : la membrane transparente et hydrofuge du Sac Navi Case Pro permet l´utilisation des écrans tactiles. La fermeture-éclair renforcée sur le pourtour empêche la pénétration de l´eau. L´avant et l´arrière de l´étui sont composés de matériau EVA indéformable. A l´intérieur, le rembourrage et les bandes velcro conférent une position idéale et stable à l´appareil utilisé.</p> <b> Particularités</b> <!--BB--> <ul><li> Protection contre les conditions climatiques pour smartphones et appareils de navigation</li> <li> Ecran avec membrane tactile</li> <li> Espace intérieur rembourré avec bandes de maintien velcro </li> <li> Fermeture-éclair résistante à leau</li> <li> Espace de fixation pour les zippers</li> <li> Ouverture de passage pour les câbles pour alimentation électrique</li> <li> Support de base compatible avec les supports SW-MOTECH</li> <li> Dimensions: 150 x 88 x 45 mm</li> <li> taille de l´écran: 130 x 68 mm</li></ul> <!--EB--> <b>Contenu</b> <!--BL--> <ul><li> Étui étanche Navi Case Pro L</li> <li>Indication : Support pour montage sur la moto non-fourni</li></ul> <!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10089;;Sacoche de selle Speedpack®;;;;;;;;;;;;;;;;;;;;;;;;;;;1680 Balistique Nylon. Noir. 75 l - 90 l.;<ul> <li>Pour différents types de motos</li> <li>Volume: 75 - 90 litres</li> <li>4 points de fixation</li> <li>Peut contenir un casque</li> <li>Détails réfléchissants</li> <li>Structure rigide</li> <li>Compartiments multiples</li></ul><b>Inclus :</b><!--BL--><ul> <li> sacoche de selle en 3 parties</li> <li>Sac interne étanche <b>(BC.ZUB.00.015.30000)</b></li> <li>4 sangles de fixation <b>(BC.ZUB.00.001.30000)</b></li> <li>2 Sangles de compression<b> (BC.ZUB.00.003.30000)</b></li> <li>2 supports sangles pour fixer sur le support de plaque dimmatriculation<b>(BC.ZUB.00.004.30000)</b></li> <li>Sangle bandoulière<b>(BC.ZUB.00.041.30000)</b></li> <li>Film de protection<b>(BCK.LSF)</b></li><li>Cadenas de verrouillage</li></ul><!--EL--><b>Accessoires en option :</b> <ul> <li>Tentbag</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10090;;Sacoche de selle Racepack®;;;;;;;;;;;;;;;;;;;;;;;;;;;Nylon balistique 1680. Noir. 50 l - 65 l.;<ul> <li>Pour les motos dont la partie arrière est effilée</li> <li>Volume: 50 - 65 litres</li> <li>4 points de fixation</li> <li>Peut contenir un casque</li> <li>Détails réfléchissants</li> <li>Structure rigide</li></ul><b>Inclus:</b><!--BL--> <ul> <li>sacoche de selle <li>Sac interne étanche<b> (BC.ZUB.00.014.30000)</b></li> <li>4 sangles de fixation <b>(BC.ZUB.00.001.30000)</b></li> <li>2 Sangles de compression <b>(BC.ZUB.00.003.30000)</b></li> <li>2 supports sangles pour fixer sur le support de plaque dimmatriculation<b>(BC.ZUB.00.004.30000)</b></li> <li>Sangle bandoulière<b>(BC.ZUB.00.041.30000)</b></li> <li>Film de protection<b>(BCK.LSF)</b></li></ul><!--EL--><b>Accessoires en option :</b></li> <ul> <li>Tentbag</li> <li>Cadenas de verrouillage</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10091;;Sacoche de selle Jetpack;;;;;;;;;;;;;;;;;;;;;;;;;;;Nylon balistique 1680. Noir. 20 l - 33 l.;<ul> <li>Pour différents types de motos</li> <li>Volume: 20 l - 33 l</li> <li>Utilisable en sacoche de selle et en sac à dos</li> <li>4 points de fixation par click de fermeture</li><li>Compatible avec l ALU- RACK</li> <li>Détails réfléchissants</li></ul><b>Inclus:</b><!--BL--><ul> <li>sacoche de selle</li> <li>Housse de pluie<b> (BC.ZUB.00.058.30000)</b></li> <li>2 sangles de fixation<b> (BC.ZUB.00.061.30000)</b></li><li>Film de protection<b>(BCK.LSF)</b></li></ul><!--EL--><b>Accessoires en option :</b> <ul> <li>Cadenas de verrouillage</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10092;;Sacoche de selle Rearbag;;;;;;;;;;;;;;;;;;;;;;;;;;;Nylon balistique 1680. Noir. 24 l - 36 l.;<ul> <li>Pour différents types de motos</li> <li>Volume: 24 - 36 litres</li> <li>4 points de fixation</li> <li>Très bonne résistance à leau grâce à la fermeture par le haut</li> <li></li>Peut contenir un casque <li>Détails réfléchissants</li></ul><b>Inclus:</b><!--BL--> <ul> <li>sacoche de selle</li> <li>Sac interne étanche<b> (BC.ZUB.00.013.30000)</b></li> <li>4 sangles de fixation <b>(BC.ZUB.00.001.30000)</b></li> <li>2 Sac à dos sangles <b>(BC.ZUB.00.002.30000)</b></li> <li>2 supports pour fixer sur le support de plaque dimmatriculation <b>(BC.ZUB.00.004.30000)</b></li> <li>Film de protection<b>(BCK.LSF)</b></li></ul><!--EL--><b>Accessoires en option :</b> <ul> <li>Cadenas de verrouillage</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10093;;Sac de selle Rackpack;;;;;;;;;;;;;;;;;;;;;;;;;;;Nylon balistique 1680. Noir. 36 l - 45 l.;<ul> <li>Compatible avec la plupart des motos </li> <li>Pour fixer une extension de porte bagage pour Rack QUICK-LOCK sur le ALU-RACK</li> <li>Volume: 36- 45 litres</li> <li>4 points de fixations</li> <li>Peut contenir un casque</li> <li>Détails réfléchissants</li></ul><b>Inclus:</b><!--BL--><ul> <li>sacoche de selle</li><li>Sac interne étanche<b> (BC.ZUB.00.011.30000)</b></li> <li>Sangle bandoulière<b>(BC.ZUB.00.041.30000)</b></li></ul><!--EL--><b>Accessoires en option:</b> <ul> <li>Cadenas de verrouillage</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10094;;Sacoche de selle Cargobag;;;;;;;;;;;;;;;;;;;;;;;;;;;Nylon balistique 1680. Noir. 50 l.;<ul> <li>Universel</li> <li>Volume 50 litres </li> <li>4 points de fixation</li> <li>Peut contenir un casque</li> <li>Détails réfléchissants</li></ul><b >Inclus:</b><!--BL--><ul> <li>sacoche de selle</li> <li>Sac interne étanche <b>(BC.ZUB.00.010.30000)</b></li> <li>4 sangles<b> (BC.ZUB.00.001.30000)</b></li> <li>2 Sangles de compression<b> (BC.ZUB.00.003.30000)</b></li> <li>2 support sangles pour fixer sur le support de plaque<b> (BC.ZUB.00.004.30000)</b></li> <li>Film de protection<b>(BCK.LSF)</b></li></ul><!--EL--><b>Accessoires en option :</b> <ul> <li>Tentbag</li> <li>Cadenas de verrouillage</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10095;;Sacoche de selle Slipstream;;;;;;;;;;;;;;;;;;;;;;;;;;;Nylon balistique 1680. Noir. 13 l.;<ul> <li>Pour toutes les motos</li> <li>Volume: 13 litres</li> <li>4 points de fixation</li> <li>Sac à dos avec</li><li>structure interne</li><li>fermeture étanche</li><li>Détails réfléchissants</li></ul><b>Inclus:</b><!--BL--> <ul> <li>sacoche de selle</li> <li>Sac interne étanche <b>(BC.ZUB.00.060.30000)</b></li> <li>4 sangles de fixation<b> (BC.ZUB.00.042.30000) </b></li> <li>2 Sac à dos sangles</li> <li>Film de protection<b>(BCK.LSF)</b></li></ul><!--EL--><b>Accessoires en option:</b> <ul> <li>Cadenas de verrouillage</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
