ID;Active (0/1);Name *;Parent category;Root category (0/1)åÊ;Description;Meta title;Meta keywords;Meta description;URL rewritten;Image URL
;1;Equipement Motard;0;0;;;;;;
;1;Equipement Scooteriste;0;0;;;;;;
;1;Accessoires Moto et Scooter;0;0;;;;;;
;1;Pièces d'Entretien;0;0;;;;;;
;1;Sportswear & City;0;0;;;;;;
;1;Tout Terrain;0;0;;;;;;
