Product ID*;;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
85547;;Taille Casque:select:0;M:3;DMD175-M;DMD175-M;;;;;;0;;;;;;;;;;;
85547;;Taille Casque:select:0;S:2;DMD175-S;DMD175-S;;;;;;0;;;;;;;;;;;
85547;;Taille Casque:select:0;XL:6;DMD175-XL;DMD175-XL;;;;;;0;;;;;;;;;;;
85547;;Taille Casque:select:0;XS:1;DMD175-XS;DMD175-XS;;;;;;0;;;;;;;;;;;
85548;;Taille Casque:select:0;L:4;DMD176-L;DMD176-L;;;;;;0;;;;;;;;;;;
85548;;Taille Casque:select:0;M:3;DMD176-M;DMD176-M;;;;;;0;;;;;;;;;;;
85548;;Taille Casque:select:0;S:2;DMD176-S;DMD176-S;;;;;;0;;;;;;;;;;;
85548;;Taille Casque:select:0;XL:6;DMD176-XL;DMD176-XL;;;;;;0;;;;;;;;;;;
85548;;Taille Casque:select:0;XS:1;DMD176-XS;DMD176-XS;;;;;;0;;;;;;;;;;;
85549;;Taille Casque:select:0;L:4;DMD177-L;DMD177-L;;;;;;0;;;;;;;;;;;
85549;;Taille Casque:select:0;M:3;DMD177-M;DMD177-M;;;;;;0;;;;;;;;;;;
85549;;Taille Casque:select:0;S:2;DMD177-S;DMD177-S;;;;;;0;;;;;;;;;;;
85549;;Taille Casque:select:0;XL:6;DMD177-XL;DMD177-XL;;;;;;0;;;;;;;;;;;
85549;;Taille Casque:select:0;XS:1;DMD177-XS;DMD177-XS;;;;;;0;;;;;;;;;;;
85550;;Taille Casque:select:0;L:4;DMD178-L;DMD178-L;;;;;;0;;;;;;;;;;;
85550;;Taille Casque:select:0;M:3;DMD178-M;DMD178-M;;;;;;0;;;;;;;;;;;
85550;;Taille Casque:select:0;S:2;DMD178-S;DMD178-S;;;;;;0;;;;;;;;;;;
85550;;Taille Casque:select:0;XL:6;DMD178-XL;DMD178-XL;;;;;;0;;;;;;;;;;;
85550;;Taille Casque:select:0;XS:1;DMD178-XS;DMD178-XS;;;;;;0;;;;;;;;;;;
85551;;Taille Casque:select:0;L:4;DMD179-L;DMD179-L;;;;;;0;;;;;;;;;;;
85551;;Taille Casque:select:0;M:3;DMD179-M;DMD179-M;;;;;;0;;;;;;;;;;;
85551;;Taille Casque:select:0;S:2;DMD179-S;DMD179-S;;;;;;0;;;;;;;;;;;
85551;;Taille Casque:select:0;XL:6;DMD179-XL;DMD179-XL;;;;;;0;;;;;;;;;;;
85551;;Taille Casque:select:0;XS:1;DMD179-XS;DMD179-XS;;;;;;0;;;;;;;;;;;
85552;;Taille Casque:select:0;L:4;DMD180-L;DMD180-L;;;;;;0;;;;;;;;;;;
85552;;Taille Casque:select:0;M:3;DMD180-M;DMD180-M;;;;;;0;;;;;;;;;;;
85552;;Taille Casque:select:0;S:2;DMD180-S;DMD180-S;;;;;;0;;;;;;;;;;;
85552;;Taille Casque:select:0;XL:6;DMD180-XL;DMD180-XL;;;;;;0;;;;;;;;;;;
85552;;Taille Casque:select:0;XS:1;DMD180-XS;DMD180-XS;;;;;;0;;;;;;;;;;;
85553;;Taille Casque:select:0;L:4;DMD181-L;DMD181-L;;;;;;0;;;;;;;;;;;
85553;;Taille Casque:select:0;M:3;DMD181-M;DMD181-M;;;;;;0;;;;;;;;;;;
85553;;Taille Casque:select:0;S:2;DMD181-S;DMD181-S;;;;;;0;;;;;;;;;;;
85553;;Taille Casque:select:0;XL:6;DMD181-XL;DMD181-XL;;;;;;0;;;;;;;;;;;
85553;;Taille Casque:select:0;XS:1;DMD181-XS;DMD181-XS;;;;;;0;;;;;;;;;;;
85554;;Taille Casque:select:0;L:4;DMD301-L;DMD301-L;;;;;;0;;;;;;;;;;;
85554;;Taille Casque:select:0;M:3;DMD301-M;DMD301-M;;;;;;1;;;;;;;;;;;
85554;;Taille Casque:select:0;S:2;DMD301-S;DMD301-S;;;;;;1;;;;;;;;;;;
85554;;Taille Casque:select:0;XL:6;DMD301-XL;DMD301-XL;;;;;;0;;;;;;;;;;;
85554;;Taille Casque:select:0;XS:1;DMD301-XS;DMD301-XS;;;;;;1;;;;;;;;;;;
85555;;Taille Casque:select:0;L:4;DMD302-L;DMD302-L;;;;;;1;;;;;;;;;;;
85555;;Taille Casque:select:0;M:3;DMD302-M;DMD302-M;;;;;;2;;;;;;;;;;;
85555;;Taille Casque:select:0;S:2;DMD302-S;DMD302-S;;;;;;1;;;;;;;;;;;
85555;;Taille Casque:select:0;XL:6;DMD302-XL;DMD302-XL;;;;;;1;;;;;;;;;;;
85555;;Taille Casque:select:0;XS:1;DMD302-XS;DMD302-XS;;;;;;1;;;;;;;;;;;
85556;;Taille Casque:select:0;L:4;DMD303-L;DMD303-L;;;;;;0;;;;;;;;;;;
85556;;Taille Casque:select:0;M:3;DMD303-M;DMD303-M;;;;;;0;;;;;;;;;;;
85556;;Taille Casque:select:0;S:2;DMD303-S;DMD303-S;;;;;;0;;;;;;;;;;;
85556;;Taille Casque:select:0;XL:6;DMD303-XL;DMD303-XL;;;;;;0;;;;;;;;;;;
85556;;Taille Casque:select:0;XS:1;DMD303-XS;DMD303-XS;;;;;;0;;;;;;;;;;;
85557;;Taille Casque:select:0;L:4;DMD304-L;DMD304-L;;;;;;0;;;;;;;;;;;
85557;;Taille Casque:select:0;M:3;DMD304-M;DMD304-M;;;;;;0;;;;;;;;;;;
85557;;Taille Casque:select:0;S:2;DMD304-S;DMD304-S;;;;;;0;;;;;;;;;;;
85557;;Taille Casque:select:0;XL:6;DMD304-XL;DMD304-XL;;;;;;0;;;;;;;;;;;
85557;;Taille Casque:select:0;XS:1;DMD304-XS;DMD304-XS;;;;;;0;;;;;;;;;;;
85578;;Taille Casque:select:0;L:4;DMD920-L;DMD920-L;;;;;;1;;;;;;;;;;;
85578;;Taille Casque:select:0;M:3;DMD920-M;DMD920-M;;;;;;1;;;;;;;;;;;
85578;;Taille Casque:select:0;S:2;DMD920-S;DMD920-S;;;;;;1;;;;;;;;;;;
85578;;Taille Casque:select:0;XL:6;DMD920-XL;DMD920-XL;;;;;;1;;;;;;;;;;;
85578;;Taille Casque:select:0;XS:1;DMD920-XS;DMD920-XS;;;;;;1;;;;;;;;;;;
85579;;Taille Casque:select:0;2XL:5;DMD950-2XL;DMD950-2XL;;;;;;0;;;;;;;;;;;
85579;;Taille Casque:select:0;L:4;DMD950-L;DMD950-L;;;;;;0;;;;;;;;;;;
85579;;Taille Casque:select:0;M:3;DMD950-M;DMD950-M;;;;;;0;;;;;;;;;;;
85579;;Taille Casque:select:0;S:2;DMD950-S;DMD950-S;;;;;;0;;;;;;;;;;;
85579;;Taille Casque:select:0;XL:6;DMD950-XL;DMD950-XL;;;;;;0;;;;;;;;;;;
85579;;Taille Casque:select:0;XS:1;DMD950-XS;DMD950-XS;;;;;;0;;;;;;;;;;;
85580;;Taille Casque:select:0;2XL:5;DMD970-2XL;DMD970-2XL;;;;;;0;;;;;;;;;;;
85580;;Taille Casque:select:0;L:4;DMD970-L;DMD970-L;;;;;;0;;;;;;;;;;;
85580;;Taille Casque:select:0;M:3;DMD970-M;DMD970-M;;;;;;0;;;;;;;;;;;
85580;;Taille Casque:select:0;S:2;DMD970-S;DMD970-S;;;;;;0;;;;;;;;;;;
85580;;Taille Casque:select:0;XL:6;DMD970-XL;DMD970-XL;;;;;;0;;;;;;;;;;;
85580;;Taille Casque:select:0;XS:1;DMD970-XS;DMD970-XS;;;;;;0;;;;;;;;;;;
85581;;Taille Casque:select:0;2XL:5;DMD990-2XL;DMD990-2XL;;;;;;0;;;;;;;;;;;
85581;;Taille Casque:select:0;L:4;DMD990-L;DMD990-L;;;;;;0;;;;;;;;;;;
85581;;Taille Casque:select:0;M:3;DMD990-M;DMD990-M;;;;;;0;;;;;;;;;;;
85581;;Taille Casque:select:0;S:2;DMD990-S;DMD990-S;;;;;;0;;;;;;;;;;;
85581;;Taille Casque:select:0;XL:6;DMD990-XL;DMD990-XL;;;;;;0;;;;;;;;;;;
85581;;Taille Casque:select:0;XS:1;DMD990-XS;DMD990-XS;;;;;;0;;;;;;;;;;;
