id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);url strt;url end;image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
61668;0;Filtre è Air Hiflofiltro Hfa4502;331;16;1;29.63;1;;;;;HFA4502;;Freidig;Hiflo;;;;;;;;3;;both;;;;;0;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-02-15;2016-02-15;1;http://www.motogoodeal.ch/img/import/;HFA4502_0.jpg;http://www.motogoodeal.ch/img/import/HFA4502_0.jpg;0;Marque:Hiflo:1,Type de Filtre:Filtre à air:2,;1;new;0;0;0;0;0;0;0;0
61669;0;Filtre è Air Hiflofiltro Hfa4503;331;19;1;35.19;1;;;;;HFA4503;;Freidig;Hiflo;;;;;;;;2;;both;;;;;0;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-02-15;2016-02-15;1;http://www.motogoodeal.ch/img/import/;HFA4503_0.jpg;http://www.motogoodeal.ch/img/import/HFA4503_0.jpg;0;Marque:Hiflo:1,Type de Filtre:Filtre à air:2,;1;new;0;0;0;0;0;0;0;0
61670;0;Filtre è Air Hiflofiltro Hfa4504;331;17.5;1;32.41;1;;;;;HFA4504;;Freidig;Hiflo;;;;;;;;3;;both;;;;;0;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-02-15;2016-02-15;1;http://www.motogoodeal.ch/img/import/;HFA4504_0.jpg;http://www.motogoodeal.ch/img/import/HFA4504_0.jpg;0;Marque:Hiflo:1,Type de Filtre:Filtre à air:2,;1;new;0;0;0;0;0;0;0;0
61671;0;Filtre è Air Hiflofiltro Hfa4505;331;7;1;12.96;1;;;;;HFA4505;;Freidig;Hiflo;;;;;;;;2;;both;;;;;0;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-02-15;2016-02-15;1;http://www.motogoodeal.ch/img/import/;HFA4505_0.jpg;http://www.motogoodeal.ch/img/import/HFA4505_0.jpg;0;Marque:Hiflo:1,Type de Filtre:Filtre à air:2,;1;new;0;0;0;0;0;0;0;0
61672;0;Filtre è Air Hiflofiltro Hfa4506;331;7;1;12.96;1;;;;;HFA4506;;Freidig;Hiflo;;;;;;;;4;;both;;;;;0;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-02-15;2016-02-15;1;http://www.motogoodeal.ch/img/import/;HFA4506_0.jpg;http://www.motogoodeal.ch/img/import/HFA4506_0.jpg;0;Marque:Hiflo:1,Type de Filtre:Filtre à air:2,;1;new;0;0;0;0;0;0;0;0
61673;0;Filtre è Air Hiflofiltro Hfa4507;331;7.5;1;13.89;1;;;;;HFA4507;;Freidig;Hiflo;;;;;;;;4;;both;;;;;0;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-02-15;2016-02-15;1;http://www.motogoodeal.ch/img/import/;HFA4507_0.jpg;http://www.motogoodeal.ch/img/import/HFA4507_0.jpg;0;Marque:Hiflo:1,Type de Filtre:Filtre à air:2,;1;new;0;0;0;0;0;0;0;0
61674;0;Filtre è Air Hiflofiltro Hfa4508;331;7.5;1;13.89;1;;;;;HFA4508;;Freidig;Hiflo;;;;;;;;1;;both;;;;;0;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-02-15;2016-02-15;1;http://www.motogoodeal.ch/img/import/;HFA4508_0.jpg;http://www.motogoodeal.ch/img/import/HFA4508_0.jpg;0;Marque:Hiflo:1,Type de Filtre:Filtre à air:2,;1;new;0;0;0;0;0;0;0;0
61675;0;Filtre è Air Hiflofiltro Hfa4509;331;9.5;1;17.59;1;;;;;HFA4509;;Freidig;Hiflo;;;;;;;;1;;both;;;;;0;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-02-15;2016-02-15;1;http://www.motogoodeal.ch/img/import/;HFA4509_0.jpg;http://www.motogoodeal.ch/img/import/HFA4509_0.jpg;0;Marque:Hiflo:1,Type de Filtre:Filtre à air:2,;1;new;0;0;0;0;0;0;0;0
61676;0;Filtre è Air Hiflofiltro Hfa4510;331;11;1;20.37;1;;;;;HFA4510;;Freidig;Hiflo;;;;;;;;3;;both;;;;;0;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-02-15;2016-02-15;1;http://www.motogoodeal.ch/img/import/;HFA4510_0.jpg;http://www.motogoodeal.ch/img/import/HFA4510_0.jpg;0;Marque:Hiflo:1,Type de Filtre:Filtre à air:2,;1;new;0;0;0;0;0;0;0;0
61677;0;Filtre è Air Hiflofiltro Hfa4601;331;17;1;31.48;1;;;;;HFA4601;;Freidig;Hiflo;;;;;;;;2;;both;;;;;0;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-02-15;2016-02-15;1;http://www.motogoodeal.ch/img/import/;HFA4601_0.jpg;http://www.motogoodeal.ch/img/import/HFA4601_0.jpg;0;Marque:Hiflo:1,Type de Filtre:Filtre à air:2,;1;new;0;0;0;0;0;0;0;0
