ID;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
43668;;Büse Jarama Lederkombi 2 Tlg.;;;;;;;;;;;;;;;;;;;;;;;;;;;SCHWARZ/GRÜN ;<ul><li>Rindleder 1.2-1.4 mm</li><li>atmungsaktives Netzinnenfutter,elastische Komforteinsätze zur Optimierung der Bewegungsfreiheit</li><li>ergonomisch angepasste Schnittführung</li><li>Hartschalen mit Metalleinsätzen an Ellbogen und Schultern</li><li>Verbindungsreissverschluss</li><li>Wadenweitenverstellung</li><li>2 Innentaschen</li><li>Sicherheit: Sas-Tec Protektoren an Schultern, Ellbogen und Knien, herausnehmbare Polsterungen am Rücken und an der Hüfte</li><li>Material: 100% Rindleder</li><li>92% Polyamid, 8% Elastan</li><li>Futter: 100% Polyester</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
43669;;Büse Jarama Lederkombi 2 Tlg.;;;;;;;;;;;;;;;;;;;;;;;;;;;SCHWARZ/NEON GELB ;<ul><li>Rindleder 1.2-1.4 mm</li><li>atmungsaktives Netzinnenfutter,elastische Komforteinsätze zur Optimierung der Bewegungsfreiheit</li><li>ergonomisch angepasste Schnittführung</li><li>Hartschalen mit Metalleinsätzen an Ellbogen und Schultern</li><li>Verbindungsreissverschluss</li><li>Wadenweitenverstellung</li><li>2 Innentaschen</li><li>Sicherheit: Sas-Tec Protektoren an Schultern, Ellbogen und Knien, herausnehmbare Polsterungen am Rücken und an der Hüfte</li><li>Material: 100% Rindleder</li><li>92% Polyamid, 8% Elastan</li><li>Futter: 100% Polyester</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
43670;;Büse Jarama Kombi 1Tlg.;;;;;;;;;;;;;;;;;;;;;;;;;;;SCHWARZ/WEISS ;<ul><li>Rindleder 1.2-1.4 mm</li><li>atmungsaktives Netzinnenfutter,elastische Komforteinsätze zur Optimierung der Bewegungsfreiheit</li><li>ergonomisch angepasste Schnittführung</li><li>Hartschalen mit Metalleinsätzen an Ellbogen und Schultern</li><li>Verbindungsreissverschluss</li><li>Wadenweitenverstellung</li><li>zwei Innentaschen</li><li>Sicherheit: Sas-Tec Protektoren an Schultern, Ellbogen und Knien, herausnehmbare Polsterungen am Rücken und an der Hüfte</li><li>Material: 88% Leder</li><li>12% Polyamid</li><li>Futter: 100% Polyester</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
43671;;Büse Jarama Kombi 1Tlg.;;;;;;;;;;;;;;;;;;;;;;;;;;;SZ/WEISS/NEON GELB ;<ul><li>Rindleder 1.2-1.4 mm</li><li>atmungsaktives Netzinnenfutter,elastische Komforteinsätze zur Optimierung der Bewegungsfreiheit</li><li>ergonomisch angepasste Schnittführung</li><li>Hartschalen mit Metalleinsätzen an Ellbogen und Schultern</li><li>Verbindungsreissverschluss</li><li>Wadenweitenverstellung</li><li>zwei Innentaschen</li><li>Sicherheit: Sas-Tec Protektoren an Schultern, Ellbogen und Knien, herausnehmbare Polsterungen am Rücken und an der Hüfte</li><li>Material: 88% Leder</li><li>12% Polyamid</li><li>Futter: 100% Polyester</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
43672;;Büse Lederjeans;;;;;;;;;;;;;;;;;;;;;;;;;;;SCHWARZ ;<ul><li>Rindleder 1.2 mm</li><li>atmungsaktives Netzinnenfutter</li><li>SaS-Tec Protektoren an Hüfte und Knien nachrüstbar</li><li>fünf Taschen</li><li>Obermaterial: 100% Leder</li><li>Futter: 100% Polyester</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
43673;;Büse Vegas Lederjeans;;;;;;;;;;;;;;;;;;;;;;;;;;;;<ul><li>Hose mit 1, 2 bis 1, 4mm starkem Rindleder</li><li>Protektorennachrüstbar</li><li>Innenfutter</li><li>vier Taschen</li><li>Obermaterial: 100% Rindleder</li><li>Futter: 100% Polyamid</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
43674;;Büse Speedster Elchleder-Jacke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43675;;Büse Lederweste;;;;;;;;;;;;;;;;;;;;;;;;;;;SCHWARZ ;<ul><li>Rindleder 1.2 mm</li><li>Seitenschnürung</li><li>2 Aussentaschen</li><li>2 Innentaschen</li><li>Obermaterial: 100% Leder</li><li>Innenfutter: 100% Polyester</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
43676;;Büse Manhattan Lederjacke;;;;;;;;;;;;;;;;;;;;;;;;;;;SCHWARZ ;<ul><li>Hochwertiges</li><li>sehr weiches Rindleder</li><li>4 Aussentaschen,2 Innentaschen</li><li>Sicherheit: Sas-Tec Protektoren an Schultern, Rücken und Ellbogen nachrüstbar</li><li>Material: 100% Leder</li><li>Futter: 100% Polyester</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
43677;;Büse Lara Leder-Jacke Damen;;;;;;;;;;;;;;;;;;;;;;;;;;;SCHWARZ ;<ul><li>Sehr weiches Rindleder</li><li>SaS-Tec CE Protektoren an Schulter und Ellenbogen nachrüstbar</li><li>Netzfutter</li><li>Obermaterial: 100% Rindleder</li><li>Futter: 100% Polyester</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
