id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
45514;;Trenn- Und Nietwerkzeug ;;;;;;;;;;;;;;;;;;;;;;;;;;;520-532 Whale;;;;;;;;;;;;;;;;;;;;;;;;;
45515;;Trenn- Und Nietwerkzeug ;;;;;;;;;;;;;;;;;;;;;;;;;;;520-532 Für Hohlnietschlösser;<ul><li>Es Dürfen Damit Nur Hohlbolzenketten Vernietet Werden! 520-532</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45516;;Trinkschlauch Camelbag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45517;;R-Spiegel Adapter Montage Von ;;;;;;;;;;;;;;;;;;;;;;;;;;;10 Mm Auf 8 Mm Gewinde;<ul><li>Schwarz</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45518;;Schraube Spez.  Zu Traverse;;;;;;;;;;;;;;;;;;;;;;;;;;;M4X7.5 A2 Ähnlich Din 965  10Stk.;;;;;;;;;;;;;;;;;;;;;;;;;
45520;;Ersatz Drink Bag H20 / 2 Lt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45521;;Ariete Schlammspachtel;;;;;;;;;;;;;;;;;;;;;;;;;;;Rot;;;;;;;;;;;;;;;;;;;;;;;;;
45522;;Tankpad Harri'S Puzzle;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz-Carbon;;;;;;;;;;;;;;;;;;;;;;;;;
45523;;Tank Pad Mit Noppen;;;;;;;;;;;;;;;;;;;;;;;;;;;Carbon Look ;;;;;;;;;;;;;;;;;;;;;;;;;
45524;;Ariete Klebstoff ;;;;;;;;;;;;;;;;;;;;;;;;;;;Für Griffgummis;<ul><li>20Gr.</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45525;;Push Led;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45526;;R-Spiegel Adapter Schwarz;;;;;;;;;;;;;;;;;;;;;;;;;;;10 Mm Auf 10 Mm Links Gewinde;<ul><li>M10X1.25</li><li>L = 25 Mm</li><li>Di = Rechts Gewinde</li><li>De = Links Gewinde</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45527;;R-Spiegel Adapter Chrom;;;;;;;;;;;;;;;;;;;;;;;;;;;10 Mm Auf 10 Mm Links Gewinde;<ul><li>M10X1.25</li><li>L = 25 Mm</li><li>Di = Rechts Gewinde</li><li>De = Links Gewinde</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45530;;R-Spiegel Adapter Schwarz;;;;;;;;;;;;;;;;;;;;;;;;;;;10 Mm Auf 10 Mm Gewinde;<ul><li>M10X1.25</li><li>L = 25 Mm</li><li>Di = Rechts Gewinde</li><li>De = Rechts Gewinde</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45531;;Oelfilter Schlüssel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45535;;Schale Mit Magnet Ø 150 Mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45536;;Schale Mit Magnet 130X240 Mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45537;;Kettenmontierhilfe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45538;;Haken Für Feder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45540;;Ketten Reinigungsbürste;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45541;;Pick-Up Werkzeug;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45543;;Chromabdeckkappen Für ;;;;;;;;;;;;;;;;;;;;;;;;;;;22 Mm Schrauben, Paar;<ul><li>Solange Vorrat</li><li>Empfohlener Vp 35.- Chf Sale 10.-</li><li></li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45544;;Verbandtasche Moto ;;;;;;;;;;;;;;;;;;;;;;;;;;;19X17X4 Cm;<ul><li>Robuste</li><li>Reissfeste Gepäckrolle Mit Praktischem</li><li>Längsseitigem Rollbügelverschluss</li><li>Grösse: Ca. 53Cm X Ø Ca. 27Cm</li><li>Volumen: Ca. 30 Lt</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45545;;Snake Eye Lenkerendblinker  ;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz Paar;<ul><li>Für Vorne Und Hinten</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45546;;Snake Eye Lenkerendblinker  ;;;;;;;;;;;;;;;;;;;;;;;;;;;Chrom (Paar);<ul><li>Für Vorne Und Hinten</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45547;;Blinker Micro Bullet;;;;;;;;;;;;;;;;;;;;;;;;;;;Chrom Paar;;;;;;;;;;;;;;;;;;;;;;;;;
45548;;Blinker Led Stripe ;;;;;;;;;;;;;;;;;;;;;;;;;;;;<ul><li>Einbaublinker</li><li>Ohne Gehäuse</li><li>Paar</li><li>55X7X15 Mm</li><li>E-Geprüft</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45550;;Blinker Led Bow Kurz;;;;;;;;;;;;;;;;;;;;;;;;;;;Transparentes Glas / Paar;<ul><li>Gehäuse Schwarz Kurz / Glas Klar</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45551;;M11-5010;;;;;;;;;;;;;;;;;;;;;;;;;;;Blinker Led Lizzard;;;;;;;;;;;;;;;;;;;;;;;;;
45552;;Blinker Lizzard;;;;;;;;;;;;;;;;;;;;;;;;;;;Black/Amber                                              ;<ul><li>Gehäuse Schwarz</li><li>Glas Orange</li><li>Paar</li><li>Ersatzbirne 12V-6W / Nr. 12036 Cp / Chf 10.80</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45553;;Blinkerglas Arrow;;;;;;;;;;;;;;;;;;;;;;;;;;;Gelb, E-Geprüft;;;;;;;;;;;;;;;;;;;;;;;;;
45555;;M11-5052;;;;;;;;;;;;;;;;;;;;;;;;;;;Widerstand 5W-27 Ohm;<ul><li>Wiederstand 27 Ohm/5Watt Mit Kabel, Für Led Blinker, Gleicht Bis Zu 5Watt Aus.</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
