ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;;;;Weight;Quantity;;;;;;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out_of_stock;Advanced stock management;ID / Name of shop\'c2\'a0\;;;Car type casque;Car couleur;Car Ecran;Car public;Car Coque;Car Etancheite;Car Goretex;Att Taille;Att Couleur
;;Casque Shark S900C FINKS;87,99,145;;;339.00;;;20%;2014-02-34;2014-03-17;;HE0955EWKR;Philipe Coulon;Shark;;;;;;;1570;11;;;;;;Le nouveau S900C incarne la nouvelle génération de notre très polyvalent S900. Ce casque agressif et parfaitement équilibré possède toutes les fonctions pratiques, le confort et la sécurité, auxquels s'ajoute un nouveau système de pompe à air pour un ajustement parfait et un confort encore accru ;"• Mousse de joues gonflables pour un ajustement parfait <br>
• Système EASYFIT pour une utilisation confortable avec des lunettes<br>
• Coque thermoplastique injectée<br>
• Écran solaire intégré<br>
• Écran 2,2mm avec double traitement « Total vision »<br>
• Intérieur entièrement démontable et lavable<br>
";;;;;;;;;;;;../import/Casque_integral_unisexe_Shark_s900cfinks_he0955ewkr_blancnoirrouge_droite.jpg;;;;;;;;;;;;; intégral;blanc-noir-rouge;Ecran solaire;Unisexe;Plastique;;;XS (1 fois), S (2 fois), M (3 fois), L (2 fois), XL (3 fois) ;blanc, noir, rouge
;;Casque Shark S900C SIGNATURE;87,99,145;;;339.00;;;20%;2014-02-34;2014-03-17;;HE0980EWRK;Philipe Coulon;Shark;;;;;;;1570;18;;;;;;Le nouveau S900C incarne la nouvelle génération de notre très polyvalent S900. Ce casque agressif et parfaitement équilibré possède toutes les fonctions pratiques, le confort et la sécurité, auxquels s'ajoute un nouveau système de pompe à air pour un ajustement parfait et un confort encore accru ;"• Mousse de joues gonflables pour un ajustement parfait <br>
• Système EASYFIT pour une utilisation confortable avec des lunettes<br>
• Coque thermoplastique injectée<br>
• Écran solaire intégré<br>
• Écran 2,2mm avec double traitement « Total vision »<br>
• Intérieur entièrement démontable et lavable<br>
";;;;;;;;;;;;../import/Casque_integral_unisexe_Shark_s900csignature_he0980ewrk_blancrougenoir_droite.jpg;;;;;;;;;;;;; intégral;blanc-rouge-noir;Ecran solaire;Unisexe;Plastique;;;XS (3 fois), S (3 fois), M (5 fois), L (6 fois), XL (1 fois);blanc, rouge, noir
;;Casque Shark SPEED-R BLANK ;87,99,145;;;429.00;;;20%;2014-02-34;2014-03-17;;HE4600EBLK;Philipe Coulon;Shark;;;;;;;1450;1;;;;;;Le SPEED-R est un casque sport-tourisme spécialement conçu pour répondre aux exigences des motards passionnés de motos non carénées. Léger, ce casque en fibre dispose d’un écran solaire et promet de marier le meilleur des casques Vision-R et Race-R.;"• Système EASYFIT pour une utilisation confortable avec des lunettes<br>
• Aérodynamique et ventilation parfaite sur une moto de route<br>
• Coque en « fibres longues » dernière génération<br>
• Écran de classe optique 1 à épaisseur variable (de 4,2mm à 3mm) pour une qualité optique quasi-parfaite<br>
• Masque anti-buée et bavette anti-remous<br>
• Intérieurs thermoformés, démontables, lavables<br>
";;;;;;;;;;;;../import/Casque_integral_unisexe_Shark_speedrblank_he4600eblk_noir_droite.jpg;;;;;;;;;;;;; intégral;noir ;Ecran solaire;Unisexe;Fibres de carbone;;;M (1 fois);noir 
;;Casque Shark SPEED-R BLANK ;87,99,145;;;429.00;;;20%;2014-02-34;2014-03-17;;HE4600EWHU;Philipe Coulon;Shark;;;;;;;1450;1;;;;;;Le SPEED-R est un casque sport-tourisme spécialement conçu pour répondre aux exigences des motards passionnés de motos non carénées. Léger, ce casque en fibre dispose d’un écran solaire et promet de marier le meilleur des casques Vision-R et Race-R.;"• Système EASYFIT pour une utilisation confortable avec des lunettes<br>
• Aérodynamique et ventilation parfaite sur une moto de route<br>
• Coque en « fibres longues » dernière génération<br>
• Écran de classe optique 1 à épaisseur variable (de 4,2mm à 3mm) pour une qualité optique quasi-parfaite<br>
• Masque anti-buée et bavette anti-remous<br>
• Intérieurs thermoformés, démontables, lavables<br>
";;;;;;;;;;;;../import/Casque_integral_unisexe_Shark_speedrblank_he4600ewhu_blanc_droite.jpg;;;;;;;;;;;;; intégral;blanc;Ecran solaire;Unisexe;Fibres de carbone;;;L;blanc
;;Casque Shark Speed-R TEXAS;87,99,145;;;489.00;;;20%;2014-02-34;2014-03-17;;;Philipe Coulon;Shark;;;;;;;1500;3;;;;;;Le SPEED-R est un casque sport-tourisme spécialement conçu pour répondre aux exigences des motards passionnés de motos non carénées. Léger, ce casque en fibre dispose d’un écran solaire et promet de marier le meilleur des casques Vision-R et Race-R.;"• Système EASYFIT pour une utilisation confortable avec des lunettes<br>
• Aérodynamique et ventilation parfaite sur une moto de route<br>
• Coque en « fibres longues » dernière génération<br>
• Écran de classe optique 1 à épaisseur variable (de 4,2mm à 3mm) pour une qualité optique quasi-parfaite<br>
• Masque anti-buée et bavette anti-remous<br>
• Intérieurs thermoformés, démontables, lavables<br>
";;;;;;;;;;;;../import/Casque_integral_unisexe_Shark_speedrtexas_he4606ewkr_blancrougenoir_droite.jpg;;;;;;;;;;;;; intégral;blanc rouge noir;Ecran solaire;Unisexe;Fibres de carbone;;;S (1 fois), L (1 fois), XL (1 fois);blanc, rouge, noir
;;RAW BLANK MAT;87,99,145;;;329.00;;;20%;2014-02-34;2014-03-17;;HE3012EKMA;Philipe Coulon;Shark;;;;;;;1050;1;;;;;;Motogoodeal vous présente le casque Shark RAW, qui est un casque urbain alliant un encombrement minimum à une esthétique hors du commun. Shark a remplacé l’écran classique des jets par un masque, dont les attaches élastiques sont dissimulées par le kit de fixation. Doté d’un double écran anti-bué et d’une grande ventilation centrale, ce casque vous garantit un excellent confort sans pour autant négliger une protection optimale.;"• Intérieur confortable en fibre naturelle <br>
• Aération par canaux et diffuseurs<br>
• Double écran anti-buée et anti-rayure<br>
• Masque de protection du visage<br>
• Calotte aérodynamique<br>
• Easy fit : passage de lunette facilité<br>
";;;;;;;;;;;;../import/Casque_jet_unisexe_Shark_rawblankmat_he3012ekma_noirmat_devant.jpg;;;;;;;;;;;;; jet;noir-mat;;Unisexe;Plastique;;;M (1 fois);noir
;;RAW STRIPE MAT;87,99,145;;;359.00;;;20%;2014-02-34;2014-03-17;;HE30017EKWK;Philipe Coulon;Shark;;;;;;;1050;5;;;;;;Motogoodeal vous présente le casque Shark RAW, qui est un casque urbain alliant un encombrement minimum à une esthétique hors du commun. Shark a remplacé l’écran classique des jets par un masque, dont les attaches élastiques sont dissimulées par le kit de fixation. Doté d’un double écran anti-bué et d’une grande ventilation centrale, ce casque vous garantit un excellent confort sans pour autant négliger une protection optimale.;"• Intérieur confortable en fibre naturelle <br>
• Aération par canaux et diffuseurs<br>
• Double écran anti-buée et anti-rayure<br>
• Masque de protection du visage<br>
• Calotte aérodynamique<br>
• Easy fit : passage de lunette facilité<br>
";;;;;;;;;;;;../import/Casque_jet_unisexe_Shark_rawstripemat_he30017ekw_noirblanc_devant.jpg;;;;;;;;;;;;; jet;noir-blanc;;Unisexe;Plastique;;;S (1 fois), M (2 fois), L (1 fois), XL (1 fois);noir, blanc  
;;Gants PRO.LEVEL 2;92,104,151,138;;;69.00;;;20%;2014-02-34;2014-03-17;;511806;Honda;Ixon;;;;;;;;5;;;;;;Les gants PRO LEVEL 2 sont des gants textiles chauds et étanches qui se distinguent par leur légèreté et leur souplesse. Malgré leur tarif économique, ces gants possèdent toutes les caractéristiques pour rouler confortablement durant les périodes froides. Dotés d’une doublure thermique et d’une membrane imperméable, ces gants vous préserveront du froid et de la pluie. De plus, la paume se voit renforcée de cuir pour vous garantir une meilleure résistance.;"• Gants en polyester Noxilen<br>
• Etanche et repirant<br>
• Garnissage thermique<br>
• Renforts en mousse sur le dos de la main<br>
• Paume renforcée en cuir<br>
• Serrage poignet modulable avec élastiquage et patte de serrage<br>
";;;;;;;;;;;;../import/Gants_textile_homme_Ixon_ProLevel2_511806_noir_devant.jpg;;;;;;;;;;;;;;noir;;Homme;;Waterproof;;XS (1 fois), S (1 fois), XXL (1 fois), 3XL (2 fois);noir
;;Gants RS TATOO VX HP;92,104,151,138;;;99.00;;;20%;2014-02-34;2014-03-17;;512706;Honda;Ixon;;;;;;;;1;;;;;;Ce gants Roadster en cuir et textile est ventilé et permet une conduite sportive et intensive en été. Sa coque de protection ventilée sur le dos de la main et son renfort en cuir au niveau de la paume sauront vous apporter le confort et la sécurité nécessaire lors de vos trajets en 2 roues. Ce gant se distingue également par ses magnifiques coloris sur le dos de la main.;"• Cuir de chèvre perforé et textile stretch<br>
• Coque de protection ventilée exclusive sur le dos de la main<br>
• Manchette courte avec patte de serrage velcro<br>
• Renfort paume en cuir<br>
• Slider en bas de paume<br>
• Doigts curvés avec flex<br>
• Ventilations incrustées sur l’index, le majeur et l’annulaire<br>
";;;;;;;;;;;;../import/Gants_cuirtextile_femme_Ixon_RsTatooVX_512706_noirblanc_devant.jpg;;;;;;;;;;;;;;noir-blanc;;Femme;;;;L (1 fois);noir, blanc
;;Jeans EVIL;136;;;249.00;;;20%;2014-02-34;2014-03-17;;511603;Honda;Ixon;;;;;;;;1;;;;;;Le jeans Evil est un produit discret, qui permettra de passer inaperçu tout en résistant aux mieux aux diverses glissades, puisqu’il reçoit de multiples renforts Kevlar à l’intérieur aux niveaux des emplacements les plus exposés aux abrasions.;"• Renforts KEVLAR à l’intérieur, au niveau des hanches, des fesses et des genoux<br>
• Taille ajustable par velcro<br>
• Morpho Concept Technologie (permet d’adapter la taille pour chacun)<br>
• Deux hauteurs pour les protections genoux<br>
• Longueur des jambes réglable sur 3 niveaux par pression<br>
";;;;;;;;;;;;../import/Jeans_Kevlar_homme_Ixon_Evil_511603_bleu_devant.jpg;;;;;;;;;;;;;;bleu;;Homme;;;;L (1 fois);bleu
