id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
60027;;Gabelsimmerset ;;;;;;;;;;;;;;;;;;;;;;;;;;;40X52/52,7X10/10,5;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60028;;Gabelsimmerset ;;;;;;;;;;;;;;;;;;;;;;;;;;;35X48X10,5;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60029;;Gabelsimmerset ;;;;;;;;;;;;;;;;;;;;;;;;;;;36X48X11/12,5;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60030;;Gabelsimmerset ;;;;;;;;;;;;;;;;;;;;;;;;;;;37X49/49,4X8/9.5;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60031;;Gabelsimmerset ;;;;;;;;;;;;;;;;;;;;;;;;;;;41,7X55X10/10,5;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60032;;Gabelsimmerset ;;;;;;;;;;;;;;;;;;;;;;;;;;;38X50X7/8;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60033;;Gabelsimmerset ;;;;;;;;;;;;;;;;;;;;;;;;;;;40X52X7;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60034;;Gabelsimmerset ;;;;;;;;;;;;;;;;;;;;;;;;;;;32X43X12,5;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60035;;Gabelsimmerset ;;;;;;;;;;;;;;;;;;;;;;;;;;;38X50X8/9,5;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60036;;Gabelsimmerset ;;;;;;;;;;;;;;;;;;;;;;;;;;;40X52X8/9,5;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60037;;Gabelsimmerset ;;;;;;;;;;;;;;;;;;;;;;;;;;;41,7X55X8/10.5;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60038;;Gabelsimmerset ;;;;;;;;;;;;;;;;;;;;;;;;;;;40X49,5X7/9,5;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60039;;Gabelsimmerset ;;;;;;;;;;;;;;;;;;;;;;;;;;;43X55X10,5/12;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60040;;Gabelsimmerset ;;;;;;;;;;;;;;;;;;;;;;;;;;;39X52X11;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60041;;Gabelsimmerset ;;;;;;;;;;;;;;;;;;;;;;;;;;;33,34X49,21X12,7/17,5;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60042;;Gabelsimmerset ;;;;;;;;;;;;;;;;;;;;;;;;;;;35X50X10;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60043;;Gabelsimmerset ;;;;;;;;;;;;;;;;;;;;;;;;;;;35X47X10;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60044;;Gabelsimmerset ;;;;;;;;;;;;;;;;;;;;;;;;;;;41X53X10,5             132;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60045;;Gabelsimmerset ;;;;;;;;;;;;;;;;;;;;;;;;;;;38,6X48X7;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60046;;Gabelsimmerset ;;;;;;;;;;;;;;;;;;;;;;;;;;;36X46X7/9;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60047;;Gabelsimmerset ;;;;;;;;;;;;;;;;;;;;;;;;;;;37X50X11;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
