Product ID*;Ref Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
44744;;Taille:select:0;8:8;240587.8;240587.8;;;;;;1;1;0;0;2016-02-25;1;"https://www.motogoodeal.ch/img/import/240587.8_0.jpg,https://www.motogoodeal.ch/img/import/240587.8_1.jpg;https://www.motogoodeal.ch/img/import/240587.8_2.jpg";1;;;;
44745;;Taille:select:0;9:9;240587.9;240587.9;;;;;;2;1;0;0;2016-02-25;1;"https://www.motogoodeal.ch/img/import/240587.9_0.jpg,https://www.motogoodeal.ch/img/import/240587.9_1.jpg;https://www.motogoodeal.ch/img/import/240587.9_2.jpg";1;;;;
44746;;Taille:select:0;1:1;240589.1;240589.1;;;;;;4;1;0;0;2016-02-25;1;"https://www.motogoodeal.ch/img/import/240589.1_0.jpg,https://www.motogoodeal.ch/img/import/240589.1_1.jpg;https://www.motogoodeal.ch/img/import/240589.1_2.jpg";1;;;;
44747;;Taille:select:0;1:1;240590.1;240590.1;;;;;;4;1;0;0;2016-02-25;1;"https://www.motogoodeal.ch/img/import/240590.1_0.jpg,https://www.motogoodeal.ch/img/import/240590.1_1.jpg;https://www.motogoodeal.ch/img/import/";1;;;;
44748;;Taille:select:0;1:1;240591.1;240591.1;;;;;;4;1;0;0;2016-02-25;1;"https://www.motogoodeal.ch/img/import/240591.1_0.jpg,https://www.motogoodeal.ch/img/import/240591.1_1.jpg;https://www.motogoodeal.ch/img/import/240591.1_2.jpg";1;;;;
44749;;Taille:select:0;2:2;240591.2;240591.2;;;;;;4;1;0;0;2016-02-25;1;"https://www.motogoodeal.ch/img/import/240591.2_0.jpg,https://www.motogoodeal.ch/img/import/240591.2_1.jpg;https://www.motogoodeal.ch/img/import/240591.2_2.jpg";1;;;;
44750;;Taille:select:0;2:1;240592.2;240592.2;;;;;;2;1;0;0;2016-02-25;1;"https://www.motogoodeal.ch/img/import/240592.2_0.jpg,https://www.motogoodeal.ch/img/import/240592.2_1.jpg;https://www.motogoodeal.ch/img/import/";1;;;;
44751;;Taille:select:0;1:1;240593.1;240593.1;;;;;;4;1;0;0;2016-02-25;1;"https://www.motogoodeal.ch/img/import/240593.1_0.jpg,https://www.motogoodeal.ch/img/import/240593.1_1.jpg;https://www.motogoodeal.ch/img/import/";1;;;;
44752;;Taille:select:0;2:2;240593.2;240593.2;;;;;;2;1;0;0;2016-02-25;1;"https://www.motogoodeal.ch/img/import/240593.2_0.jpg,https://www.motogoodeal.ch/img/import/240593.2_1.jpg;https://www.motogoodeal.ch/img/import/";1;;;;
44753;;Taille:select:0;1:1;240595.1;240595.1;;;;;;3;1;0;0;2016-02-25;1;"https://www.motogoodeal.ch/img/import/240595.1_0.jpg,https://www.motogoodeal.ch/img/import/240595.1_1.jpg;https://www.motogoodeal.ch/img/import/";1;;;;
44754;;Taille:select:0;1:1;240596.1;240596.1;;;;;;0;1;0;0;2016-02-25;1;"https://www.motogoodeal.ch/img/import/240596.1_0.jpg,https://www.motogoodeal.ch/img/import/240596.1_1.jpg;https://www.motogoodeal.ch/img/import/240596.1_2.jpg";1;;;;
43881;;Taille:select:0;M:3;0006331 698 M;0006331 698 M;;;;;;3;1;0;0;2016-02-25;1;https://www.motogoodeal.ch/img/import/0006331 698 M_0.jpg;1;;;;
43881;;Taille:select:0;L:4;0006331 698 L;0006331 698 L;;;;;;4;1;0;0;2016-02-25;1;https://www.motogoodeal.ch/img/import/0006331 698 L_0.jpg;1;;;;
43881;;Taille:select:0;XL:5;0006331 698 XL;0006331 698 XL;;;;;;3;1;0;0;2016-02-25;1;https://www.motogoodeal.ch/img/import/0006331 698 XL_0.jpg;1;;;;
43881;;Taille:select:0;2XL:6;0006331 698 2XL;0006331 698 2XL;;;;;;2;1;0;0;2016-02-25;1;https://www.motogoodeal.ch/img/import/0006331 698 2XL_0.jpg;1;;;;
43882;;Taille:select:0;S/M:2;0006670 960 S/M;0006670 960 S/M;;;;;;0;1;0;0;2016-02-25;1;https://www.motogoodeal.ch/img/import/0006670 960 S_M_0.jpg;1;;;;
