Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);url strt;url end;image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
1;Bajonet> Ktm Fermeture Reservoir;430;83.24;1;;1;;;;;0000007;RF-demo_1;Freidig;Acerbis;;;;;;;;;;;;;;;0;;;;;;In Stock;Current supply. Ordering availlable;1;15/03/16;15/03/16;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;ZUCHRISTA_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/ZUCHRISTA_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
1;Billet Perdant;430;0.56;1;;1;;;;;0000029.090;RF-demo_2;Freidig;Acerbis;;;;;;;;;;;;;;Noir;0;;;;;;In Stock;Current supply. Ordering availlable;1;15/03/16;15/03/16;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;ZPAT_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/ZPAT_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
1;Interrupteur;432;12.96;1;;1;;;;;0000074.;RF-demo_3;Freidig;Acerbis;;;;;;;;;;;;;;On/Off Swich;0;;;;;;In Stock;Current supply. Ordering availlable;1;15/03/16;15/03/16;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YWB214_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YWB214_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
1;Quick Fill Stand 16L;430;54.63;1;;1;;;;;0000099;RF-demo_4;Freidig;Acerbis;;;;;;;;;;;;;;Noir;0;;;;;;In Stock;Current supply. Ordering availlable;1;15/03/16;15/03/16;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTZ14S YUASA_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTZ14S YUASA_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
1;Sangles De Montage Plaque De Phare;432;6.67;1;;1;;;;;0000236.;RF-demo_5;Freidig;Acerbis;;;;;;;;;;;;;;;0;;;;;;In Stock;Current supply. Ordering availlable;1;15/03/16;15/03/16;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTZ14S SHIDO_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTZ14S SHIDO_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
1;Spoiler-Protege-Mains Noir;431;18.43;1;;1;;;;;0000607.090;RF-demo_6;Freidig;Acerbis;;;;;;;;;;;;;;;0;;;;;;In Stock;Current supply. Ordering availlable;1;15/03/16;15/03/16;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTZ14S GEL_0 png;http://prestashop.vs1.details.cognix-systems.net/img/import/YTZ14S GEL_0 png;0;;1;new;0;0;0;0;0;0;0;0
1;Bavette Amortisseur Universelle Noir;430;23.15;1;;1;;;;;0000861.090;RF-demo_7;Freidig;Acerbis;;;;;;;;;;;;;;;<ul><li>CRF 250 X 04-14</li><li>DR-Z 400 E/S 00-10</li><li>EXC 94-99</li><li>KX 80 95-00</li><li>KX 85 01-13</li><li>KX 125 93-02</li><li>KX 250 93-02</li><li>LC4 640 05-06</li><li>RM 80 95-01</li><li>RM 85 02-14</li><li>RM 125 93-03</li><li>RM 250 93-03</li><li>SX 94-99</li><li>SXC 625 05-07</li><li>WR 125 93-01</li><li>WR 250 93-01</li><li>WRF 250 2001</li><li>WRF 400 98-99</li><li>WRF 426 00-02</li><li>YZ 80 95-99</li><li>YZF 400 98-99</li><li>YZF 426 00-02</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;15/03/16;15/03/16;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTZ12S YUASA_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTZ12S YUASA_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
1;Mud Flap Yamaha ;430;23.15;1;;1;;;;;0000864.090;;Freidig;Acerbis;;;;;;;;;;;;;;Noir;<ul><li>YZ 125/250 -'95 </li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;15/03/16;15/03/16;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTZ12S GEL_0 png;http://prestashop.vs1.details.cognix-systems.net/img/import/YTZ12S GEL_0 png;0;;1;new;0;0;0;0;0;0;0;0
1;Gas Stop;430;9.17;1;;1;;;;;0000891.020;;Freidig;Acerbis;;;;;;;;;;;;;;;0;;;;;;In Stock;Current supply. Ordering availlable;1;15/03/16;15/03/16;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTZ10S YUASA_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTZ10S YUASA_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
1;Station De Gaz Container 18L Blanc;430;79.63;1;;1;;;;;0001044.030;;Freidig;Acerbis;;;;;;;;;;;;;;;0;;;;;;In Stock;Current supply. Ordering availlable;1;15/03/16;15/03/16;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;YTZ10S SHIDO_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/YTZ10S SHIDO_0.jpg;0;;1;new;0;0;0;0;0;0;0;0
