Id du produit;Actif;Titre;ID de la catégorie par défaut;Prix vente HT;ID taxe;Prix d'achat HT;En Solde;Montant de réduction;Pourcentage de réduction;Date de début de réduction (aaaa-mm-jj);Date de fin de réduction (aaaa-mm-jj);Référence du produit;Référence du fournisseur par défaut;Nom du fournisseur par défaut;Fabricant;EAN13;UPC;Ecotaxe;Largeur;Hauteur;Profondeur;Poids;Quantité;Quantité minimale;Visibilité;Frais de port supplémentaires;Unité;Prix à l'unité HT;Description courte;Description;Tous les mots-clés;Meta titre;Meta mots-clefs;Meta description;URL simplifiée;Message quand en stock;Message lorsque hors-stock mais commandable;Disponible à l'achat;Date de mise à jour;Date de création;Afficher le prix ;URLs de toutes les images;Delete existing images (0 = No, 1 = Yes);Caractéristiques;Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse;Warehouse;Warehouse
12375;;Five Stockholm WP Handschuhe;;;;;;;;;;FI20STOCKB;;;;;;;;;;;;;;;;;;"<p><span><strong>Kurzer wasserdichter und sicherheitsorientierter Handschuh für kalte Tage.</strong></span><span> </span><br /><span>Idealer Motorradhandschuh für die Herbst- und Frühlingsausfahrten. 100% Wasserdichte und atmungsaktive </span><span>Hipora</span><span> </span><span><strong>®</strong></span><span>Membrane und 180g Thinsulate(TM) für mehr Wärme wenn die Temperaturen wieder sinken. </span><br /><br /><span>PU-Protektoren über Handrücken und Handballen, verstärkte Handfläche aus Leder für optimale Griffkontrolle </span><span>sowie reflektierende Scotchlite(TM) Einsätze für eine aktive Sicherheit. </span><br /><span>Vorgeformte Finger &amp; Passform, Velcro</span><span> </span><span><strong>®</strong></span><span>über Handgelenk sowie Bundabschluss garantieren für den legendären </span><span>Five Tragkomfort. </span><br /><span>Der Stockholm Handschuh ist der Topseller im 2015 FIVE Winterprogram. </span><p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/V6UgcsOHeR0"" frameborder=""0"" allowfullscreen></iframe></p>";Leder,Winter,Handschuhe,schweiz,genf,five,st-gallen,thinsulate;;handschuhe,five,stockholm,leder,winter,schweiz;handschuhe für motorrader;five-stockholm-wp-handschuhe;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;;;
12376;;Five HG1 BEHEIZBARE HANDSCHUHE;;;;;;;;;;FI70HG1BL;;;;;;;;;;;;;;;;;<p><strong>Handschuh für den kalten Winter mit integrierter 3-Stufen-Heizung!</strong> </p>;<h2><span><strong>Handschuh für den kalten Winter mit integrierter 3-Stufen-Heizung!</strong></span><span> </span><br /><span></span></h2> <h5><span>Um gewissenhaft in die Wintersaison zu starten. </span></h5> <ul><li>Hipora®, atmungsaktive und wasserdichte Membrane.</li> <li>200g Thinsulate(TM)Innenfutter.</li> <li>Wärmedämmstoffe, um die Wärme im Handschuh zu halten.</li> <li>Kontrollschalter für 3 Heizunglevels mit bis zu 3 1/2h Laufzeit.</li> <li>Zipper-Gelenkverschluss für einfaches An- und Ausziehen.</li> <li>Eingebauter einteiliger Handrückenschutz. Pittard(TM) Handfläche, Zeige- und Mittelfinger Verstärkung für einen besseren Halt der Griffe bei nassem Wetter.</li> <li>Reflektierendes-Logo und Streifen für bessere Sichtbarkeit und mehr Sicherheit. Der HG1 sorgt auch bei Langstreckenfahrten im Winter für warme Hände. </li> </ul>;Motorrad,schwarz,schweiz,genf,five,hanschuhe,parts,saint-gallen;;;;gant-chauffant-five-hg1-;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;;;
80942;;Five Stunt Leather Handschuhe;;;;;;;;;;FI50STLEBR;;;;;;;;;;;;;;;;;<h2></h2>;"<p><span>Oft kopiert aber auch heute immer noch unerreicht von Mitbewerber. Der Stunt Handschuhe hatte vor 8 Jahren eine neue Ära eingeläutet, was Tragkomfort und Sicherheit betrifft. Hergestellt aus narbenfreiem Rindsleder, inklusive 3-teiliger PU Handrücken Protektor mit integriertem Belüftungssystem und doppelt verstärkter Innenhand. Der Stunt ist perfekt zu Hause auf jedem Motorrad- und Rollertyp</span></p> <p><span>Schlichthin der Klassiker im Five Programm.</span></p><p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/c8pMfMxPXtA"" frameborder=""0"" allowfullscreen></iframe></p>";2016,nouveauté,Stunt,five,gant,leather,cuir,été;;;handschuhe, five, stunt, ;five-stunt-leather-handschuhe;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;;;
80943;;Five Stunt Leather Handschuhe;;;;;;;;;;FI50STLEFL;;;;;;;;;;;;;;;;;<h2></h2>;"<p><span>Oft kopiert aber auch heute immer noch unerreicht von Mitbewerber. Der Stunt Handschuhe hatte vor 8 Jahren eine neue Ära eingeläutet, was Tragkomfort und Sicherheit betrifft. Hergestellt aus narbenfreiem Rindsleder, inklusive 3-teiliger PU Handrücken Protektor mit integriertem Belüftungssystem und doppelt verstärkter Innenhand. Der Stunt ist perfekt zu Hause auf jedem Motorrad- und Rollertyp</span></p> <p><span>Schlichthin der Klassiker im Five Programm.</span></p><p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/c8pMfMxPXtA"" frameborder=""0"" allowfullscreen></iframe></p>";2016,nouveauté,Stunt,five,gant,leather,cuir,été;;;handschuhe, five, stunt, ;five-stunt-leather-handschuhe;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;;;
80944;;Five Stunt Replica Evo Handschuhe;;;;;;;;;;FI50STRPARM;;;;;;;;;;;;;;;;;<h2></h2>;"<p><span>Oft kopiert aber auch heute immer noch unerreicht von Mitbewerber. Der Stunt Handschuhe hatte vor 8 Jahren eine neue Ära eingeläutet, was Tragkomfort und Sicherheit betrifft. Hergestellt aus narbenfreiem Rindsleder, inklusive 3-teiliger PU Handrücken Protektor mit integriertem Belüftungssystem und doppelt verstärkter Innenhand. Der Stunt ist perfekt zu Hause auf jedem Motorrad- und Rollertyp</span></p> <p><span>Schlichthin der Klassiker im Five Programm.</span></p><p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/c8pMfMxPXtA"" frameborder=""0"" allowfullscreen></iframe></p>";2016,nouveauté,Stunt,five,gant,leather,cuir,été;;;handschuhe, five, stunt, ;five-stunt-replica-evo-handschuhe;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;;;
80945;;Five Stunt Replica Evo Handschuhe;;;;;;;;;;FI50STRPENGE;;;;;;;;;;;;;;;;;<h2></h2>;"<p><span>Oft kopiert aber auch heute immer noch unerreicht von Mitbewerber. Der Stunt Handschuhe hatte vor 8 Jahren eine neue Ära eingeläutet, was Tragkomfort und Sicherheit betrifft. Hergestellt aus narbenfreiem Rindsleder, inklusive 3-teiliger PU Handrücken Protektor mit integriertem Belüftungssystem und doppelt verstärkter Innenhand. Der Stunt ist perfekt zu Hause auf jedem Motorrad- und Rollertyp</span></p> <p><span>Schlichthin der Klassiker im Five Programm.</span></p><p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/c8pMfMxPXtA"" frameborder=""0"" allowfullscreen></iframe></p>";2016,nouveauté,Stunt,five,gant,leather,cuir,été;;;handschuhe, five, stunt, ;five-stunt-replica-evo-handschuhe;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;;;
80946;;Five Stunt Replica Evo Handschuhe;;;;;;;;;;FI50STRPITAE;;;;;;;;;;;;;;;;;<h2></h2>;"<p><span>Oft kopiert aber auch heute immer noch unerreicht von Mitbewerber. Der Stunt Handschuhe hatte vor 8 Jahren eine neue Ära eingeläutet, was Tragkomfort und Sicherheit betrifft. Hergestellt aus narbenfreiem Rindsleder, inklusive 3-teiliger PU Handrücken Protektor mit integriertem Belüftungssystem und doppelt verstärkter Innenhand. Der Stunt ist perfekt zu Hause auf jedem Motorrad- und Rollertyp</span></p> <p><span>Schlichthin der Klassiker im Five Programm.</span></p><p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/c8pMfMxPXtA"" frameborder=""0"" allowfullscreen></iframe></p>";2016,nouveauté,Stunt,five,gant,leather,cuir,été;;;handschuhe, five, stunt, ;five-stunt-replica-evo-handschuhe;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;;;
80947;;Five Stunt Replica Evo Handschuhe;;;;;;;;;;FI50STRPUSA;;;;;;;;;;;;;;;;;<h2></h2>;"<p><span>Oft kopiert aber auch heute immer noch unerreicht von Mitbewerber. Der Stunt Handschuhe hatte vor 8 Jahren eine neue Ära eingeläutet, was Tragkomfort und Sicherheit betrifft. Hergestellt aus narbenfreiem Rindsleder, inklusive 3-teiliger PU Handrücken Protektor mit integriertem Belüftungssystem und doppelt verstärkter Innenhand. Der Stunt ist perfekt zu Hause auf jedem Motorrad- und Rollertyp</span></p> <p><span>Schlichthin der Klassiker im Five Programm.</span></p><p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/c8pMfMxPXtA"" frameborder=""0"" allowfullscreen></iframe></p>";2016,nouveauté,Stunt,five,gant,leather,cuir,été;;;handschuhe, five, stunt, ;five-stunt-replica-evo-handschuhe;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;;;
80948;;Five Stunt Replica Evo Handschuhe;;;;;;;;;;FI50STRPBE;;;;;;;;;;;;;;;;;<h2></h2>;"<p>Oft kopiert aber auch heute immer noch unerreicht. Der Stunt Handschuhe hatte vor 8 Jahren eine neue Ära eingeläutet, was Tragkomfort und Sicherheit betrifft. Für 2016 neu überarbeitet mit dem direkt aus dem RFX RACE übernommenen PU Protektor über Handrücken und Handballen. Die Oberhand wird aus einem exklusiven und strapazierfähigen Nylongewebe hergestellt, während für die Innenhand das bewährte und robuste Rindsleder zum Einsatz kommt. Die tollen Grafiken sorgen beim Stunt am Schluss auch für den einzigartigen Look. Suchtgefahr garantiert!</p><p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/c8pMfMxPXtA"" frameborder=""0"" allowfullscreen></iframe></p>";2016,nouveauté,Stunt,five,gant,leather,cuir,été;;;handschuhe, five, stunt, ;five-stunt-replica-evo-handschuhe;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;;;
80950;;MGD Five Stunt Airflow Handschuhe;;;;;;;;;;MGD FI50AIRB;;;;;;;;;;;;;;;;;<p>Der perfekte Zweithandschuh für die warmen Tage. </p>;"<p><strong><span>AIRFLOW  </span></strong><span>(PPE homologiert)</span></p> <p><span>Der Stunt Replica stand Pate. </span><span>Kurzer Handschuh speziell konzipiert für die warmen Tage. Belüftetes narbenfreies Rindsleder inklusive belüfteter aus dem Rennsport abgeleiteter PU Handrücken &amp; Handballen Protektor. Doppelt verstärkte Innenhand aus Rindsleder und vorgeformte Passform garantieren für den perfekten Tragkomfort. </span></p> <p><span>Der perfekte Zweithandschuh für die warmen Tage. </span><p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/c8pMfMxPXtA"" frameborder=""0"" allowfullscreen></iframe></p>";Leder,Motorrad,Textil,Handschuhe,Roller,five,aiorflow;;;;mgd-five-stunt-airflow-handschuhe;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;;;
