id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);url strt;url end;image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
56923;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Ass.Att.Pieg.Inox Supp.Term.Thunder;;;;;;;;;;;;;;;;;;;;;;;;;;;
56924;;Lambda Sensor Plug Bolt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56925;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Collector Tube No. 4 Steel ;For 71051Cp;;;;;;;;;;;;;;;;;;;;;;;;;;
56926;;Arrow Zubehör (Inaktiv);;;;;;;;;;;;;;;;;;;;;;;;;;;Ass.Molla Lunga Ganc.Tondo+Gommino;;;;;;;;;;;;;;;;;;;;;;;;;;;
56927;;Arrow Zubehör ;;;;;;;;;;;;;;;;;;;;;;;;;;;Feder;Länge Ca. 60 Mm;;;;;;;;;;;;;;;;;;;;;;;;;;
56928;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Silencer Clamp;;;;;;;;;;;;;;;;;;;;;;;;;;;
56929;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Silencer Clamp Carbon;;;;;;;;;;;;;;;;;;;;;;;;;;;
56930;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Silencer Clamp Carbon;;;;;;;;;;;;;;;;;;;;;;;;;;;
56931;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Silencer Clamp Carbon;;;;;;;;;;;;;;;;;;;;;;;;;;;
56932;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Strap For Rivets;;;;;;;;;;;;;;;;;;;;;;;;;;;
56933;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Strap For Rivets;;;;;;;;;;;;;;;;;;;;;;;;;;;
56934;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Strap For Rivets;;;;;;;;;;;;;;;;;;;;;;;;;;;
56935;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Strap For Rivets;;;;;;;;;;;;;;;;;;;;;;;;;;;
56936;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Flange;;;;;;;;;;;;;;;;;;;;;;;;;;;
56937;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Gommino 32X100 Ht Yamaha Xj6 2009     ;;;;;;;;;;;;;;;;;;;;;;;;;;;
56938;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Assambly Kit ;For 75062Ta/Tt;;;;;;;;;;;;;;;;;;;;;;;;;;
56939;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Carbon End Cap ;;;;;;;;;;;;;;;;;;;;;;;;;;;
56940;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Carbon End Cap;;;;;;;;;;;;;;;;;;;;;;;;;;;
56941;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Blende Zu Yamaha Xtz 750;;;;;;;;;;;;;;;;;;;;;;;;;;;
56942;;Arrow Zubehör ;;;;;;;;;;;;;;;;;;;;;;;;;;;Y-Tube Titanium Honda Cbr1000Rr 08-09;;;;;;;;;;;;;;;;;;;;;;;;;;;
56943;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Staf.Pie.Inox 10/10 Supp.Term.Xj6 '09;;;;;;;;;;;;;;;;;;;;;;;;;;;
56944;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Bracket;;;;;;;;;;;;;;;;;;;;;;;;;;;
56945;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Bracket;;;;;;;;;;;;;;;;;;;;;;;;;;;
56946;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Silencer Unit For 75070Tk;;;;;;;;;;;;;;;;;;;;;;;;;;;
56947;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Silencer Titanium Ktm350Sx-F 13'/14';;;;;;;;;;;;;;;;;;;;;;;;;;;
56948;;Arrow Honda;;;;;;;;;;;;;;;;;;;;;;;;;;;Cbr1000Rr '09 Evo Silencer;;;;;;;;;;;;;;;;;;;;;;;;;;;
56949;;Arrow Kawasaki;;;;;;;;;;;;;;;;;;;;;;;;;;;Zx-6R / Zx-6R 636 Titanium Silencer ;With Carbon End Cap;;;;;;;;;;;;;;;;;;;;;;;;;;
56950;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer;;;;;;;;;;;;;;;;;;;;;;;;;;;
56951;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer;;;;;;;;;;;;;;;;;;;;;;;;;;;
56952;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer;;;;;;;;;;;;;;;;;;;;;;;;;;;
56953;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer;;;;;;;;;;;;;;;;;;;;;;;;;;;
56954;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer;;;;;;;;;;;;;;;;;;;;;;;;;;;
56955;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer;;;;;;;;;;;;;;;;;;;;;;;;;;;
56956;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer;;;;;;;;;;;;;;;;;;;;;;;;;;;
56957;;Arrow Zubehör ;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer;;;;;;;;;;;;;;;;;;;;;;;;;;;
56958;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer;;;;;;;;;;;;;;;;;;;;;;;;;;;
56959;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer;;;;;;;;;;;;;;;;;;;;;;;;;;;
56960;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer;;;;;;;;;;;;;;;;;;;;;;;;;;;
56961;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer;;;;;;;;;;;;;;;;;;;;;;;;;;;
56962;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer;;;;;;;;;;;;;;;;;;;;;;;;;;;
56963;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer;;;;;;;;;;;;;;;;;;;;;;;;;;;
56964;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer;;;;;;;;;;;;;;;;;;;;;;;;;;;
56965;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer;Diameter 56 / 36 Mm;;;;;;;;;;;;;;;;;;;;;;;;;;
56966;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer;;;;;;;;;;;;;;;;;;;;;;;;;;;
56967;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer;;;;;;;;;;;;;;;;;;;;;;;;;;;
56968;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer;;;;;;;;;;;;;;;;;;;;;;;;;;;
56969;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer;;;;;;;;;;;;;;;;;;;;;;;;;;;
56970;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer Zu 71148Ckz;;;;;;;;;;;;;;;;;;;;;;;;;;;
56971;;Auspuffbride;;;;;;;;;;;;;;;;;;;;;;;;;;;51-55 Mm Chromstahl;;;;;;;;;;;;;;;;;;;;;;;;;;;
56972;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Katalysator Universal;L 100 Mm</li><li>Durchmesser 42 Mm</li><li>52 Mm</li><li>54 Mm;;;;;;;;;;;;;;;;;;;;;;;;;;
56973;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Pass Holder;;;;;;;;;;;;;;;;;;;;;;;;;;;
56974;;Arrow Bmw;;;;;;;;;;;;;;;;;;;;;;;;;;;R1200Gs Valve Replacing Unit;;;;;;;;;;;;;;;;;;;;;;;;;;;
56975;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Regenschirm;;;;;;;;;;;;;;;;;;;;;;;;;;;
56976;;Arrow Zubehör ;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer Bended ;Inner Diameter 45 Mm</li><li>Pipe Diameter 26 Mm;;;;;;;;;;;;;;;;;;;;;;;;;;
56977;;Arrow Zubehör ;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer Straight ;Inner Diameter 45 Mm</li><li>Pipe Diameter 32 Mm;;;;;;;;;;;;;;;;;;;;;;;;;;
56978;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Key Holder Arrow (10 Pcs);;;;;;;;;;;;;;;;;;;;;;;;;;;
56979;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer Bended ;Inner Diameter 50 Mm</li><li>Pipe Diameter 38 Mm;;;;;;;;;;;;;;;;;;;;;;;;;;
56980;;Arrow Zubehör ;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer Straight ;Inner Diameter 50 Mm</li><li>Pipe Diameter 35 Mm;;;;;;;;;;;;;;;;;;;;;;;;;;
56981;;Arrow Ducati ;;;;;;;;;;;;;;;;;;;;;;;;;;;Monster 796 '10 / 696 '08 / 1100 '08 Kit Catalyst (2Pcs);;;;;;;;;;;;;;;;;;;;;;;;;;;
56982;;Arrow Zubehör ;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer Bended ;;;;;;;;;;;;;;;;;;;;;;;;;;;
56983;;Arrow Ducati ;;;;;;;;;;;;;;;;;;;;;;;;;;;1198 '07-08 / 848 '08-10 Catalysts Kit;;;;;;;;;;;;;;;;;;;;;;;;;;;
56984;;Arrow Zubehör ;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer Bended ;Inner Diameter 58 Mm</li><li>Pipe Diameter 42.4 Mm;;;;;;;;;;;;;;;;;;;;;;;;;;
56985;;Arrow Ducati ;;;;;;;;;;;;;;;;;;;;;;;;;;;Streetfighter '09-10 Catalyzed Converter;;;;;;;;;;;;;;;;;;;;;;;;;;;
56986;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer;;;;;;;;;;;;;;;;;;;;;;;;;;;
56987;;Arrow Bmw / Ducati / Suzuki;;;;;;;;;;;;;;;;;;;;;;;;;;;Catalyst;Ducati Monster 1200 '14 </li><li>Bmw S1000R '14-15</li><li>Suzuki Dl650 V-Strom '04/11/15 </li><li>Suzuki Dl650Xt V-Storm '15;;;;;;;;;;;;;;;;;;;;;;;;;;
56988;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Db-Killer;With Seeger For Gp2 Silencer;;;;;;;;;;;;;;;;;;;;;;;;;;
56989;;Arrow Derbi;;;;;;;;;;;;;;;;;;;;;;;;;;;Gpr125 4T / 4V '10 Catalyst;;;;;;;;;;;;;;;;;;;;;;;;;;;
56990;;Arrow Derbi (Inaktiv);;;;;;;;;;;;;;;;;;;;;;;;;;;Gpr125 4T / 4V '10 Universal Db Killer ;;;;;;;;;;;;;;;;;;;;;;;;;;;
56991;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Catalyst;Honda Cbr250R '11</li><li>Honda Cbr650F '14</li><li>Honda Cb650F '14-</li><li>Kawasaki Er-6N</li><li>Yamaha Mt-09 '13-</li><li>Ktm Duke 690 '08-11</li><li>Ktm Smc R '14-</li><li>Ktm Duke 390 '13-</li><li>Ktm Rc125 '15-</li><li>Ktm Rc390 '15-</li><li>Ktm 690 Sm '06-12</li><li>Ktm 690 Enduro R '09-14</li><li>Yamaha Mt-07 '14-</li><li>Yamaha Mt-09 Tracer '15-;;;;;;;;;;;;;;;;;;;;;;;;;;
56992;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Catalyst Ktm Duke 125 / Bw'S 125 / Crf250L / Aprilia Rs4 125 '12;;;;;;;;;;;;;;;;;;;;;;;;;;;
56993;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Catalyst Cbr1000Rr Sc59;;;;;;;;;;;;;;;;;;;;;;;;;;;
56994;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Oxygen Sensor Eliminator Kit;;;;;;;;;;;;;;;;;;;;;;;;;;;
56995;;Arrow Yamaha;;;;;;;;;;;;;;;;;;;;;;;;;;;Mt125 '14 Catalyst;;;;;;;;;;;;;;;;;;;;;;;;;;;
56996;;Arrow Honda;;;;;;;;;;;;;;;;;;;;;;;;;;;Cbr1000Rr Oxygen Sensor Elilinator Kit;;;;;;;;;;;;;;;;;;;;;;;;;;;
56997;;Arrow Kymco;;;;;;;;;;;;;;;;;;;;;;;;;;;Xciting 400I '12/14 Catalyst;;;;;;;;;;;;;;;;;;;;;;;;;;;
56998;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Oxygen Sensor Eliminator Kit;;;;;;;;;;;;;;;;;;;;;;;;;;;
56999;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Catalyst;Honda Cbr300R '14;;;;;;;;;;;;;;;;;;;;;;;;;;
