ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;;;;Weight;Quantity;;;;;Short description;;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out_of_stock;Advanced stock management;ID / Name of shop\'c2\'a0\;;;Car type casque;Car couleur;Car Ecran;Car public;Car Coque;Car Etancheite;Car Goretex;Att Taille;Att Couleur;Car HighTech (ou sous cat)
12010;;Tucano Urbano Couverture thermo Scooty Z5801-034-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 62 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12011;;Tucano Urbano Couverture thermo Scooty Z5801-035-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 62 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12012;;Tucano Urbano Couverture thermo Scooty Z5801-036-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 62 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12013;;Tucano Urbano Couverture thermo Scooty Z5801-037-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 62 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12014;;Tucano Urbano Couverture thermo Scooty Z5801-038-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 72 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12015;;Tucano Urbano Couverture thermo Scooty Z5801-039-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 72 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12016;;Tucano Urbano Couverture thermo Scooty Z5801-040-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 62 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12017;;Tucano Urbano Couverture thermo Scooty Z5801-041-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 62 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12018;;Tucano Urbano Couverture thermo Scooty Z5801-042-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 62 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12019;;Tucano Urbano Couverture thermo Scooty Z5801-043-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 72 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12020;;Tucano Urbano Couverture thermo Scooty Z5801-044-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 82 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12021;;Tucano Urbano Couverture thermo Scooty Z5801-045-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 62 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12022;;Tucano Urbano Couverture thermo Scooty Z5801-046-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 72 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12023;;Tucano Urbano Couverture thermo Scooty Z5801-047-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 72 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12024;;Tucano Urbano Couverture thermo Scooty Z5801-048-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 62 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12025;;Tucano Urbano Couverture thermo Scooty Z5801-049-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 72 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12026;;Tucano Urbano Couverture thermo Scooty Z5801-049-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 62 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12027;;Tucano Urbano Couverture thermo Scooty Z5801-050-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 62 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12028;;Tucano Urbano Couverture thermo Scooty Z5801-050-03 +kit;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 62 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12029;;Tucano Urbano Couverture thermo Scooty Z5801-062-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 72 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12030;;"Tucano Urbano Couverture thermo Scooty Z5801-062-03
Z5801-R062EV";;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 72 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12031;;Tucano Urbano Couverture thermo Scooty Z5801-063-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 62 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12032;;Tucano Urbano Couverture thermo Scooty Z5801-064-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 62 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
