Product ID*;REF PROD;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
80338;;Taille:select:0;XS:3;40105 001 XS;40105 001 XS;;;;;;0;;;;;;;;;;;
80265;;Taille:select:0;XXL:8;40107 2XL;40107 2XL;;;;;;0;;;;;;;;;;;
80265;;Taille:select:0;L:6;40107 L;40107 L;;;;;;0;;;;;;;;;;;
80265;;Taille:select:0;S:4;40107 S;40107 S;;;;;;0;;;;;;;;;;;
80265;;Taille:select:0;XS:3;40107 XS;40107 XS;;;;;;0;;;;;;;;;;;
80339;;Taille:select:0;XXL:8;40125 600 2XL;40125 600 2XL;;;;;;1;;;;;;;;;;;
80339;;Taille:select:0;L:6;40125 600 L;40125 600 L;;;;;;4;;;;;;;;;;;
80339;;Taille:select:0;M:5;40125 600 M;40125 600 M;;;;;;3;;;;;;;;;;;
80339;;Taille:select:0;S:4;40125 600 S;40125 600 S;;;;;;0;;;;;;;;;;;
80339;;Taille:select:0;XL:7;40125 600 XL;40125 600 XL;;;;;;0;;;;;;;;;;;
80339;;Taille:select:0;XS:3;40125 600 XS;40125 600 XS;;;;;;0;;;;;;;;;;;
80340;;Taille:select:0;XXL:8;40126 600 2XL;40126 600 2XL;;;;;;0;;;;;;;;;;;
80340;;Taille:select:0;L:6;40126 600 L;40126 600 L;;;;;;0;;;;;;;;;;;
80340;;Taille:select:0;M:5;40126 600 M;40126 600 M;;;;;;0;;;;;;;;;;;
80340;;Taille:select:0;S:4;40126 600 S;40126 600 S;;;;;;0;;;;;;;;;;;
80340;;Taille:select:0;XL:7;40126 600 XL;40126 600 XL;;;;;;0;;;;;;;;;;;
80340;;Taille:select:0;XS:3;40126 600 XS;40126 600 XS;;;;;;0;;;;;;;;;;;
80342;;Taille:select:0;XXL:8;40129 069 2XL;40129 069 2XL;;;;;;1;;;;;;;;;;;
80342;;Taille:select:0;L:6;40129 069 L;40129 069 L;;;;;;1;;;;;;;;;;;
80342;;Taille:select:0;S:4;40129 069 S;40129 069 S;;;;;;1;;;;;;;;;;;
80342;;Taille:select:0;XL:7;40129 069 XL;40129 069 XL;;;;;;1;;;;;;;;;;;
80272;;Taille:select:0;XXL:8;40140-2XL;40140-2XL;;;;;;0;;;;;;;;;;;
80272;;Taille:select:0;L:6;40140-L;40140-L;;;;;;0;;;;;;;;;;;
80272;;Taille:select:0;M:5;40140-M;40140-M;;;;;;1;;;;;;;;;;;
80272;;Taille:select:0;S:4;40140-S;40140-S;;;;;;0;;;;;;;;;;;
80272;;Taille:select:0;XL:7;40140-XL;40140-XL;;;;;;0;;;;;;;;;;;
80272;;Taille:select:0;XS:3;40140-XS;40140-XS;;;;;;0;;;;;;;;;;;
80273;;Taille:select:0;XXL:8;40141-2XL;40141-2XL;;;;;;0;;;;;;;;;;;
80273;;Taille:select:0;L:6;40141-L;40141-L;;;;;;1;;;;;;;;;;;
80273;;Taille:select:0;M:5;40141-M;40141-M;;;;;;0;;;;;;;;;;;
80273;;Taille:select:0;S:4;40141-S;40141-S;;;;;;0;;;;;;;;;;;
80273;;Taille:select:0;XL:7;40141-XL;40141-XL;;;;;;0;;;;;;;;;;;
80273;;Taille:select:0;XS:3;40141-XS;40141-XS;;;;;;0;;;;;;;;;;;
80277;;Taille:select:0;L:6;40181-L;40181-L;;;;;;4;;;;;;;;;;;
80277;;Taille:select:0;M:5;40181-M;40181-M;;;;;;0;;;;;;;;;;;
80277;;Taille:select:0;XL:7;40181-XL;40181-XL;;;;;;4;;;;;;;;;;;
80278;;Taille:select:0;L:6;40183-L;40183-L;;;;;;0;;;;;;;;;;;
