id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
80439;;Acerbis Atomik Black;;;;;;;;;;;;;;;;;;;;;;;;;;;"<ul>
     <li> Offroadvisier einstellbar</li>
     <li> Innenleben antibakteriel, abnhem- und waschbar </li>
</ul>";<p><strong>Acerbis Atomik Black</strong></p><ul><li> Intérieur tout confort : antibactérien, amovible, lavable </li><li> Homologué ece 22-05 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80440;;Acerbis Atomik Red;;;;;;;;;;;;;;;;;;;;;;;;;;;"<ul>
     <li> Offroadvisier einstellbar</li>
     <li> Innenleben antibakteriel, abnhem- und waschbar </li>
</ul>";<p><strong>Acerbis Atomik Red</strong></p><ul><li> Intérieur tout confort : antibactérien, amovible, lavable </li><li> Homologué ece 22-05 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80441;;Acerbis Fanatic Blue/Black/Yellow;;;;;;;;;;;;;;;;;;;;;;;;;;;"<ul>
     <li> Offroadvisier einstellbar</li>
     <li> Innenleben antibakteriel, abnhem- und waschbar </li>
</ul>";<p><strong>Acerbis Fanatic Blue/Black/Yellow</strong></p><ul><li> Intérieur tout confort : antibactérien, amovible, lavable </li><li> Homologué ece 22-05 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80442;;Acerbis Revolution Green/Black;;;;;;;;;;;;;;;;;;;;;;;;;;;"<ul>
     <li> Offroadvisier einstellbar</li>
     <li> Innenleben antibakteriel, abnhem- und waschbar </li>
</ul>";<p><strong>Acerbis Revolution Green/Black</strong></p><ul><li> Intérieur tout confort : antibactérien, amovible, lavable </li><li> Homologué ece 22-05 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80443;;Acerbis Scratch Blue/Red;;;;;;;;;;;;;;;;;;;;;;;;;;;"<ul>
     <li> Offroadvisier einstellbar</li>
     <li> Innenleben antibakteriel, abnhem- und waschbar </li>
</ul>";<p><strong>Acerbis Scratch Blue/Red</strong></p><ul><li> Intérieur tout confort : antibactérien, amovible, lavable </li><li> Homologué ece 22-05 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80444;;Acerbis Profile 14 Blue;;;;;;;;;;;;;;;;;;;;;;;;;;;"<ul>
     <li> Offroadvisier einstellbar</li>
     <li> Innenleben antibakteriel, abnhem- und waschbar </li>
</ul>";<p><strong>Acerbis Profile 14 Blue</strong></p><ul><li> Intérieur tout confort : antibactérien, amovible, lavable </li><li> Homologué ece 22-05 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80445;;Acerbis Profile 14 Red;;;;;;;;;;;;;;;;;;;;;;;;;;;"<ul>
     <li> Offroadvisier einstellbar</li>
     <li> Innenleben antibakteriel, abnhem- und waschbar </li>
</ul>";<p><strong>Acerbis Profile 14 Red</strong></p><ul><li> Intérieur tout confort : antibactérien, amovible, lavable </li><li> Homologué ece 22-05 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80446;;Acerbis Profile 14 Violet;;;;;;;;;;;;;;;;;;;;;;;;;;;"<ul>
     <li> Offroadvisier einstellbar</li>
     <li> Innenleben antibakteriel, abnhem- und waschbar </li>
</ul>";<p><strong>Acerbis Profile 14 Violet</strong></p><ul><li> Intérieur tout confort : antibactérien, amovible, lavable </li><li> Homologué ece 22-05 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80447;;Acerbis Profile 14 White/Black;;;;;;;;;;;;;;;;;;;;;;;;;;;"<ul>
     <li> Offroadvisier einstellbar</li>
     <li> Innenleben antibakteriel, abnhem- und waschbar </li>
</ul>";<p><strong>Acerbis Profile 14 White/Black</strong></p><ul><li> Intérieur tout confort : antibactérien, amovible, lavable </li><li> Homologué ece 22-05 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80448;;Acerbis Brain Black/Orange;;;;;;;;;;;;;;;;;;;;;;;;;;;"<ul>
     <li> Offroadvisier einstellbar</li>
     <li> Innenleben antibakteriel, abnhem- und waschbar </li>
</ul>";<p><strong>Acerbis Brain Black/Orange</strong></p><ul><li> Intérieur tout confort : antibactérien, amovible, lavable </li><li> Homologué ece 22-05 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
