ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;;;;Weight;Quantity;;;;;;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out_of_stock;Advanced stock management;ID / Name of shop\'c2\'a0\
;1;Casque Shark S900C SIGNATURE;87,99,145;;;339;;;;;;;HE0980EWRK;Philipe Coulon;Shark;;;;;;;1570;6;;;;;;Le nouveau S900C incarne la nouvelle génération de notre très polyvalent S900. Ce casque agressif et parfaitement équilibré possède toutes les fonctions pratiques, le confort et la sécurité, auxquels s'ajoute un nouveau système de pompe à air pour un ajustement parfait et un confort encore accru ;"• Mousse de joues gonflables pour un ajustement parfait<br>
• Système EASYFIT pour une utilisation confortable avec des lunettes<br>
• Coque thermoplastique injectée<br>
• Écran solaire intégré<br>
• Écran 2,2mm avec double traitement « Total vision »<br>
• Nouvelle ventilation pour une ergonomie optimisée avec les gants<br>
• Bavette anti-remous<br>
• Intérieur entièrement démontable et lavable<br>
";;;;;;;;;;;;../import/Casque_Shark_S900C_SIGNATURE_HE0980EWRK_blancrougenoir_cotegauche.jpg;;;;;;;;;;
;1;Casque Shark S900C SIGNATURE;87,99,145;;;339;;;;;;;HE0980EWRK;Philipe Coulon;Shark;;;;;;;1570;1;;;;;;Le nouveau S900C incarne la nouvelle génération de notre très polyvalent S900. Ce casque agressif et parfaitement équilibré possède toutes les fonctions pratiques, le confort et la sécurité, auxquels s'ajoute un nouveau système de pompe à air pour un ajustement parfait et un confort encore accru ;"• Mousse de joues gonflables pour un ajustement parfait<br>
• Système EASYFIT pour une utilisation confortable avec des lunettes<br>
• Coque thermoplastique injectée<br>
• Écran solaire intégré<br>
• Écran 2,2mm avec double traitement « Total vision »<br>
• Nouvelle ventilation pour une ergonomie optimisée avec les gants<br>
• Bavette anti-remous<br>
• Intérieur entièrement démontable et lavable<br>
";;;;;;;;;;;;../import/Casque_Shark_S900C_SIGNATURE_HE0980EWRK_blancrougenoir_cotegauche.jpg;;;;;;;;;;
;1;Casque Shark S900C FINKS;87,99,145;;;339;;;;;;;HE0955EWKR;Philipe Coulon;Shark;;;;;;;1570;1;;;;;;Le nouveau S900C incarne la nouvelle génération de notre très polyvalent S900. Ce casque agressif et parfaitement équilibré possède toutes les fonctions pratiques, le confort et la sécurité, auxquels s'ajoute un nouveau système de pompe à air pour un ajustement parfait et un confort encore accru ;"• Mousse de joues gonflables pour un ajustement parfait<br>
• Système EASYFIT pour une utilisation confortable avec des lunettes<br>
• Coque thermoplastique injectée<br>
• Écran solaire intégré<br>
• Écran 2,2mm avec double traitement « Total vision »<br>
• Nouvelle ventilation pour une ergonomie optimisée avec les gants<br>
• Bavette anti-remous<br>
• Intérieur entièrement démontable et lavable<br>
";;;;;;;;;;;;../import/Casque_Shark_S900C_FINKS_HE0955EWKR_blancnoirrouge_cotegauche.jpg;;;;;;;;;;
;1;Casque Shark S900C FINKS;87,99,145;;;339;;;;;;;HE0955EWKR;Philipe Coulon;Shark;;;;;;;1570;2;;;;;;Le nouveau S900C incarne la nouvelle génération de notre très polyvalent S900. Ce casque agressif et parfaitement équilibré possède toutes les fonctions pratiques, le confort et la sécurité, auxquels s'ajoute un nouveau système de pompe à air pour un ajustement parfait et un confort encore accru ;"• Mousse de joues gonflables pour un ajustement parfait<br>
• Système EASYFIT pour une utilisation confortable avec des lunettes<br>
• Coque thermoplastique injectée<br>
• Écran solaire intégré<br>
• Écran 2,2mm avec double traitement « Total vision »<br>
• Nouvelle ventilation pour une ergonomie optimisée avec les gants<br>
• Bavette anti-remous<br>
• Intérieur entièrement démontable et lavable<br>
";;;;;;;;;;;;../import/Casque_Shark_S900C_FINKS_HE0955EWKR_blancnoirrouge_cotegauche.jpg;;;;;;;;;;
;1;Casque Shark S900C FINKS;87,99,145;;;339;;;;;;;HE0955EWKR;Philipe Coulon;Shark;;;;;;;1570;2;;;;;;Le nouveau S900C incarne la nouvelle génération de notre très polyvalent S900. Ce casque agressif et parfaitement équilibré possède toutes les fonctions pratiques, le confort et la sécurité, auxquels s'ajoute un nouveau système de pompe à air pour un ajustement parfait et un confort encore accru ;"• Mousse de joues gonflables pour un ajustement parfait<br>
• Système EASYFIT pour une utilisation confortable avec des lunettes<br>
• Coque thermoplastique injectée<br>
• Écran solaire intégré<br>
• Écran 2,2mm avec double traitement « Total vision »<br>
• Nouvelle ventilation pour une ergonomie optimisée avec les gants<br>
• Bavette anti-remous<br>
• Intérieur entièrement démontable et lavable<br>
";;;;;;;;;;;;../import/Casque_Shark_S900C_FINKS_HE0955EWKR_blancnoirrouge_cotegauche.jpg;;;;;;;;;;
;1;Casque Shark S900C FINKS;87,99,145;;;339;;;;;;;HE0955EWKR;Philipe Coulon;Shark;;;;;;;1570;2;;;;;;Le nouveau S900C incarne la nouvelle génération de notre très polyvalent S900. Ce casque agressif et parfaitement équilibré possède toutes les fonctions pratiques, le confort et la sécurité, auxquels s'ajoute un nouveau système de pompe à air pour un ajustement parfait et un confort encore accru ;"• Mousse de joues gonflables pour un ajustement parfait<br>
• Système EASYFIT pour une utilisation confortable avec des lunettes<br>
• Coque thermoplastique injectée<br>
• Écran solaire intégré<br>
• Écran 2,2mm avec double traitement « Total vision »<br>
• Nouvelle ventilation pour une ergonomie optimisée avec les gants<br>
• Bavette anti-remous<br>
• Intérieur entièrement démontable et lavable<br>
";;;;;;;;;;;;../import/Casque_Shark_S900C_FINKS_HE0955EWKR_blancnoirrouge_cotegauche.jpg;;;;;;;;;;
;1;Casque Shark RACE-R PRO CARBON BLANK;87,99,145;;;769;;;;;;;HE8670EWHU;Philipe Coulon;Shark;;;;;;;1250;1;;;;;;"Pensé pour la piste, Shark a repoussé encore plus loin le compromis essentiel entre exigence de confort et exigence de performance requis par la course. Sans rien perdre des qualités du Race-R PRO, le Race-R PRO Carbon présente un look encore plus racing : il laisse en effet apparaître une partie de carbone pur sur sa calotte. Son nouvel intérieur en fibre naturelle de bambou est idéal pour une pratique intense.
";"• Fibres Carbon Aramid plus léger : réelle diminution de la fatigue des muscles cervicaux<br>
• Aérodynamisme optimisé grâce à sa calotte profilée et son spoiler <br>
• Intérieur en fibre naturelle de bambou<br>
• Pare nuque hermétique (air et bruit)<br>
• Easy fit : passage de lunette facilité<br>
• 4 points de ventilation à effet venturi optimisé<br>
• 4 points autosécure<br>
• Embout de jugulaire magnétique<br>
• Écran à épaisseur variable : épaisseur mini 3mm/ épaisseur maxi 4.25mm avec traitement anti-rayures et anti-buée régénérant
";;;;;;;;;;;;../import/Casque_Shark_RACE_R_PRO_CARBON_BLANK_HE8670EWHU_blanc_cotegauche.jpg;;;;;;;;;;
;1;Casque Shark RACE-R PRO CARBON BLANK MAT;87,99,145;;;769;;;;;;;HE8672EKMA;Philipe Coulon;Shark;;;;;;;1250;1;;;;;;"Pensé pour la piste, Shark a repoussé encore plus loin le compromis essentiel entre exigence de confort et exigence de performance requis par la course. Sans rien perdre des qualités du Race-R PRO, le Race-R PRO Carbon présente un look encore plus racing : il laisse en effet apparaître une partie de carbone pur sur sa calotte. Son nouvel intérieur en fibre naturelle de bambou est idéal pour une pratique intense.
";"• Fibres Carbon Aramid plus léger : réelle diminution de la fatigue des muscles cervicaux<br>
• Aérodynamisme optimisé grâce à sa calotte profilée et son spoiler <br>
• Intérieur en fibre naturelle de bambou<br>
• Pare nuque hermétique (air et bruit)<br>
• Easy fit : passage de lunette facilité<br>
• 4 points de ventilation à effet venturi optimisé<br>
• 4 points autosécure<br>
• Embout de jugulaire magnétique<br>
• Écran à épaisseur variable : épaisseur mini 3mm/ épaisseur maxi 4.25mm avec traitement anti-rayures et anti-buée régénérant
";;;;;;;;;;;;../import/Casque_Shark_RACE_R_PRO_CARBON_BLANK_MAT_HE8672EKMA_noirmat_cotegauche.jpg;;;;;;;;;;
;1;Casque Shark RACE-R PRO CARBON BLANK MAT;87,99,145;;;769;;;;;;;HE8672EKMA;Philipe Coulon;Shark;;;;;;;1250;1;;;;;;"Pensé pour la piste, Shark a repoussé encore plus loin le compromis essentiel entre exigence de confort et exigence de performance requis par la course. Sans rien perdre des qualités du Race-R PRO, le Race-R PRO Carbon présente un look encore plus racing : il laisse en effet apparaître une partie de carbone pur sur sa calotte. Son nouvel intérieur en fibre naturelle de bambou est idéal pour une pratique intense.
";"• Fibres Carbon Aramid plus léger : réelle diminution de la fatigue des muscles cervicaux<br>
• Aérodynamisme optimisé grâce à sa calotte profilée et son spoiler <br>
• Intérieur en fibre naturelle de bambou<br>
• Pare nuque hermétique (air et bruit)<br>
• Easy fit : passage de lunette facilité<br>
• 4 points de ventilation à effet venturi optimisé<br>
• 4 points autosécure<br>
• Embout de jugulaire magnétique<br>
• Écran à épaisseur variable : épaisseur mini 3mm/ épaisseur maxi 4.25mm avec traitement anti-rayures et anti-buée régénérant
";;;;;;;;;;;;../import/Casque_Shark_RACE_R_PRO_CARBON_BLANK_MAT_HE8672EKMA_noirmat_cotegauche.jpg;;;;;;;;;;
;1;Casque Arai RX-7 GP LEON HASLAM;87,99,145;;;1190;;;;;;;133499;Honda Suisse;Arai;;;;;;;1500;1;;;;;;Le RX-7GP est le casque de référence chez Arai. Avec sa structure extrêmement rigide et ses larges aérations, le RX-7GP offre des innovations qui n’ont jamais été utilisé sur n’importe quel autre casque. Une stabilité améliorée, une ventilation intérieure plus efficace et une structure révolutionnaire permettent d’affirmer que ce casque est irréprochable en termes de sécurité ou de confort. Modèle d’exception sublimé par des pilotes de renoms, ce casque ravira les motards les plus exigeants et repoussera toutes les limites de la route. ;"• Il répond aux normes européennes ECE 22.05<br>
• Aérodynamisme amélioré grâce à ses 6 entrées d’air<br>
• Spoiler réglable sur 5 positions qui permet de réduire turbulences et vibrations<br>
• Intérieur du casque entièrement démontable et lavable<br>
• Mousses amovibles offrent une sécurité renforcée en cas d’accident<br>
• Coque légère et très résistante<br>
• Écran élargit qui offre une vision panoramique<br>
• La fermeture offre plus de sécurité grâce à sa boucle double D<br>
";;;;;;;;;;;;../import/Casque_Arai_RX7_GPLEONHASLAM_133499_noirrougebleu_cotegauche.jpg;;;;;;;;;;
