id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
58727;;Front Number Plate Kawasaki/Suzuki;;;;;;;;;;;;;;;;;;;;;;;;;;;Weiss;<ul><li>KX(F)125-450 03-08  </li><li>RMZ250 04-06 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58728;;Front Number Plate Kawasaki/Suzuki;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;<ul><li>KX(F)125-450 03-08  </li><li>RMZ250 04-06 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58729;;Front Number Plate Suzuki;;;;;;;;;;;;;;;;;;;;;;;;;;;Gelb;<ul><li>RM 125/250 99-00 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58730;;Front Number Plate Yamaha;;;;;;;;;;;;;;;;;;;;;;;;;;;Weiss;<ul><li>YZ 125/250 00-05</li><li>YZF 250 01-05</li><li>YZF 426 4T 00-02</li><li>YZF 450 03-05</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58731;;Front Number Plate Yamaha;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;<ul><li>YZ 125/250 00-05</li><li>YZF 250 01-05</li><li>YZF 426 4T 00-02</li><li>YZF 450 03-05</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58732;;Front Number Plate Honda;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;<ul><li>CR 125/250R 00/03</li><li>CRF 450R 02/03</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58733;;Front Number Plate Suzuki;;;;;;;;;;;;;;;;;;;;;;;;;;;Weiss;<ul><li>RM 125/250 01-</li><li>RM-Z 250 07-09</li><li>RM-Z 450 05-07</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58734;;Front Number Plate Suzuki;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;<ul><li>RM 125/250 01-</li><li>RM-Z 250 07-09</li><li>RM-Z 450 05-07</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58735;;Front Number Plate Yamaha;;;;;;;;;;;;;;;;;;;;;;;;;;;Weiss;<ul><li>YZ80 95-01</li><li>YZ85 02-05</li><li>YZ85LW 04-10</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58736;;Front Number Plate Yamaha;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;<ul><li>YZ80 95-01</li><li>YZ85 02-05</li><li>YZ85LW 04-10</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
