Product ID*;Product reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
43898;;Taille:select:0;L/XL:4;0010056.090.067;0010056.090.067;0010056.090;;;;;1;;;;;;;;;;;
43898;;Taille:select:0;2XL:6;0010056.090.069;0010056.090.069;0010056.090;;;;;0;;;;;;;;;;;
43899;;Taille:select:0;42:1;0010891 090 42;0010891 090 42;0010891.090;;;;;0;;;;;;;;;;;
43899;;Taille:select:0;43:2;0010891 090 43;0010891 090 43;0010891.090;;;;;0;;;;;;;;;;;
43899;;Taille:select:0;45:3;0010891 090 45;0010891 090 45;0010891.090;;;;;0;;;;;;;;;;;
43902;;Taille:select:0;64:1;0011594.070.064;0011594.070.064;0011594.070;;;;;0;;;;;;;;;;;
43902;;Taille:select:0;66:2;0011594.070.066;0011594.070.066;0011594.070;;;;;0;;;;;;;;;;;
43904;;Taille:select:0;S/M:2;0012196 960 S/M;0012196 960 S/M;0012196.318;;;;;0;;;;;;;;;;;
43904;;Taille:select:0;L/XL:4;0012196 960 LXL;0012196 960 LXL;0012196.318;;;;;0;;;;;;;;;;;
43906;;Taille:select:0;66:1;0012450.090.066;0012450.090.066;0012450.090;;;;;0;;;;;;;;;;;
43908;;Taille:select:0;M:3;0012495.090.064;0012495.090.064;0012495.090;;;;;1;;;;;;;;;;;
43909;;Taille:select:0;32:1;0012961.090.032;0012961.090.032;0012961.090;;;;;1;;;;;;;;;;;
43909;;Taille:select:0;34:2;0012961.090.034;0012961.090.034;0012961.090;;;;;1;;;;;;;;;;;
43909;;Taille:select:0;36:3;0012961.090.036;0012961.090.036;0012961.090;;;;;0;;;;;;;;;;;
43909;;Taille:select:0;38:4;0012961.090.038;0012961.090.038;0012961.090;;;;;0;;;;;;;;;;;
43909;;Taille:select:0;40:5;0012961.090.040;0012961.090.040;0012961.090;;;;;0;;;;;;;;;;;
43915;;Taille:select:0;M:3;0013549 090 M;0013549 090 M;0013549.090;;;;;0;;;;;;;;;;;
43915;;Taille:select:0;L:4;0013549 090 L;0013549 090 L;0013549.090;;;;;0;;;;;;;;;;;
43917;;Taille:select:0;M:1;0013550 090 M;0013550 090 M;0013550.090;;;;;0;;;;;;;;;;;
43917;;Taille:select:0;2XL:2;0013550 090 2XL;0013550 090 2XL;0013550.090;;;;;0;;;;;;;;;;;
43918;;Taille:select:0;XS:1;0013733.090.061;0013733.090.061;0013733.090;;;;;4;;;;;;;;;;;
43918;;Taille:select:0;S:2;0013733.090.062;0013733.090.062;0013733.090;;;;;2;;;;;;;;;;;
43918;;Taille:select:0;M:3;0013733.090.064;0013733.090.064;0013733.090;;;;;2;;;;;;;;;;;
43918;;Taille:select:0;L:4;0013733.090.066;0013733.090.066;0013733.090;;;;;2;;;;;;;;;;;
43918;;Taille:select:0;XL:5;0013733.090.068;0013733.090.068;0013733.090;;;;;2;;;;;;;;;;;
43918;;Taille:select:0;2XL:6;0013733.090.069;0013733.090.069;0013733.090;;;;;2;;;;;;;;;;;
43920;;Taille:select:0;M:3;0013739 096 M;0013739 096 M;0013739.090;;;;;2;;;;;;;;;;;
43920;;Taille:select:0;L:4;0013739 096 L;0013739 096 L;0013739.090;;;;;2;;;;;;;;;;;
43920;;Taille:select:0;2XL:6;0013739 096 XXL;0013739 096 XXL;0013739.090;;;;;2;;;;;;;;;;;
43921;;Taille:select:0;S/M:2;0013748 090 S/M;0013748 090 S/M;0013748.090;;;;;3;;;;;;;;;;;
43921;;Taille:select:0;L/XL:4;0013748 090 LXL;0013748 090 LXL;0013748.090;;;;;4;;;;;;;;;;;
43923;;Taille:select:0;36:1;0013795.060.036;0013795.060.036;0013795.060;;;;;0;;;;;;;;;;;
43923;;Taille:select:0;38:2;0013795.060.038;0013795.060.038;0013795.060;;;;;0;;;;;;;;;;;
43923;;Taille:select:0;69:3;0013796.060.069;0013796.060.069;0013795.060;;;;;0;;;;;;;;;;;
43924;;Taille:select:0;28:1;0013799.110.028;0013799.110.028;0013799.110;;;;;0;;;;;;;;;;;
