ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock; 
85050;;REV'IT Handschuhe Sand 3 - Schwarz-Sand;;;;;;;;;;FGS121-1760;;;;;;;;;;;;;;;;;Ziehen Sie einmal den Sand 3 an und Sie wissen, wie sich ein Sommerhandschuh anfühlen muss;"Ziehen Sie einmal den Sand 3 an und Sie wissen, wie sich ein Sommerhandschuh anfühlen muss. Er bildet die stimmige Ergänzung zum Sand 3 Abenteueranzug, eignet sich aber dank seiner ausgewogenen Mischung aus Tragekomfort und Schutz für fast jeden anderen Einsatzzweck. Belüftete, flexible TPR-Protektoren an Hand- und Fingerknöcheln sowie am Daumen stehen gleichzeitig für Schutz und uneingeschränkte Bewegungsfreiheit. An der Innenhand finden sich PWR | shield für erhöhte Abriebfestigkeit und ein TPR-Schleifer für ein kontrolliertes Rutschen über den Asphalt bei einem Sturz.
Größen S-XZL<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>trommelgefärbtes Ziegenleder;air Stretch Mesh;PWR | shell 500D Stretch;Leitfähige Lederfingerspitzen;automan stretch<br><strong>Isolierung:</strong><ul><li>Tri-Fleece Futter<br><strong>Futter:</stron";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85051;;REV'IT Handschuhe Stellar 2 - Schwarz-Weiß;;;;;;;;;;FGS122-1600;;;;;;;;;;;;;;;;;Der Stellar 2 Handschuh ist genau richtig für den, der einen Sport-, aber keinen Rennhandschuh sucht;"Der Stellar 2 Handschuh ist genau richtig für den, der einen Sport-, aber keinen Rennhandschuh sucht. Er bietet ambitionierten Schutz durch belüftete Zwei-Komponenten-Protektoren auf den Hand- sowie TPU-Hartschalenprotektoren auf den Fingerknöcheln und der Handfläche, gleiches tut Temperfoam® an den Fingern, an Daumen und Handgelenk. Um die hohe Abriebfestigkeit des Ziegenleders weiter zu verbessern, haben wir auf der Innenhand PWR | shield hinzugefügt, zusammengesetzt wird der ganze Handschuh mit unserem äußerst starken PWR | yarn. An Ihre persönlichen Präferenzen anpassen können Sie den Stellar durch den Einstellriemen am Handgelenk und der Einstelllasche an der Stulpe. Außen sitzende Nähte, Stretch an den Fingern und Elastikmaterial auf dem Handrücken kümmern sich um den Tragekomfort.
Grö?en S-XYL<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>trommelgefärbtes Ziegenleder;rindleder;ziegenleder;ziegenleder digital;SuperFabric®;PU-beschichteter Stoff<br><strong>Isolierung:</strong><ul><li>trikot-Futter <br><strong>Futter:</strong><ul><li></li></ul><br><strong>Wasserd";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85052;;REV'IT Handschuhe Stellar 2 - Weiß-Rot;;;;;;;;;;FGS122-3200;;;;;;;;;;;;;;;;;Der Stellar 2 Handschuh ist genau richtig für den, der einen Sport-, aber keinen Rennhandschuh sucht;"Der Stellar 2 Handschuh ist genau richtig für den, der einen Sport-, aber keinen Rennhandschuh sucht. Er bietet ambitionierten Schutz durch belüftete Zwei-Komponenten-Protektoren auf den Hand- sowie TPU-Hartschalenprotektoren auf den Fingerknöcheln und der Handfläche, gleiches tut Temperfoam® an den Fingern, an Daumen und Handgelenk. Um die hohe Abriebfestigkeit des Ziegenleders weiter zu verbessern, haben wir auf der Innenhand PWR | shield hinzugefügt, zusammengesetzt wird der ganze Handschuh mit unserem äußerst starken PWR | yarn. An Ihre persönlichen Präferenzen anpassen können Sie den Stellar durch den Einstellriemen am Handgelenk und der Einstelllasche an der Stulpe. Außen sitzende Nähte, Stretch an den Fingern und Elastikmaterial auf dem Handrücken kümmern sich um den Tragekomfort.
Grö?en S-XYL<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>trommelgefärbtes Ziegenleder;rindleder;ziegenleder;ziegenleder digital;SuperFabric®;PU-beschichteter Stoff<br><strong>Isolierung:</strong><ul><li>trikot-Futter <br><strong>Futter:</strong><ul><li></li></ul><br><strong>Wasserd";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85053;;REV'IT Handschuhe Spitfire - Schwarz-Weiß;;;;;;;;;;FGS123-1600;;;;;;;;;;;;;;;;;Der Spitfire offeriert die Qualität, die Sicherheit und den Komfort, den Sie von einem guten Rennhandschuh erwarten;"Der Spitfire offeriert die Qualität, die Sicherheit und den Komfort, den Sie von einem guten Rennhandschuh erwarten. Die ideale Kombination von Rind- und Ziegenleder sorgt für die richtige Mischung aus Sicherheit und Wohlgefühl, dank derer Sie Ihr Motorrad intuitiv bedienen und dabei wissen, dass Ihre Hände gut behütet sind. Ein belüfteter Zwei-Komponenten-Protektor schützt Ihren Handknöchel, ein weiterer Ihr Handgelenk. Auf der Handfläche und den Fingerknöcheln finden Sie TPU-Hartschalenprotektoren. Zusammengefügt wird der Handschuh mit extrem starken PWR | yarn, die außen liegenden Nähte erhöhen Ihren Tragekomfort. Fürs einfache Anpassen und Zumachen besitzt der Spitfire ein Doppel-Verschlusssystem an der Stulpe und ein Einstellriemen am Handgelenk, letzterer sorgt dafür, dass der Handschuh bei einem Sturz an Ihrer Hand bleibt. Stretch an den Fingern und das elastische Material auf dem Handrücken sowie am Handgelenk sorgen für einen kommoden Griff an den Lenker und für Bewegungsfreiheit zur Bedienung von Brems- und Kupplungshebel. Testen Sie den Spitfire, erleben Sie seine ultimative Bewegungsfreiheit und Sie werden feststellen, dass er passt wie ein ... wie ein Handschuh. Grö?en XS-XYL<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>trommelgefärbtes Ziegenleder;rindleder;ziegenleder;SuperFabric®;ziegenleder digital;PU-beschichteter Stoff;3D air Mesh<br><strong>Isolierung:</strong><ul><li>Tri-Fleece Futter<br><strong>Futter:</strong><ul><li></li></ul><br><strong>Wasserdichtigkeit & Atmungsaktivität:</strong><ul><li></li></ul><b";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85054;;REV'IT Handschuhe Spitfire - Weiß-Schwarz;;;;;;;;;;FGS123-3050;;;;;;;;;;;;;;;;;Der Spitfire offeriert die Qualität, die Sicherheit und den Komfort, den Sie von einem guten Rennhandschuh erwarten;"Der Spitfire offeriert die Qualität, die Sicherheit und den Komfort, den Sie von einem guten Rennhandschuh erwarten. Die ideale Kombination von Rind- und Ziegenleder sorgt für die richtige Mischung aus Sicherheit und Wohlgefühl, dank derer Sie Ihr Motorrad intuitiv bedienen und dabei wissen, dass Ihre Hände gut behütet sind. Ein belüfteter Zwei-Komponenten-Protektor schützt Ihren Handknöchel, ein weiterer Ihr Handgelenk. Auf der Handfläche und den Fingerknöcheln finden Sie TPU-Hartschalenprotektoren. Zusammengefügt wird der Handschuh mit extrem starken PWR | yarn, die außen liegenden Nähte erhöhen Ihren Tragekomfort. Fürs einfache Anpassen und Zumachen besitzt der Spitfire ein Doppel-Verschlusssystem an der Stulpe und ein Einstellriemen am Handgelenk, letzterer sorgt dafür, dass der Handschuh bei einem Sturz an Ihrer Hand bleibt. Stretch an den Fingern und das elastische Material auf dem Handrücken sowie am Handgelenk sorgen für einen kommoden Griff an den Lenker und für Bewegungsfreiheit zur Bedienung von Brems- und Kupplungshebel. Testen Sie den Spitfire, erleben Sie seine ultimative Bewegungsfreiheit und Sie werden feststellen, dass er passt wie ein ... wie ein Handschuh. Grö?en XS-XYL<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>trommelgefärbtes Ziegenleder;rindleder;ziegenleder;SuperFabric®;ziegenleder digital;PU-beschichteter Stoff;3D air Mesh<br><strong>Isolierung:</strong><ul><li>Tri-Fleece Futter<br><strong>Futter:</strong><ul><li></li></ul><br><strong>Wasserdichtigkeit & Atmungsaktivität:</strong><ul><li></li></ul><b";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85055;;REV'IT Handschuhe Xena 2 Damen - Schwarz-Weiß;;;;;;;;;;FGS124-1600;;;;;;;;;;;;;;;;;Der Xena 2 Ladies passt sich der weiblichen Form Ihrer Hand exakt an;"Der Xena 2 Ladies passt sich der weiblichen Form Ihrer Hand exakt an. Mit seinem geschickt integrierten Carbon-Knöchelschutz erreicht er ein hohes Schutzniveau ohne die Hand einzuengen. Hartschalenschützer aus TPU auf der Innenhand und am kleinen Finger ermöglichen ein kontrolliertes Rutschen über den Asphalt bei einem Sturz. Zusätzlich erhöht integriertes PWR | shield auf der Handfläche die Abriebfestigkeit in einer solchen Situation, Ihre Hand bleibt sicher und geschützt. Belüftungspanels an den Fingern versorgen Sie mit kühlender Frischluft an warmen Tagen, integrierte Stretch-Bereiche an Fingern, Daumen und Handrücken erlauben Ihnen genügend Bewegungsspielraum, damit Sie Ihr Motorrad jederzeit optimal im Griff haben. Grö?en S-XL<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>trommelgefärbtes Ziegenleder;ziegenleder;rindleder;PU-beschichteter Stoff;ziegenleder digital<br><strong>Isolierung:</strong><ul><li>trikot-Futte";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85056;;REV'IT Handschuhe Xena 2 Damen - Weiß-Rot;;;;;;;;;;FGS124-3200;;;;;;;;;;;;;;;;;Der Xena 2 Ladies passt sich der weiblichen Form Ihrer Hand exakt an;"Der Xena 2 Ladies passt sich der weiblichen Form Ihrer Hand exakt an. Mit seinem geschickt integrierten Carbon-Knöchelschutz erreicht er ein hohes Schutzniveau ohne die Hand einzuengen. Hartschalenschützer aus TPU auf der Innenhand und am kleinen Finger ermöglichen ein kontrolliertes Rutschen über den Asphalt bei einem Sturz. Zusätzlich erhöht integriertes PWR | shield auf der Handfläche die Abriebfestigkeit in einer solchen Situation, Ihre Hand bleibt sicher und geschützt. Belüftungspanels an den Fingern versorgen Sie mit kühlender Frischluft an warmen Tagen, integrierte Stretch-Bereiche an Fingern, Daumen und Handrücken erlauben Ihnen genügend Bewegungsspielraum, damit Sie Ihr Motorrad jederzeit optimal im Griff haben. Grö?en S-XL<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>trommelgefärbtes Ziegenleder;ziegenleder;rindleder;PU-beschichteter Stoff;ziegenleder digital<br><strong>Isolierung:</strong><ul><li>trikot-Futte";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85057;;REV'IT Jacke Xena 2 Damen - Schwarz-Weiß;;;;;;;;;;FJL078-1600;;;;;;;;;;;;;;;;;Die Xena 2 Ladies besteht aus Monaco Performance Rindleder und geprägtem Rindleder, diese Kombination verleiht der Damenjacke eine modische Erscheinung im sportlichen Stil;"Die Xena 2 Ladies besteht aus Monaco Performance Rindleder und geprägtem Rindleder, diese Kombination verleiht der Damenjacke eine modische Erscheinung im sportlichen Stil. Sicherheit steuern unsere ausgezeichneten SEEFLEX™ CE-Level 2 Gelenkprotektoren bei und der optionale SEESOFT™ CE-Level 2 Rückenprotektor. Das Zusammenspiel aus figurbetonendem Leder und PWR | shell Stretch-Material garantiert Ihnen einen femininen, bequemen und sicheren Sitz. Diverse Verstelloptionen ermöglichen es Ihnen, die Jacke Ihren eigenen Trage-Vorstellungen anzupassen, ob mit oder ohne Motorrad. Mit kurzem oder langem Reißverschluss angezippt an die Xena 2 Hose erhalten Sie eine vollwertige Lederkombi, oder Sie kombinieren die Jacke durch den Safeway Gürtel mit einer REV’IT! Jeans. Und dank des herausnehmbaren Thermofutters haben Sie auch bei niedrigen Temperaturen Spaß an Ihrer Xena 2 Jacke und am Motorradfahren. Grö?en L34-44<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>Monaco Performance Rindleder;PWR | shell 500D Stretch;Lorica®<br><strong>Isolierung:</strong><ul><li><br><strong>Futter:</strong><ul><li>herausnehmbarer Thermo-Körperwärmer</li></ul><br><strong>Wasserdich";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85058;;REV'IT Jacke Xena 2 Damen - Weiß-Rot;;;;;;;;;;FJL078-3200;;;;;;;;;;;;;;;;;Die Xena 2 Ladies besteht aus Monaco Performance Rindleder und geprägtem Rindleder, diese Kombination verleiht der Damenjacke eine modische Erscheinung im sportlichen Stil;"Die Xena 2 Ladies besteht aus Monaco Performance Rindleder und geprägtem Rindleder, diese Kombination verleiht der Damenjacke eine modische Erscheinung im sportlichen Stil. Sicherheit steuern unsere ausgezeichneten SEEFLEX™ CE-Level 2 Gelenkprotektoren bei und der optionale SEESOFT™ CE-Level 2 Rückenprotektor. Das Zusammenspiel aus figurbetonendem Leder und PWR | shell Stretch-Material garantiert Ihnen einen femininen, bequemen und sicheren Sitz. Diverse Verstelloptionen ermöglichen es Ihnen, die Jacke Ihren eigenen Trage-Vorstellungen anzupassen, ob mit oder ohne Motorrad. Mit kurzem oder langem Reißverschluss angezippt an die Xena 2 Hose erhalten Sie eine vollwertige Lederkombi, oder Sie kombinieren die Jacke durch den Safeway Gürtel mit einer REV’IT! Jeans. Und dank des herausnehmbaren Thermofutters haben Sie auch bei niedrigen Temperaturen Spaß an Ihrer Xena 2 Jacke und am Motorradfahren. Grö?en L34-44<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>Monaco Performance Rindleder;PWR | shell 500D Stretch;Lorica®<br><strong>Isolierung:</strong><ul><li><br><strong>Futter:</strong><ul><li>herausnehmbarer Thermo-Körperwärmer</li></ul><br><strong>Wasserdich";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85059;;REV'IT Jacke Xena 2 Damen - Weiß-Fuchsie;;;;;;;;;;FJL078-3260;;;;;;;;;;;;;;;;;Die Xena 2 Ladies besteht aus Monaco Performance Rindleder und geprägtem Rindleder, diese Kombination verleiht der Damenjacke eine modische Erscheinung im sportlichen Stil;"Die Xena 2 Ladies besteht aus Monaco Performance Rindleder und geprägtem Rindleder, diese Kombination verleiht der Damenjacke eine modische Erscheinung im sportlichen Stil. Sicherheit steuern unsere ausgezeichneten SEEFLEX™ CE-Level 2 Gelenkprotektoren bei und der optionale SEESOFT™ CE-Level 2 Rückenprotektor. Das Zusammenspiel aus figurbetonendem Leder und PWR | shell Stretch-Material garantiert Ihnen einen femininen, bequemen und sicheren Sitz. Diverse Verstelloptionen ermöglichen es Ihnen, die Jacke Ihren eigenen Trage-Vorstellungen anzupassen, ob mit oder ohne Motorrad. Mit kurzem oder langem Reißverschluss angezippt an die Xena 2 Hose erhalten Sie eine vollwertige Lederkombi, oder Sie kombinieren die Jacke durch den Safeway Gürtel mit einer REV’IT! Jeans. Und dank des herausnehmbaren Thermofutters haben Sie auch bei niedrigen Temperaturen Spaß an Ihrer Xena 2 Jacke und am Motorradfahren. Grö?en L34-44<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>Monaco Performance Rindleder;PWR | shell 500D Stretch;Lorica®<br><strong>Isolierung:</strong><ul><li><br><strong>Futter:</strong><ul><li>herausnehmbarer Thermo-Körperwärmer</li></ul><br><strong>Wasserdich";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85060;;REV'IT Jacke Spitfire - Schwarz-Weiß;;;;;;;;;;FJL079-1600;;;;;;;;;;;;;;;;;Mit der REV’IT Spitfire bringen Sie Ihre Rennsport-Begeisterung auf die Straße;"Mit der REV’IT Spitfire bringen Sie Ihre Rennsport-Begeisterung auf die Straße. Diese MotoGP-inspirierte Jacke gibt Ihnen das Aussehen und Tragegefühl einer Rennkombi und liefert daneben eine hohe Alltagstauglichkeit. Die einzigartige Prägetechnik auf den Lederpanels stammt direkt von der Spitfire Rennkombi ab, gleiches gilt für MotoGP-gemäßen Zwei-Komponenten-Schleifer an Schulter und Ellbogen. Dem Aufprallschutz dienen unsere ausgezeichneten SEEFLEX™ CE-Level 2 Protektoren an Schulter und Ellbogen und der nachrüstbare SEESOFT™ CE-Level 2 Rückenprotektor. Kühlen Morgen- und Abendstunden begegnet die Jacke mit dem herausnehmbaren Thermofutter. Ist dieses entfernt, strömt erfrischender Fahrtwind durch das teilperforierte Leder. Diverse Taschen dienen der Praxistauglichkeit, gleichzeitig machen der Speed-Höcker und der geschickte Einsatz von Stretch-Material keinen Hehl aus den Rennsportwurzeln der Spitfire Jacke. Grö?en M46-58<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>Monaco Performance Rindleder;PWR | shell 500D Stretch;Neopren;Lorica®<br><strong>Isolierung:</strong><ul><li><br><strong>Futter:</strong><ul><li>herausnehmbarer Thermo-Körperwärmer</li></ul><br><strong>Wasserdichtigkeit & Atmungsaktivität:</strong><ul><li><";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85061;;REV'IT Jacke Spitfire - Weiß-Rot;;;;;;;;;;FJL079-3200;;;;;;;;;;;;;;;;;Mit der REV’IT Spitfire bringen Sie Ihre Rennsport-Begeisterung auf die Straße;"Mit der REV’IT Spitfire bringen Sie Ihre Rennsport-Begeisterung auf die Straße. Diese MotoGP-inspirierte Jacke gibt Ihnen das Aussehen und Tragegefühl einer Rennkombi und liefert daneben eine hohe Alltagstauglichkeit. Die einzigartige Prägetechnik auf den Lederpanels stammt direkt von der Spitfire Rennkombi ab, gleiches gilt für MotoGP-gemäßen Zwei-Komponenten-Schleifer an Schulter und Ellbogen. Dem Aufprallschutz dienen unsere ausgezeichneten SEEFLEX™ CE-Level 2 Protektoren an Schulter und Ellbogen und der nachrüstbare SEESOFT™ CE-Level 2 Rückenprotektor. Kühlen Morgen- und Abendstunden begegnet die Jacke mit dem herausnehmbaren Thermofutter. Ist dieses entfernt, strömt erfrischender Fahrtwind durch das teilperforierte Leder. Diverse Taschen dienen der Praxistauglichkeit, gleichzeitig machen der Speed-Höcker und der geschickte Einsatz von Stretch-Material keinen Hehl aus den Rennsportwurzeln der Spitfire Jacke. Grö?en M46-58<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>Monaco Performance Rindleder;PWR | shell 500D Stretch;Neopren;Lorica®<br><strong>Isolierung:</strong><ul><li><br><strong>Futter:</strong><ul><li>herausnehmbarer Thermo-Körperwärmer</li></ul><br><strong>Wasserdichtigkeit & Atmungsaktivität:</strong><ul><li><";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85062;;REV'IT Jacke Blake - Schwarz;;;;;;;;;;FJL080-0010;;;;;;;;;;;;;;;;;Die Blake von REV’IT! betritt Neuland;"Die Blake von REV’IT! betritt Neuland. Extrem abriebfestes Monaco Performance Rindleder, gemixt mit PWR | shell Material, ergeben einen brandneuen Typ Jacke, den Sie zu einer Vielzahl unterschiedlichster Motorräder anziehen können. Die abnehmbare Kapuze sowie Bündchen und Kragen aus gestricktem Polyester verleihen dieser Leder-Textil-Jacke einen urbanen Touch, während Sie unsere preisgekrönten SEEFLEX™ CE-Level 2 Protektoren an Schulter und Ellbogen vor Sturzfolgen bewahren. Das herausnehmbare Thermofutter erweitert das Einsatzspektrum der Blake ganz erheblich. Natürlich bietet sie Platz für einen nachrüstbaren SEESOFT™ CE-Level 2 Rückenprotektor. Mit langem oder kurzen Verbindungsreißverschluss passt Blake an praktisch jede REV’IT! Hose oder an jede REV’IT Jeans, letzteres mit dem Safeway Gürtel. Größen M46-58<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>Monaco Performance Rindleder;PWR | shell 500D;PWR | wax 500D;polyester Strick<br><strong>Isolierung:</strong><ul><li><br><strong>Futter:</strong><ul><li>herausnehmbarer Thermo-Körperwärmer</li></ul><br><strong>Wasserdichtig";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85063;;REV'IT Jacke Blake Air - Schwarz;;;;;;;;;;FJL081-0010;;;;;;;;;;;;;;;;;Die Blake Air von REV’IT! gestattet eine maximale Belüftung und trägt zugleich aus der MotoGP kommenden Schutzmerkmale in sich;"Die Blake Air von REV’IT! gestattet eine maximale Belüftung und trägt zugleich aus der MotoGP kommenden Schutzmerkmale in sich. Die Leder-Textil-Jacke mit der sportlichen Attitüde passt zu einer Vielzahl unterschiedlichster Motorradtypen. Die Zwei-Komponenten-Schleifer an der Schulter gleichen denen, die unsere MotoGP Helden benutzen. Dank des 3D Air Mesh-Gewebes vorn, hinten und an den Ärmeln genießen Sie eine frische Brise am ganzen Oberkörper. In aufprallgefährdeten Bereichen kommt hoch abriebfestes Monaco Performance Rindleder zum Einsatz, weitere Sicherheitsmerkmal liefern die SEEFLEX™ CE-Level 2 Protektoren an Schulter und Ellbogen. Selbstverständlich können Sie einen SEESOFT™ CE-Level 2 Rückenprotektor nachrüsten, und wenn Sie schon früh am Morgen unterwegs sind, freuen Sie sich garantiert über das herausnehmbare Thermofutter. Grö?en M46-58<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>Monaco Performance Rindleder;3D air Mesh;PWR | wax 500D;polyester Strick<br><strong>Isolierung:</strong><ul><li><br><strong>Futter:</strong><ul><li>herausnehmbarer Thermo-Körperwärmer</li></ul><br><strong>Wasserdichtigkeit & Atmungsakti";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85064;;REV'IT Jacke Stewart - Schwarz;;;;;;;;;;FJL082-0010;;;;;;;;;;;;;;;;;Stewart bringt Ihren Wunsch nach einer unprätentiösen, coolen, schwarzen Lederjacke auf den Punkt;Stewart bringt Ihren Wunsch nach einer unprätentiösen, coolen, schwarzen Lederjacke auf den Punkt. Das Pull-up Büffelleder bekommt schon bald ein brüchiges Aussehen und bietet dann wahren Vintage Look. SEESMART™ Protektoren verleihen der Stewart die schlanke Erscheinung einer herkömmlichen Jacke, mehr Sicherheit bietet der optionale SEESOFT™ CE-Level 2 Rückenprotektor. Mit dem Thermofutter können Sie sie selbst an kühlen Tagen tragen, und wenn Sie es herausnehmen, optimieren Sie ihren Sitz mittels der Einstellriemen an der Taille an. Mit dem kurzen Reißverschluss und dem Safeway Gürtel geht die Jacke eine stabile Verbindung mit Ihrer Jeans ein, Ihre persönlichen Utensilien bringen Sie in den diversen Taschen unter. Grö?en M46-58<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>Pull up-Büffelleder<br><strong>Isolierung:</strong><ul><li><br><strong>Futte;;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85065;;REV'IT Jacke Stewart Air - Schwarz;;;;;;;;;;FJL083-0010;;;;;;;;;;;;;;;;;Cool wird noch cooler, im übertragenen Sinn: Die Stewart Air ist an Front und Rücken komplett, an den Ärmeln teilweise perforiert;"Cool wird noch cooler, im übertragenen Sinn: Die Stewart Air ist an Front und Rücken komplett, an den Ärmeln teilweise perforiert. So können Sie selbst in knalligem Sonnenschein in einer schwarzen Lederjacke Motorrad fahren, weil Sie einen kühlenden Luftstrom genießen. Das Pull-up Büffelleder bekommt schon bald ein brüchiges Aussehen, die ungewöhnlich flachen SEESMART™ Protektoren an Ellbogen und Schultern gewähren der Stewart Air die schlanke Form einer herkömmlichen Jacke. Das Thermofutter gestattet Ihnen gemütliches Motorradfahren selbst bei niedrigen Temperaturen, einmal herausgenommen optimieren Sie die Passform durch die Einstellriemen an der Taille. Der kurze Reißverschluss ermöglicht Ihnen den Anschluss an Ihre REV’IT! Jeans durch den Safeway Gürtel, diverse Taschen bieten Platz für Ihre persönlichen Utensilien. Wie Sie es von REV’IT! gewohnt sind, können Sie auch Stewart Air mit dem optionalen SEESOFT™ CE-Level 2 Rückenprotektor nachrüsten.
Grö?en M46-58<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>Pull up-Büffelleder<br><strong>Isolierung:</strong><ul><li><br><strong>Futter:</strong><ul><li>herausnehmbares Th";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85066;;REV'IT Jacke Gibson - Schwarz;;;;;;;;;;FJL084-0010;;;;;;;;;;;;;;;;;Die Gibson gibt Ihrer Fahrt eine gewisse Robustheit – zumindest was Ihre Bekleidung angeht;Die Gibson gibt Ihrer Fahrt eine gewisse Robustheit – zumindest was Ihre Bekleidung angeht. Dafür sorgen die vier Fronttaschen mit den soliden, nicht abgedeckten Reißverschlüssen. Das Pull-up Rindleder erhält im Lauf der Zeit einen markanten Used Look, mit zunehmenden Gebrauch wird brüchig und altert auf hübsche Weise. Dank unserer extrem dünnen SEESMART™ CE-Level 1 haben es unsere Designer geschafft, der Gibson eine klare Linie zu verleihen. Natürlich ist sie bereit zur Aufnahme eines SEESOFT™ CE-Level 2 Rückenprotektors und zur Verbindung mit einer REV’IT! Jeans, darum kümmern sich der kurze Verbindungsreißverschluss und der Safeway Gürtel. Und damit sie Ihre Lieblingsjacke für fast jede Gelegenheit wird, haben wir ihr noch ein herausnehmbares Thermofutter mitgegeben. Damit sind Sie selbst bei sinkenden Temperaturen stilvoll mit Ihrer Maschine unterwegs. Grö?en M46-58<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>Pull up-Rindleder<br><strong>Isolierung:</strong><ul><li><br><strong>Futter:</;;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
