ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;;;;Weight;Quantity;;;;;Short description;;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out_of_stock;Advanced stock management;ID / Name of shop\'c2\'a0\;;;Car type casque;Car couleur;Car Ecran;Car public;Car Coque;Car Etancheite;Car Goretex;Att Taille;Att Couleur;Car HighTech (ou sous cat)
10711;;BLAZE® Satteltaschen Abstandsbügel;288;105.00;;;;;;;;D9390-556-03;D9390-556-03;SW-MOTECH;SW-MOTECH;4052572028223;;;;;;1,1140;1;;;;;Honda VFR 800 F (14-).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10712;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-543-03;D9390-543-03;SW-MOTECH;SW-MOTECH;4052572024713;;;;;;1,0000;1;;;;;KTM 690 Duke 4 (11-).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><br>Komplettes Anbauset <i><b>ohne</b></i> BLAZE® Satteltaschen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10713;;BLAZE® Satteltaschen Abstandsbügel;288;117.00;;;;;;;;D9390-554-03;D9390-554-03;SW-MOTECH;SW-MOTECH;4052572028360;;;;;;1,5400;1;;;;;KTM 1290 Super Duke R (14-).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10714;;BLAZE® Satteltaschen Abstandsbügel;288;105.00;;;;;;;;D9390-557-03;D9390-557-03;SW-MOTECH;SW-MOTECH;4052572028995;;;;;;1,4000;1;;;;;Schwarz. KTM 390 Duke (13-).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10715;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-504-03;D9390-504-03;SW-MOTECH;SW-MOTECH;4052572024720;;;;;;1,4000;1;;;;;Suzuki GSX-R 600 / 750 / 1000.;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><br>Komplettes Anbauset <i><b>ohne</b></i> BLAZE® Satteltaschen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10716;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-505-03;D9390-505-03;SW-MOTECH;SW-MOTECH;4052572024737;;;;;;1,2200;1;;;;;Suzuki GSX650F / GSX1250F / GSF1250 / GSF1250S.;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10717;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-506-03;D9390-506-03;SW-MOTECH;SW-MOTECH;4052572024744;;;;;;1,2000;1;;;;;Suzuki GSX-R 600 / GSX-R 750.;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10718;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-517-03;D9390-517-03;SW-MOTECH;SW-MOTECH;4052572024751;;;;;;1,2000;1;;;;;Suzuki GSF650 / GSF650S / GSF1250.;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10719;;BLAZE® Satteltaschen Abstandsbügel;288;117.00;;;;;;;;D9390-518-03;D9390-518-03;SW-MOTECH;SW-MOTECH;4052572024768;;;;;;1,5400;1;;;;;Suzuki SFV 650 Gladius (09-).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10720;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-519-03;D9390-519-03;SW-MOTECH;SW-MOTECH;4052572024775;;;;;;1,2800;1;;;;;Suzuki GSX 1300 R Hayabusa (08-).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
