ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;;;;Weight;Quantity;;;;;Short description;;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out_of_stock;Advanced stock management;ID / Name of shop\'c2\'a0\;;;Car type casque;Car couleur;Car Ecran;Car public;Car Coque;Car Etancheite;Car Goretex;Att Taille;Att Couleur;Car HighTech (ou sous cat);;
10042;;TRAX ADVENTURE ALU-BOX M;288;399.00;;;;;;;;D9393-202-03;D9393-202-03;SW-MOTECH;SW-MOTECH;4052572029411;;;;;;6,8000;1;;;;;37 l. Links. Schwarz.;;<p>Der robuste TRAX ADVENTURE Aluminium-Tourenkoffer fühlt sich in jeder Situation zuhause - von der Fernweh-Route über den Off-Road-Trip bis zur Kurzstrecke. Dabei darf es auch rauer zugehen: Designprägungen unterstützen die Stabilität des 1,5 Millimeter starken, geschweißten Wandmaterials. Zur zusätzlichen Versteifung des Deckels sowie als Kantenschutz kommt leichter, glasfaserverstärkter Kunststoff zum Einsatz, eine abgeschrägte Unterkante gibt hohe Bodenfreiheit bei Kurvenfahrten.</br></br> Damit weder Wasser noch Staub das Gepäck erreichen, kommt bei der Fertigung moderne Roboter-Schweißtechnik zum Einsatz. Zudem wird das Wandmaterial bei der Stanzniet-Verbindung zu den Anbauteilen nicht durchbrochen. Auch Verschlüsse und Verschraubungen wurden neben einfacher Handhabung für einen staub- und wasserfesten 'Schulterschluss' ausgelegt. Ein hoch angesetzter, komplett abnehmbarer Deckel mit eloxierten Aluminium-Griffen, Schnellverschlüsse und Öffnungsbegrenzer erleichtern dem Fahrer das Be- und Entladen.</p> <b>Besonderheiten</b> <!--BB--> <ul> <li> Robuster und wasserfester Motorrad-Tourenkoffer</li> <li> Material: Pulverbeschichtetes Aluminium mit 1,5 mm Wandstärke</li> <li> Hohe Stabilität durch Designprägungen, tiefgezogenen Deckel und geschweißte Kanten</li> <li> Robotergestütztes Schweißen und Stanznieten verhindern Eindringen von Feuchtigkeit</li> <li> Witterungs- und abriebbeständig pulverbeschichtete Außen- und Innenwände</li> <li> Leicht zu reinigende Oberfläche</li> <li> Komplett abnehmbarer Deckel mit Schnellverschluss und Öffnungsbegrenzer</li> <li> Vier stabile, in das Deckeldesign integrierte Verzurrpunkte</li> <li> Abgeschrägte Seitenkante für hohe Bodenfreiheit bei Kurvenfahrten</li> <li> Zusätzlicher Schutz durch Ecken aus glasfaserverstärktem Kunststoff</li> <li> Scharniere aus Edelstahl</li> <li> Schnelle Montage an allen QUICK-LOCK EVO Trägersystemen</li> <li> Adapter für viele gängige Kofferträger verfügbar</li> <li> 37 Liter Fassungsvermögen</li> <li> Maße: ca. 49 x 23 x 37 cm </li> <li> Gewicht: ca. 5,1 kg</li> </ul> <!--EB-->  <b>Lieferumfang</b> <!--BL--> <ul> <li>TRAX ADVENTURE Aluminium-Tourenkoffer, schwarz pulverbeschichtet</li> <li>Vormontierter Halter zur Montage auf linker Trägerseite</li> <li>Öffnungsbegrenzer</li> <li>Praktische Aufbewahrungstasche</li> </ul> <!--EL-->  <b>Hinweise</b> <ul> <li>Separat erhältlicher Seitenträger und Adapter für Montage erforderlich</li> <li>Schlösser im Lieferumfang nicht enthalten</li> <li>Auch als Komplett-Set mit 2 Seitenkoffern, Träger, Adpatern und Schlössern erhältlich</li></ul>;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_733_11000_l_b_1_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
10043;;TRAX ADVENTURE ALU-BOX M;288;399.00;;;;;;;;D9393-202-93;D9393-202-93;SW-MOTECH;SW-MOTECH;4052572029428;;;;;;6,5500;1;;;;;37 l. Links. Silber.;;<p>Der robuste TRAX ADVENTURE Aluminium-Tourenkoffer fühlt sich in jeder Situation zuhause - von der Fernweh-Route über den Off-Road-Trip bis zur Kurzstrecke. Dabei darf es auch rauer zugehen: Designprägungen unterstützen die Stabilität des 1,5 Millimeter starken, geschweißten Wandmaterials. Zur zusätzlichen Versteifung des Deckels sowie als Kantenschutz kommt leichter, glasfaserverstärkter Kunststoff zum Einsatz, eine abgeschrägte Unterkante gibt hohe Bodenfreiheit bei Kurvenfahrten.</br></br> Damit weder Wasser noch Staub das Gepäck erreichen, kommt bei der Fertigung moderne Roboter-Schweißtechnik zum Einsatz. Zudem wird das Wandmaterial bei der Stanzniet-Verbindung zu den Anbauteilen nicht durchbrochen. Auch Verschlüsse und Verschraubungen wurden neben einfacher Handhabung für einen staub- und wasserfesten 'Schulterschluss' ausgelegt. Ein hoch angesetzter, komplett abnehmbarer Deckel mit eloxierten Aluminium-Griffen, Schnellverschlüsse und Öffnungsbegrenzer erleichtern dem Fahrer das Be- und Entladen.</p> <b>Besonderheiten</b> <!--BB--> <ul> <li> Robuster und wasserfester Motorrad-Tourenkoffer</li> <li> Material: Eloxiertes Aluminium mit 1,5 mm Wandstärke</li> <li> Hohe Stabilität durch Designprägungen, tiefgezogenen Deckel und geschweißte Kanten</li> <li> Robotergestütztes Schweißen und Stanznieten verhindern Eindringen von Feuchtigkeit</li> <li> Witterungs- und abriebbeständig eloxierte Außen- und Innenwände</li> <li> Leicht zu reinigende Oberfläche</li> <li> Komplett abnehmbarer Deckel mit Schnellverschluss und Öffnungsbegrenzer</li> <li> Vier stabile, in das Deckeldesign integrierte Verzurrpunkte</li> <li> Abgeschrägte Seitenkante für hohe Bodenfreiheit bei Kurvenfahrten</li> <li> Zusätzlicher Schutz durch Ecken aus glasfaserverstärktem Kunststoff</li> <li> Scharniere aus Edelstahl</li> <li> Schnelle Montage an allen QUICK-LOCK EVO Trägersystemen</li> <li> Adapter für viele gängige Kofferträger verfügbar</li> <li> 37 Liter Fassungsvermögen</li> <li> Maße: ca. 49 x 23 x 37 cm</li> <li> Gewicht: ca. 5,1 kg</li> </ul> <!--EB-->  <b>Lieferumfang</b> <!--BL--> <ul> <li>TRAX ADVENTURE Aluminium-Tourenkoffer, silbern eloxiert</li> <li>Vormontierter Halter zur Montage auf linker Trägerseite</li> <li>Öffnungsbegrenzer</li> <li>Praktische Aufbewahrungstasche</li></ul> <!--EL--> <b>Hinweise</b> <ul> <li>Separat erhältlicher Seitenträger und Adapter für Montage erforderlich</li> <li>Schlösser im Lieferumfang nicht enthalten</li> <li>Auch als Komplett-Set mit 2 Seitenkoffern, Träger, Adpatern und Schlössern erhältlich</li></ul>;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_733_11000_l_s_1_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
10044;;TRAX ADVENTURE ALU-BOX M;288;399.00;;;;;;;;D9393-203-03;D9393-203-03;SW-MOTECH;SW-MOTECH;4052572029435;;;;;;6,7000;1;;;;;37 l. Rechts. Schwarz.;;<p>Der robuste TRAX ADVENTURE Aluminium-Tourenkoffer fühlt sich in jeder Situation zuhause - von der Fernweh-Route über den Off-Road-Trip bis zur Kurzstrecke. Dabei darf es auch rauer zugehen: Designprägungen unterstützen die Stabilität des 1,5 Millimeter starken, geschweißten Wandmaterials. Zur zusätzlichen Versteifung des Deckels sowie als Kantenschutz kommt leichter, glasfaserverstärkter Kunststoff zum Einsatz, eine abgeschrägte Unterkante gibt hohe Bodenfreiheit bei Kurvenfahrten.</br></br> Damit weder Wasser noch Staub das Gepäck erreichen, kommt bei der Fertigung moderne Roboter-Schweißtechnik zum Einsatz. Zudem wird das Wandmaterial bei der Stanzniet-Verbindung zu den Anbauteilen nicht durchbrochen. Auch Verschlüsse und Verschraubungen wurden neben einfacher Handhabung für einen staub- und wasserfesten 'Schulterschluss' ausgelegt. Ein hoch angesetzter, komplett abnehmbarer Deckel mit eloxierten Aluminium-Griffen, Schnellverschlüsse und Öffnungsbegrenzer erleichtern dem Fahrer das Be- und Entladen.</p> <b>Besonderheiten</b> <!--BB--> <ul> <li> Robuster und wasserfester Motorrad-Tourenkoffer</li> <li> Material: Pulverbeschichtetes Aluminium mit 1,5 mm Wandstärke</li> <li> Hohe Stabilität durch Designprägungen, tiefgezogenen Deckel und geschweißte Kanten</li> <li> Robotergestütztes Schweißen und Stanznieten verhindern Eindringen von Feuchtigkeit</li> <li> Witterungs- und abriebbeständig pulverbeschichtete Außen- und Innenwände</li> <li> Leicht zu reinigende Oberfläche</li> <li> Komplett abnehmbarer Deckel mit Schnellverschluss und Öffnungsbegrenzer</li> <li> Vier stabile, in das Deckeldesign integrierte Verzurrpunkte</li> <li> Abgeschrägte Seitenkante für hohe Bodenfreiheit bei Kurvenfahrten</li> <li> Zusätzlicher Schutz durch Ecken aus glasfaserverstärktem Kunststoff</li> <li> Scharniere aus Edelstahl</li> <li> Schnelle Montage an allen QUICK-LOCK EVO Trägersystemen</li> <li> Adapter für viele gängige Kofferträger verfügbar</li> <li> 37 Liter Fassungsvermögen</li> <li> Maße: ca. 49 x 23 x 37 cm </li> <li> Gewicht: ca. 5,1 kg</li> </ul> <!--EB-->  <b>Lieferumfang</b> <!--BL--> <ul> <li>TRAX ADVENTURE Aluminium-Tourenkoffer, schwarz pulverbeschichtet</li> <li>Vormontierter Halter zur Montage auf rechter Trägerseite</li> <li>Öffnungsbegrenzer</li> <li>Praktische Aufbewahrungstasche</li> </ul> <!--EL-->  <b>Hinweise</b> <ul><li>Separat erhältlicher Seitenträger und Adapter für Montage erforderlich</li> <li>Schlösser im Lieferumfang nicht enthalten</li> <li>Auch als Komplett-Set mit 2 Seitenkoffern, Träger, Adpatern und Schlössern erhältlich</li></ul>;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_733_11000_r_b_1_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
10045;;TRAX ADVENTURE ALU-BOX M;288;399.00;;;;;;;;D9393-203-93;D9393-203-93;SW-MOTECH;SW-MOTECH;4052572029442;;;;;;6,5500;1;;;;;37 l. Rechts. Silber.;;<p>Der robuste TRAX ADVENTURE Aluminium-Tourenkoffer fühlt sich in jeder Situation zuhause - von der Fernweh-Route über den Off-Road-Trip bis zur Kurzstrecke. Dabei darf es auch rauer zugehen: Designprägungen unterstützen die Stabilität des 1,5 Millimeter starken, geschweißten Wandmaterials. Zur zusätzlichen Versteifung des Deckels sowie als Kantenschutz kommt leichter, glasfaserverstärkter Kunststoff zum Einsatz, eine abgeschrägte Unterkante gibt hohe Bodenfreiheit bei Kurvenfahrten.</br></br> Damit weder Wasser noch Staub das Gepäck erreichen, kommt bei der Fertigung moderne Roboter-Schweißtechnik zum Einsatz. Zudem wird das Wandmaterial bei der Stanzniet-Verbindung zu den Anbauteilen nicht durchbrochen. Auch Verschlüsse und Verschraubungen wurden neben einfacher Handhabung für einen staub- und wasserfesten 'Schulterschluss' ausgelegt. Ein hoch angesetzter, komplett abnehmbarer Deckel mit eloxierten Aluminium-Griffen, Schnellverschlüsse und Öffnungsbegrenzer erleichtern dem Fahrer das Be- und Entladen.</p> <b>Besonderheiten</b> <!--BB--> <ul> <li> Robuster und wasserfester Motorrad-Tourenkoffer</li> <li> Material: Eloxiertes Aluminium mit 1,5 mm Wandstärke</li> <li> Hohe Stabilität durch Designprägungen, tiefgezogenen Deckel und geschweißte Kanten</li> <li> Robotergestütztes Schweißen und Stanznieten verhindern Eindringen von Feuchtigkeit</li> <li> Witterungs- und abriebbeständig eloxierte Außen- und Innenwände</li> <li> Leicht zu reinigende Oberfläche</li> <li> Komplett abnehmbarer Deckel mit Schnellverschluss und Öffnungsbegrenzer</li> <li> Vier stabile, in das Deckeldesign integrierte Verzurrpunkte</li> <li> Abgeschrägte Seitenkante für hohe Bodenfreiheit bei Kurvenfahrten</li> <li> Zusätzlicher Schutz durch Ecken aus glasfaserverstärktem Kunststoff</li> <li> Scharniere aus Edelstahl</li> <li> Schnelle Montage an allen QUICK-LOCK EVO Trägersystemen</li> <li> Adapter für viele gängige Kofferträger verfügbar</li> <li> 37 Liter Fassungsvermögen</li> <li> Maße: ca. 49 x 23 x 37 cm</li> <li> Gewicht: ca. 5,1 kg</li> </ul> <!--EB-->  <b>Lieferumfang</b> <!--BL--> <ul> <li>TRAX ADVENTURE Alumunium-Tourenkoffer, silbern eloxiert</li> <li>Vormontierter Halter zur Montage auf rechter Trägerseite</li><li>Öffnungsbegrenzer</li> <li>Praktische Aufbewahrungstasche</li> </ul> <!--EL-->  <b>Hinweise</b> <ul><li>Separat erhältlicher Seitenträger und Adapter für Montage erforderlich</li> <li>Schlösser im Lieferumfang nicht enthalten</li> <li>Auch als Komplett-Set mit 2 Seitenkoffern, Träger, Adpatern und Schlössern erhältlich</li></ul>;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_733_11000_r_s_1_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
10046;;TRAX ADVENTURE ALU-BOX Topcase;288;399.00;;;;;;;;D9393-204-03;D9393-204-03;SW-MOTECH;SW-MOTECH;4052572029459;;;;;;4,7000;1;;;;;38 l. Schwarz.;;<p>Der robuste TRAX ADVENTURE Aluminium-Tourenkoffer fühlt sich in jeder Situation zuhause - von der Fernweh-Route über den Off-Road-Trip bis zur Kurzstrecke. Dabei darf es auch rauer zugehen: Designprägungen unterstützen die Stabilität des 1,5 Millimeter starken, geschweißten Wandmaterials. Zur zusätzlichen Versteifung des Deckels sowie als Kantenschutz kommt leichter, glasfaserverstärkter Kunststoff zum Einsatz.</br></br> Damit weder Wasser noch Staub das Gepäck erreichen, kommt bei der Fertigung moderne Roboter-Schweißtechnik zum Einsatz. Zudem wird das Wandmaterial bei der Stanzniet-Verbindung zu den Anbauteilen nicht durchbrochen. Auch Verschlüsse und Verschraubungen wurden neben einfacher Handhabung für einen staub- und wasserfesten 'Schulterschluss' ausgelegt.</p> <b>Besonderheiten</b> <!--BB--> <ul><li> Robuster und wasserfester Motorrad-Tourenkoffer</li> <li> Material: Pulverbeschichtetes Aluminium mit 1,5 mm Wandstärke</li> <li> Hohe Stabilität durch Designprägungen, tiefgezogenen Deckel und geschweißte Kanten</li> <li> Robotergestütztes Schweißen und Stanznieten verhindern Eindringen von Feuchtigkeit</li> <li> Witterungs- und abriebbeständig pulverbeschichtete Außen- und Innenwände</li> <li> Leicht zu reinigende Oberfläche</li> <li> Komplett abnehmbarer Deckel mit Schnellverschluss und Öffnungsbegrenzer</li> <li> Vier stabile, in das Deckeldesign integrierte Verzurrpunkte</li> <li> Zusätzlicher Schutz durch Ecken aus glasfaserverstärktem Kunststoff</li> <li> Scharniere aus Edelstahl</li> <li> Schnelle Montage an allen QUICK-LOCK EVO Trägersystemen</li> <li> Adapter für viele gängige Kofferträger verfügbar</li> <li> 38 Liter Fassungsvermögen</li> <li> Maße: ca. 41 x 34 x 33 cm </li> <li> Gewicht: ca. 4,6 kg</li> </ul> <!--EB-->  <b>Lieferumfang</b> <!--BL--> <ul> <li>TRAX ADVENTURE Aluminium-Topcase, schwarz pulverbeschichtet</li>  <li>Öffnungsbegrenzer</li> <li>Praktische Aufbewahrungstasche</li> </ul> <!--EL--> <b>Hinweise</b> <ul><li>Separat erhältlicher Heckträger und Adapter für Montage erforderlich</li><li>Schlösser im Lieferumfang nicht enthalten</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10047;;TRAX ADVENTURE ALU-BOX Topcase;288;399.00;;;;;;;;D9393-204-93;D9393-204-93;SW-MOTECH;SW-MOTECH;4052572029466;;;;;;4,7000;1;;;;;38 l. Silber.;;<p>Der robuste TRAX ADVENTURE Aluminium-Tourenkoffer fühlt sich in jeder Situation zuhause - von der Fernweh-Route über den Off-Road-Trip bis zur Kurzstrecke. Dabei darf es auch rauer zugehen: Designprägungen unterstützen die Stabilität des 1,5 Millimeter starken, geschweißten Wandmaterials. Zur zusätzlichen Versteifung des Deckels sowie als Kantenschutz kommt leichter, glasfaserverstärkter Kunststoff zum Einsatz.</br></br> Damit weder Wasser noch Staub das Gepäck erreichen, kommt bei der Fertigung moderne Roboter-Schweißtechnik zum Einsatz. Zudem wird das Wandmaterial bei der Stanzniet-Verbindung zu den Anbauteilen nicht durchbrochen. Auch Verschlüsse und Verschraubungen wurden neben einfacher Handhabung für einen staub- und wasserfesten 'Schulterschluss' ausgelegt.</p>  <b>Besonderheiten</b> <!--BB--> <ul> <li> Robuster und wasserfester Motorrad-Tourenkoffer</li> <li> Material: Eloxiertes Aluminium mit 1,5 mm Wandstärke</li> <li> Hohe Stabilität durch Designprägungen, tiefgezogenen Deckel und geschweißte Kanten</li> <li> Robotergestütztes Schweißen und Stanznieten verhindern Eindringen von Feuchtigkeit</li> <li> Witterungs- und abriebbeständig eloxierte Außen- und Innenwände</li> <li> Leicht zu reinigende Oberfläche</li> <li> Komplett abnehmbarer Deckel mit Schnellverschluss und Öffnungsbegrenzer</li> <li> Vier stabile, in das Deckeldesign integrierte Verzurrpunkte</li> <li> Zusätzlicher Schutz durch Ecken aus glasfaserverstärktem Kunststoff</li> <li> Scharniere aus Edelstahl</li> <li> Schnelle Montage an allen QUICK-LOCK EVO Trägersystemen</li> <li> Adapter für viele gängige Kofferträger verfügbar</li> <li> 38 Liter Fassungsvermögen</li> <li> Maße: ca. 41 x 34 x 33 cm </li> <li> Gewicht: ca. 4,6 kg</li> </ul> <!--EB-->  <b>Lieferumfang</b> <!--BL--> <ul> <li>TRAX ADVENTURE Aluminium-Topcase, silbern eloxiert</li><li>Öffnungsbegrenzer</li> <li>Praktische Aufbewahrungstasche</li> </ul> <!--EL--> <b>Hinweise</b> <ul><li>Separat erhältlicher Heckträger und Adapter für Montage erforderlich</li> <li>Schlösser im Lieferumfang nicht enthalten</li></ul>;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_733_15000_s_1_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
10048;;Lenker-End-Befestigungen;288;9.00;;;;;;;;D9397-B025;D9397-B025;SW-MOTECH;SW-MOTECH;722301241981;;;;;;0,0000;1;;;;;Für Husqvarna (08-09).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10049;;Lenker-End-Befestigungen;288;11.00;;;;;;;;D9397-B026;D9397-B026;SW-MOTECH;SW-MOTECH;722301240038;;;;;;0,0800;1;;;;;Für Lenker mit 18mm Innendurchmesser. Als Paar.;;"<span style=font-size:18px""><b>Lenker-End-Befestigungen</b></span><ul><li>Für Lenker mit 18mm Innendruchmesser</li><li>Lieferung als Satz (L/R)</li></ul>""";;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/b_026_1_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
10050;;Lenker-End-Befestigungen;288;11.00;;;;;;;;D9397-B027;D9397-B027;SW-MOTECH;SW-MOTECH;722301240045;;;;;;0,0600;1;;;;;Für Lenker mit 14mm Innendurchmesser. Als Paar.;;"<span style=font-size:18px""><b>Lenker-End-Befestigungen</b></span><ul><li>Für Lenker mit 14mm Innendruchmesser</li><li>Lieferung als Satz (L/R)</li></ul>""";;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/b_027_1_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
10051;;Lenker-End-Befestigungen;288;11.00;;;;;;;;D9397-B029;D9397-B029;SW-MOTECH;SW-MOTECH;722301240069;;;;;;0,0600;1;;;;;Für Lenker mit 12mm Innendurchmesser. Als Paar.;;"<span style=font-size:18px""><b>Lenker-End-Befestigungen</b></span><ul><li>Für Lenker mit 12mm Innendruchmesser</li><li>Lieferung als Satz (L/R)</li></ul>""";;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/b_029_1_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
10052;;Lenker End-Stopfen;288;19.00;;;;;;;;D9397-B-045-BK;D9397-B-045-BK;SW-MOTECH;SW-MOTECH;722301240106;;;;;;0,1000;1;;;;;Schwarz.;;"<span style=font-size:18px""><b>Lenker End-Stopfen</b></span><ul><li>Minimiert Schäden am Griff</li><li>Aus hochwertigem Aluminium, eloxiert</li><li>Befestigung für 14mm Leichtmetall- und 18mm Stahl-Lenker enthalten</li></ul><u>Erhältlich in:</u><br><b><i>Schwarz, Blau, Gold, Rot, Orange, Silber, Titan</i></b>""";;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/b_045_bk_1_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
10053;;Lenker End-Stopfen;288;19.00;;;;;;;;D9397-B-045-BU;D9397-B-045-BU;SW-MOTECH;SW-MOTECH;722301240113;;;;;;0,0800;1;;;;;Blau;;"<span style=font-size:18px""><b>Lenker End-Stopfen</b></span><ul><li>Minimiert Schäden am Griff</li><li>Aus hochwertigem Aluminium, eloxiert</li><li>Befestigung für 14mm Leichtmetall- und 18mm Stahl-Lenker enthalten</li></ul><u>Erhältlich in:</u><br><b><i>Schwarz, Blau, Gold, Rot, Orange, Silber, Titan</i></b>""";;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/b_045_bu_1_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
10054;;Lenker End-Stopfen;288;19.00;;;;;;;;D9397-B-045-GD;D9397-B-045-GD;SW-MOTECH;SW-MOTECH;722301240120;;;;;;0,0800;1;;;;;Gold.;;"<span style=font-size:18px""><b>Lenker End-Stopfen</b></span><ul><li>Minimiert Schäden am Griff</li><li>Aus hochwertigem Aluminium, eloxiert</li><li>Befestigung für 14mm Leichtmetall- und 18mm Stahl-Lenker enthalten</li></ul><u>Erhältlich in:</u><br><b><i>Schwarz, Blau, Gold, Rot, Orange, Silber, Titan</i></b>""";;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/b_045_gd_1_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
10055;;Lenker End-Stopfen;288;19.00;;;;;;;;D9397-B-045-OR;D9397-B-045-OR;SW-MOTECH;SW-MOTECH;722301242575;;;;;;0,0800;1;;;;;Orange.;;"<span style=font-size:18px""><b>Lenker End-Stopfen</b></span><ul><li>Minimiert Schäden am Griff</li><li>Aus hochwertigem Aluminium, eloxiert</li><li>Befestigung für 14mm Leichtmetall- und 18mm Stahl-Lenker enthalten</li></ul><u>Erhältlich in:</u><br><b><i>Schwarz, Blau, Gold, Rot, Orange, Silber, Titan</i></b>""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10056;;Lenker End-Stopfen;288;19.00;;;;;;;;D9397-B-045-RD;D9397-B-045-RD;SW-MOTECH;SW-MOTECH;722301240137;;;;;;0,0800;1;;;;;Rot.;;"<span style=font-size:18px""><b>Lenker End-Stopfen</b></span><ul><li>Minimiert Schäden am Griff</li><li>Aus hochwertigem Aluminium, eloxiert</li><li>Befestigung für 14mm Leichtmetall- und 18mm Stahl-Lenker enthalten</li></ul><u>Erhältlich in:</u><br><b><i>Schwarz, Blau, Gold, Rot, Orange, Silber, Titan</i></b>""";;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/b_045_rd_1_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
10057;;Lenker End-Stopfen;288;19.00;;;;;;;;D9397-B-045-SL;D9397-B-045-SL;SW-MOTECH;SW-MOTECH;722301240144;;;;;;0,0800;1;;;;;Silber.;;"<span style=font-size:18px""><b>Lenker End-Stopfen</b></span><ul><li>Minimiert Schäden am Griff</li><li>Aus hochwertigem Aluminium, eloxiert</li><li>Befestigung für 14mm Leichtmetall- und 18mm Stahl-Lenker enthalten</li></ul><u>Erhältlich in:</u><br><b><i>Schwarz, Blau, Gold, Rot, Orange, Silber, Titan</i></b>""";;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/b_045_sl_1_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
10058;;Lenker End-Stopfen;288;19.00;;;;;;;;D9397-B-045-TT;D9397-B-045-TT;SW-MOTECH;SW-MOTECH;722301240151;;;;;;0,0800;1;;;;;Titanium.;;"<span style=font-size:18px""><b>Lenker End-Stopfen</b></span><ul><li>Minimiert Schäden am Griff</li><li>Aus hochwertigem Aluminium, eloxiert</li><li>Befestigung für 14mm Leichtmetall- und 18mm Stahl-Lenker enthalten</li></ul><u>Erhältlich in:</u><br><b><i>Schwarz, Blau, Gold, Rot, Orange, Silber, Titan</i></b>""";;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/b_045_tt_1_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
10059;;Befestigungsklemme;288;19.00;;;;;;;;D9397-B051;D9397-B051;SW-MOTECH;SW-MOTECH;722301240168;;;;;;0,0000;1;;;;;Für 22 mm Lenker.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10060;;Gelenkstück gebogen;288;19.00;;;;;;;;D9397-B-054;D9397-B-054;SW-MOTECH;SW-MOTECH;722301240182;;;;;;0,0400;1;;;;;Erhöht den Abstand um Hebel um Bremsschläuche.;;;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/b_054_1_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
10061;;Lenker End-Gewicht;288;45.00;;;;;;;;D9397-B-056;D9397-B-056;SW-MOTECH;SW-MOTECH;722301240205;;;;;;0,2600;1;;;;;Für Kawasaki Versys 650 in Verb. BHG15-01 / JET01.;;<b>Lenker End-Gewicht</b><br><br>Für Kawasaki Versys 650 in Verbindung mit Barkbusters BHG15-01 / JET01.;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/b_056_1_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
10062;;Adapter Kit für BMW F650GS (-07) / G650GS;288;14.00;;;;;;;;D9397-B-062;D9397-B-062;SW-MOTECH;SW-MOTECH;722301240243;;;;;;0,0400;1;;;;;Für Modelle ohne Griffheizung.;;"<span style=font-size:18px""><b>Adapterkit für BMW F650GS (-07) / G650GS</b></span><ul><li>Für Handprotektor BHG10<li>Wird benötigt für Modelle ohne Griffheizung</li><li>Zur Befestigung an den Lenkerenden</li><li>Lieferung als Satz (L/R)</li></ul>""";;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/b_062_1_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
10063;;STORM Sattel Kit inkl. Schrauben;288;9.00;;;;;;;;D9397-B-064;D9397-B-064;SW-MOTECH;SW-MOTECH;722301240250;;;;;;0,0050;1;;;;;Zur Befestigung von STORM Schalen am Backbone.;;"<span style=font-size:18px""><b>Storm Befestigungs-Kit</b></span><ul><li>Zur Befestigung von Storm-Schalen am Backbone<li>Schrauben sind enthalten.</li></ul>""";;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/b_064_1_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
